search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca del celular,Material,Modelo,Marca
40, Protector Case Fundas Apple iPhone 6-6s-7-7plus-8-8plus-x ,640,NA,3,37,18 cuotas,35.56,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/I..STORE,https://articulo.mercadolibre.com.uy/MLU-456106311-protector-case-fundas-apple-iphone-6-6s-7-7plus-8-8plus-x-_JM,NA,NA,NA,NA,NA,#456106311,Apple,Silicona,NA,Apple
41, Protector Funda iPhone X 7 Y 8 Plus Shockproof Tpu + Vidrio ,199,NA,238,269,18 cuotas,11.06,NA,Entrega a acordar con el vendedor,NA,NA,5,1,http://perfil.mercadolibre.com.uy/GEEK+URUGUAY,https://articulo.mercadolibre.com.uy/MLU-445661079-protector-funda-iphone-x-7-y-8-plus-shockproof-tpu-vidrio-_JM,1,0,0,0,0,#445661079,Apple,TPU,NA,NA
42, Funda Protector Aluminio iPhone 5 6 Plus 7 7 Plus 8 8 Plus ,8,NA,538,10,18 cuotas,15.74,NA,Envío a todo el país,NA,NA,4.5,12,http://perfil.mercadolibre.com.uy/LIDERTEK+SRL,https://articulo.mercadolibre.com.uy/MLU-444436764-funda-protector-aluminio-iphone-5-6-plus-7-7-plus-8-8-plus-_JM,9,1,1,1,0,#444436764,Apple,Aluminio,GENERICO,LiderTek
43, Funda Cartera De Cuero C/tarjetero Soporte P/iPhone 8 Plus ,2065,NA,0,101,18 cuotas,114.72,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/HERMESSTORE,https://articulo.mercadolibre.com.uy/MLU-457854270-funda-cartera-de-cuero-ctarjetero-soporte-piphone-8-plus-_JM,NA,NA,NA,NA,NA,#457854270,Apple,NA,iPhone 7 Plus Leather-Black,Zover
44, Estuche Funda iPhone 7 Plus 8 Plus ® Blister En Silicona ,450,NA,1,24,18 cuotas,25.00,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/VENTAUY,https://articulo.mercadolibre.com.uy/MLU-455406861-estuche-funda-iphone-7-plus-8-plus-blister-en-silicona-_JM,NA,NA,NA,NA,NA,#455406861,Apple,Silicona,NA,NA
45, Protector Funda iPhone 8 Plus 7 Plus Silicona Pink ,399,NA,4,19,18 cuotas,22.17,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/69+CASES,https://articulo.mercadolibre.com.uy/MLU-448324848-protector-funda-iphone-8-plus-7-plus-silicona-pink-_JM,NA,NA,NA,NA,NA,#448324848,Apple,Silicona,NA,Apple
46, Protector Funda iPhone 6 6s 7 8 Plus Samsung S8 Teddy ,399,NA,4,3,18 cuotas,22.17,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/69+CASES,https://articulo.mercadolibre.com.uy/MLU-449610314-protector-funda-iphone-6-6s-7-8-plus-samsung-s8-teddy-_JM,NA,NA,NA,NA,NA,#449610314,Apple,NA,NA,Samsung
47, Funda+silicona+case iPhone 6 7 8 X Plus Original Gofix ,690,NA,2,112,18 cuotas,38.33,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/GOFIXUY,https://articulo.mercadolibre.com.uy/MLU-455251648-fundasiliconacase-iphone-6-7-8-x-plus-original-gofix-_JM,NA,NA,NA,NA,NA,#455251648,Apple,Silicona,NA,NA
48," Funda iPhone 7 Plus, Funda iPhone 8 Plus, Diseño De Mármol B ",1090,NA,1,100,18 cuotas,60.56,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/HERMESSTORE,https://articulo.mercadolibre.com.uy/MLU-457719683-funda-iphone-7-plus-funda-iphone-8-plus-diseno-de-marmol-b-_JM,NA,NA,NA,NA,NA,#457719683,Apple,NA,NA,NA
49, Protector Funda iPhone 8 Plus Silicona Girasoles ,249,NA,2,2,18 cuotas,13.83,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/69+CASES,https://articulo.mercadolibre.com.uy/MLU-450224586-protector-funda-iphone-8-plus-silicona-girasoles-_JM,NA,NA,NA,NA,NA,#450224586,Apple,Silicona,NA,Apple
50, Protector Funda iPhone 8 7 Plus Silicona 3d Moschino ,199,NA,1,4,18 cuotas,11.06,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/69+CASES,https://articulo.mercadolibre.com.uy/MLU-448749844-protector-funda-iphone-8-7-plus-silicona-3d-moschino-_JM,NA,NA,NA,NA,NA,#448749844,Apple,Silicona,NA,Apple
51, Protector Verus iPhone 7 7 Plus / 8 8 Plus+ Vidrio Colocado ,260,NA,251,274,18 cuotas,14.44,NA,Envío a todo el país,NA,NA,5,4,http://perfil.mercadolibre.com.uy/TOPTECNOUY,https://articulo.mercadolibre.com.uy/MLU-443463104-protector-verus-iphone-7-7-plus-8-8-plus-vidrio-colocado-_JM,4,0,0,0,0,#443463104,Apple,Acrílico,NA,NA
52, Protector Funda iPhone 8 7 Plus Silicona 3d Arcoiris ,199,NA,2,10,18 cuotas,11.06,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/69+CASES,https://articulo.mercadolibre.com.uy/MLU-448289742-protector-funda-iphone-8-7-plus-silicona-3d-arcoiris-_JM,NA,NA,NA,NA,NA,#448289742,Apple,Silicona,NA,Apple
53, Protector Funda iPhone 8 Plus 8 Estuche ,210,NA,6,2,18 cuotas,11.67,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/69+CASES,https://articulo.mercadolibre.com.uy/MLU-450412133-protector-funda-iphone-8-plus-8-estuche-_JM,NA,NA,NA,NA,NA,#450412133,Apple,Silicona,NA,NA
54, Protector Funda iPhone 8 7 Plus Peluche Teddy Original Pk ,299,NA,5,3,18 cuotas,16.61,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/69+CASES,https://articulo.mercadolibre.com.uy/MLU-449469338-protector-funda-iphone-8-7-plus-peluche-teddy-original-pk-_JM,NA,NA,NA,NA,NA,#449469338,Apple,NA,NA,Apple
55, Funda Protector Aluminio Metalico Premium iPhone 8 Plus Febo ,290,NA,2,99997,18 cuotas,16.11,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/FEBOUY,https://articulo.mercadolibre.com.uy/MLU-449405516-funda-protector-aluminio-metalico-premium-iphone-8-plus-febo-_JM,NA,NA,NA,NA,NA,#449405516,Apple,Aluminio,NA,NA
56," Protector Silicone Case iPhone® 6, 6plus 7, 8 Plus X, Xr, Xs ",790,NA,7,98,18 cuotas,43.89,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/CELULAROUTLETMONTEVIDEO,https://articulo.mercadolibre.com.uy/MLU-457162076-protector-silicone-case-iphone-6-6plus-7-8-plus-x-xr-xs-_JM,NA,NA,NA,NA,NA,#457162076,Apple,Silicona,Silicone Case,Silicone
57, Protector iPhone X Xs 8 7 6 Plus Se 5s Ultrahybrid Funda ,199,NA,5,NA,18 cuotas,11.06,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/69+CASES,https://articulo.mercadolibre.com.uy/MLU-450410996-protector-iphone-x-xs-8-7-6-plus-se-5s-ultrahybrid-funda-_JM,NA,NA,NA,NA,NA,#450410996,Apple,NA,NA,NA
58, Funda Protector Estuche Premium iPhone 8 5 6 Plus 7 7 Plus ,90,NA,106,91,18 cuotas,5.00,NA,Envío a todo el país,NA,NA,3.9,7,http://perfil.mercadolibre.com.uy/PRO+ACCESORIOSUY,https://articulo.mercadolibre.com.uy/MLU-442497245-funda-protector-estuche-premium-iphone-8-5-6-plus-7-7-plus-_JM,5,0,0,0,2,#442497245,Apple,TPU,Borde Color,NA
59, Funda Protector Case Para iPhone 7 Plus Y 8 Plus ,250,NA,6,24,18 cuotas,13.89,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/AR+IMPORT.,https://articulo.mercadolibre.com.uy/MLU-459268666-funda-protector-case-para-iphone-7-plus-y-8-plus-_JM,NA,NA,NA,NA,NA,#459268666,Apple,Silicona,NA,NA
60, Protector Tough Armor iPhone 7 8 7 8 Plus + Vidrio Case ,190,NA,35,5,18 cuotas,10.56,NA,Envío a todo el país,NA,NA,5,1,http://perfil.mercadolibre.com.uy/KING-SALE,https://articulo.mercadolibre.com.uy/MLU-443492218-protector-tough-armor-iphone-7-8-7-8-plus-vidrio-case-_JM,1,0,0,0,0,#443492218,Apple,NA,NA,NA
61, Protector Funda iPhone 8 Plus 7 Plus Estuche Rosado ,210,NA,19,15,18 cuotas,11.67,NA,Envío a todo el país,NA,NA,5,2,http://perfil.mercadolibre.com.uy/69+CASES,https://articulo.mercadolibre.com.uy/MLU-448195770-protector-funda-iphone-8-plus-7-plus-estuche-rosado-_JM,2,0,0,0,0,#448195770,Apple,Silicona,NA,Apple
62, Funda Protector Fino Tpu Degrade Premium iPhone 8 Plus Febo ,90,290,4,99995,18 cuotas,5.00,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/FEBOUY,https://articulo.mercadolibre.com.uy/MLU-449004038-funda-protector-fino-tpu-degrade-premium-iphone-8-plus-febo-_JM,NA,NA,NA,NA,NA,#449004038,Apple,TPU,NA,NA
63, Protector Funda iPhone 5 Se 6 6s 7 8 Plus Bubble Carcasa ,399,NA,0,3,18 cuotas,22.17,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/69+CASES,https://articulo.mercadolibre.com.uy/MLU-449536965-protector-funda-iphone-5-se-6-6s-7-8-plus-bubble-carcasa-_JM,NA,NA,NA,NA,NA,#449536965,Apple,Silicona,NA,NA
64, Funda Silicone Case Para iPhone 7 7 Plus 8 8 Plus + Templado ,690,NA,8,92,18 cuotas,38.33,NA,Envío a todo el país,NA,NA,1,1,http://perfil.mercadolibre.com.uy/APPLE.BLUE,https://articulo.mercadolibre.com.uy/MLU-455755333-funda-silicone-case-para-iphone-7-7-plus-8-8-plus-templado-_JM,0,0,0,0,1,#455755333,Apple,Silicona,NA,Silicone
65, Funda Protector Estuche Armor Para iPhone 8 Plus Febo ,290,NA,3,99996,18 cuotas,16.11,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/FEBOUY,https://articulo.mercadolibre.com.uy/MLU-452389204-funda-protector-estuche-armor-para-iphone-8-plus-febo-_JM,NA,NA,NA,NA,NA,#452389204,Apple,TPU,NA,NA
66, Funda Tpu+vidrio Templado+cable Nokia 5 6 iPhone 7 8 Plus ,399,NA,3,3,18 cuotas,22.17,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/69+CASES,https://articulo.mercadolibre.com.uy/MLU-449593112-funda-tpuvidrio-templadocable-nokia-5-6-iphone-7-8-plus-_JM,NA,NA,NA,NA,NA,#449593112,Apple,TPU,NA,NA
67, Protector 360 Magnetico iPhone 6 7 7plus 8 8plus + Vidrio 5d ,780,NA,42,46,18 cuotas,43.33,NA,Envío a todo el país,NA,NA,5,1,http://perfil.mercadolibre.com.uy/TUBELUXUY,https://click1.mercadolibre.com.uy/mclics/clicks/external/MLU/count?a=N3O8l0koxNKZmPKoxY3De8FqA2rJ9YPc87WJe5KeJ%2FB3ypMPsG5NOqILBXSEOprnbOAuljkBGnNHfMWo82nP4AQ5Gg1bxSXiq2kiikoeNV8IKffw%2BWydusy5CUIx6jYLHSCKBFeqhbSBZNsOB2nwFEtHJ%2Bufts6YkNVc2ds39petX8%2F%2FbiNxeBiNWxjqmsElUKG%2FwKK%2B5QTsMhd0P%2FyOWI3OIbOUSfNOfxc9dvv%2BkglFJ40x1JIj3qCRlIp1iQ2LPUgEqLcbGBRIuff1EUqX9X01aU7k33XCEDjlNHzxf5%2FXZUjGgwzADn5T6%2Bre%2BGYLQ5JUmy5cMzSXzJZaWnX5WUyRuJ8%2BohNEnFQ6hDf0xtgFWLA0V9emeR71ItAGrfSyF0SE1CsD6Am6eA1Xnu2ClyNM0opE7cHEUNUoVQsIr6bZMhEIuLnOjsPC8QwaX8g4gy%2BrFu1usLt8CdA40aNInbqHsCBGwLtWzxDkRHFO7aj2tefXrKENpsVxna0%2BQ296kYirit3D5tPOkc%2Ff4a4FYq5hbiDmXBTnQUQzl8ps5U%2Ba3nvhw7H6cy74LY0o0%2BscX91brZZYJPHEE%2BLQ6xyTmSiOSV4yefOqSqXeV9egEdA1NDDvDHPJslwnaBMbdkuPcvhEk0yRoQ2iSe9IqwobcdMKxCI1B9kVGDFLFYcpIE7I%2BZqwTlsbAQ1k1c4jG8BvPdCo56wSqdsjSBPCBNKmVWxJ8KXWXR0Jr%2FfhyCzQPIiQbmziwgZ7Kv4668j%2BHwqFY0KTsZyR2B55r2N5MZvO8TT%2B7tXHVwtOQFYQHhR1fZiNLCyNOsK9dvDOLesEFS0k%2F0mLfM%2Fc0LqeLQ0oN1F7czvXk%2F%2FXTL4XsAUKfEBU24Yxfqc2noT%2Bs9RnGLRYy9J%2BjzoPvQ2ixbhgRyY66aOFSObeNnUxBse7%2F3a9bIMcXN%2F9IE6IAqAbZv3FoMS87cG0fhzEDdOMX2WPvCw8JhAtHtEyYTAkdosKCSNqMAPxCMzdPJfGte1E3tX0rDKspvhE5TYP84cvI4V6J%2F3hxsBTUKSTFka68vm0QDFtckiuDUozmIavEYm1Hs5yOhTr782yNw%2BQHYjmktIbk3Nd68PUDSMu3df8O3YjRjcA8zV%2Fu7noUtjfwItD0jSybq4vc4SUnfQdWCHzBQk0L5DP%2Fm4wOv%2B1ky5UDLX5%2Fa6TJDQaoXzGKJE14kDiB94nBBq3f5uVZIIdAIS7jIOVRAl2Z0hTid5bwgrh8MS820f54GX7QPJgCuT1y%2F6rfYM7oiR5QgigYFO58GIjWeGiKAB%2FKsG39Yonu41XBvMtscEpWbRwc0w%2FK%2FcxmUovXL18m8xDO%2FZN97mWeQfTKHY%2FsCgYYls%2BW75mmSIt2AVmZS7uj06nVm%2Fqrs7cDJV2S5CnfTMsVH%2Bt17kL%2BlSFZbwjSxK9sTjmQJc1FTItKFSEEj7A%2BXKgnBLMSzd7AV6XhMNM%2BQcRciBq4nl3JOd%2Fylljy4pDMAwVERAF7y40lIoIw%2BYHk6bsyA%2BiUSTzte7GxFgEeCxMqOw5RuL1QNZNuT2ivf0UZQV1JR8VZ2sAWgC3eNPqUdCfQGO5aiGO5XDqDlKtKQ%2Bln8KaBgd%2B47kc%2BIGoOWrfLUtsbUSzH0wgivjYfEw6CTFP93NcgVpZKpD08llEyoG%2FtAW6c9o5RH2mJmE7yy9dYJjCV5c8iXvVyFjGnqX4%2FghOuIaA2wQR3H4YSc7YXk8Jt7yjZdkhT40IKrKpC3ElypOzrQClrCwc5BWobZgqC562Yqp6RF4DzbtaYart%2B8Ntpey9H6zyJm4OVsANo0ytFTc%3D,1,0,0,0,0,#443898511,Apple,Aluminio,NA,NA
68, Funda Protector 360 + Templado iPhone 6s 6plus 7 8 Plus X 10 ,190,NA,29,5,18 cuotas,10.56,NA,Envío a todo el país,NA,NA,4.5,2,http://perfil.mercadolibre.com.uy/DIMARTUY,https://articulo.mercadolibre.com.uy/MLU-444755747-funda-protector-360-templado-iphone-6s-6plus-7-8-plus-x-10-_JM,1,1,0,0,0,#444755747,Apple,NA,NA,NA
69, Protector 360 + V. Templado Total Protección iPhone 8 8 Plus ,150,NA,56,44,18 cuotas,8.33,NA,Entrega a acordar con el vendedor,NA,NA,4,1,http://perfil.mercadolibre.com.uy/MEGACASEUY,https://articulo.mercadolibre.com.uy/MLU-451072990-protector-360-v-templado-total-proteccion-iphone-8-8-plus-_JM,0,1,0,0,0,#451072990,Apple,TPU,NA,NA
70, Funda Silicone Case Para iPhone 7 7 Plus 8 8 Plus Colores ,690,NA,4,96,18 cuotas,38.33,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/APPLE.BLUE,https://articulo.mercadolibre.com.uy/MLU-455755358-funda-silicone-case-para-iphone-7-7-plus-8-8-plus-colores-_JM,NA,NA,NA,NA,NA,#455755358,Apple,Silicona,NA,Silicone
71," Protector Silicone Case iPhone® 6, 6plus 7, 8 Plus X, Xr, Xs ",790,NA,7,98,18 cuotas,43.89,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/CELULAROUTLETMONTEVIDEO,https://click1.mercadolibre.com.uy/mclics/clicks/external/MLU/count?a=koeZF3MjU4jX4H0%2BNUaOs6VA7K06FnSy6d%2BRgVAXKJhDeHy56xXdWGp2vs3WZdCKjvYFW4NdJXfyLGe6Ph2n3Bj103JfWGuhfNdltUY61eCfKavMeKUHWAhoRWHdyXWuw2gniTq6YIsJfDTxc59E1hbkpLm1goXJ2ErsNMnr%2BaAiTcLADwES24AN6XOU2q5Z%2Bhl7ku6S8brKtVseRVzTbblp7o4gE0B8LOGbPLNK9DUXEzZA74P4nzucrD73KcjANTG9%2FeK9786euFVa1agixsMUrMYl2KJGe4eqRoEp9aOM%2FjSvnr00b%2BZrfLoDWRA6ZGhEdKLS%2BbAJrZ%2F9QxCLYuymaQ4BCFaIkE%2Favg5AWgPeQjkQQ9RT7XER2eGmSE1U5xD0V84q8rHuHTTonjhtUyRDngfGYcmQPrwVTJcZA4beM3%2BnrT921T5MxkD5xELz2Ptrz7dNJaNzbyHoGTEScJ4Dj6FefUCcBhcpSD6roC8QWFyoBIeGmlFbyBTKRL4tBOfLDLZI4bnSmbRzv0NLE8WWXjOdBjO%2B7lzx3tYLfY%2BM815Jt4cPYe2DSAOjJMTcZrVS2h9J3eWwuIPZ6en6KsPRPXYqnHZEhBjlKDGVpSercVLo7DMSYhw38S9XbELatFds2g3STpI2oTosvSLWkhfXvprZeRYAyQi0wWzj0fJlV%2FFdWreli9NzM6PUBexvG1LdD6TBkmAfOfl0jpWq22dJwsrWjaHKvIS5LxiPyrI94SbgsVL2JA6zge9x1LjV6J0mWw2cRMoNSqngjJZ4WlxGOqGyzSc5%2FcKAsJnGwhMqNYOEt6ljhD6pL7frJEB8wp5bSw53nYmo4b6SiQXMbe%2F6G88hOfOC%2B4QxS%2BCvkrZb6gSAjcpZAXGTfLTBJ3vPEsZ2zZrbKdWAmvpywCUNl6fJ3LMEEJEMGbTULRtbZd9V%2Bz3%2FMg%2FiAH7zWmPTK4S4RzLcg87yZavaoxhlm9xiAK2d76opXUfYyE0Ts0%2FADkl76rPs4uaqP2XSMCPnkBhhTT9QovkrT3SHnMg7HVlREeGtUuJdubQiw8z6Nx0Zv4oXXbmtFWeLieBVkylv8MbtkhH1qrOc%2FkxYdN4fAMGE%2BeltKZhU2wLklt%2B6AEtvnE0rCHs907%2FUGOf7%2BBOpL%2FkBSO5UDLHbkBu4hF2sRpCFsYaT5TFSmHncGu2LziKJNhYXfnewQy4dJDpRIq7TdgR%2FeSQXXgxiTga66coaPnBn3GohTOzg8TvwmG%2BFoGAz87zX%2BQrmHqY0ecDyFXXYl1XLu211Vf2Xo2FYZ9PSHxcWkJyFoNhZ5QKIgoA3HYjU%2B2LREwtnRua38vfZ5UKzwaqGfs4QRFl%2FSBe%2FQK7zjW2bCxvX7VV0JQsEdqg62kOAvd0pWq4t%2BCRqYSQcBbTXndwS%2BqdqSBiAoJ70PyJAIf9giQna4e1aVh%2FrKx9UboU4%2BGoH42tYNJn%2F%2Br9BCuH9BaAn4mAeKEEEWRJqQz%2FXHyAUjTZd0Nuy%2BRpw2KUqnfnjE99eudLa8jOe%2BQlGxQG6VjmoTCG%2FwF2euiQ3mqkeBWKWRwkc4gUNvVyUOe1wFDt9IFlIFn417cqFA9zq%2B%2BrPlCwegM4%2B8KaoO9l0LXQvp0BG6WreKKQ4gTiCWFwcQh1WHlTkSQ2dRzh7s%2Bp298hu8ncaAabbjm5nOm14s5OLvOw%2F5N23Y3bbjaR12X2EkFB%2B8%2FbyGCvBLd%2BUR9DaBMb4g2rRdV0FCvpUXWjOPBM5Ya%2BbJAHhVn1vBWkMdNPP1gyPecGD6Oe6cJJ4uDKB8AXdt2NOwe7U%2BmBxGpvMTIM%3D,NA,NA,NA,NA,NA,#457162076,Apple,Silicona,Silicone Case,Silicone
72, Funda Cargador Con Batería 2400 Mah iPhone 7 8 / 7 Plus ® ,790,NA,1,99,18 cuotas,43.89,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/TECNOCELL.UY,https://articulo.mercadolibre.com.uy/MLU-452731619-funda-cargador-con-bateria-2400-mah-iphone-7-8-7-plus--_JM,NA,NA,NA,NA,NA,#452731619,Apple,NA,NA,NA
73," Funda iPhone 8 Plus, Funda iPhone 7 Plus, Funda Transparente ",1116,NA,0,100,18 cuotas,62.00,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/HERMESSTORE,https://articulo.mercadolibre.com.uy/MLU-457716276-funda-iphone-8-plus-funda-iphone-7-plus-funda-transparente-_JM,NA,NA,NA,NA,NA,#457716276,Apple,Silicona,NA,NA
74, Protector 360 Magnetico iPhone 6 7 7plus 8 8plus + Vidrio 5d ,780,NA,42,46,18 cuotas,43.33,NA,Envío a todo el país,NA,NA,5,1,http://perfil.mercadolibre.com.uy/TUBELUXUY,https://articulo.mercadolibre.com.uy/MLU-443898511-protector-360-magnetico-iphone-6-7-7plus-8-8plus-vidrio-5d-_JM?searchVariation=35732384177,1,0,0,0,0,#443898511,Apple,Aluminio,NA,NA
75, Protector Funda iPhone 8 Plus Silicona Rosado Unicornio Car ,249,NA,1,NA,18 cuotas,13.83,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/69+CASES,https://articulo.mercadolibre.com.uy/MLU-450129235-protector-funda-iphone-8-plus-silicona-rosado-unicornio-car-_JM,NA,NA,NA,NA,NA,#450129235,Apple,Silicona,NA,NA
76, Funda Tpu Mármol Ultrafina iPhone 6/6s/7/8/plus/x/xr/xs Max ,299,NA,2,58,18 cuotas,16.61,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/VIKEI+SA,https://articulo.mercadolibre.com.uy/MLU-463050591-funda-tpu-marmol-ultrafina-iphone-66s78plusxxrxs-max-_JM,NA,NA,NA,NA,NA,#463050591,Apple,TPU,NA,NA
77, Funda iPhone 8 Plus 7 Plus Y 6 Plus Flip Case Inteligent ,1790,NA,1,NA,18 cuotas,99.44,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/ALEXISDAMIAN2008,https://articulo.mercadolibre.com.uy/MLU-453381187-funda-iphone-8-plus-7-plus-y-6-plus-flip-case-inteligent-_JM,NA,NA,NA,NA,NA,#453381187,Apple,NA,NA,NA
78," Funda iPhone 7 Plus, Funda iPhone 8 Plus, Funda De Silicona ",896,NA,0,100,18 cuotas,49.78,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/HERMESSTORE,https://articulo.mercadolibre.com.uy/MLU-457702213-funda-iphone-7-plus-funda-iphone-8-plus-funda-de-silicona-_JM,NA,NA,NA,NA,NA,#457702213,Apple,Silicona,iphone 7 plus case/iphone 8 plus ca,VIVIBIN
79, Protector Funda iPhone 8 7 Plus 6 6s Panther Carcasa ,450,NA,0,2,18 cuotas,25.00,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/69+CASES,https://articulo.mercadolibre.com.uy/MLU-450412148-protector-funda-iphone-8-7-plus-6-6s-panther-carcasa-_JM,NA,NA,NA,NA,NA,#450412148,Apple,Silicona,NA,NA
80, Protector Funda iPhone 8 7 Plus 6 6s Spm Carcasa ,450,NA,1,2,18 cuotas,25.00,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/69+CASES,https://articulo.mercadolibre.com.uy/MLU-450412069-protector-funda-iphone-8-7-plus-6-6s-spm-carcasa-_JM,NA,NA,NA,NA,NA,#450412069,Apple,NA,NA,NA
81, Protector Tpu Funda iPhone Corazón iPhone 6 6s 7 8 8plus X ,300,NA,8,92,18 cuotas,16.67,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/MEGACASEUY,https://articulo.mercadolibre.com.uy/MLU-448800672-protector-tpu-funda-iphone-corazon-iphone-6-6s-7-8-8plus-x-_JM,NA,NA,NA,NA,NA,#448800672,Apple,TPU,NA,NA
82," Funda iPhone 7 Plus, Funda iPhone 8 Plus, Team Luxury [clari ",1195,NA,0,100,18 cuotas,66.39,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/HERMESSTORE,https://articulo.mercadolibre.com.uy/MLU-459995624-funda-iphone-7-plus-funda-iphone-8-plus-team-luxury-clari-_JM,NA,NA,NA,NA,NA,#459995624,Apple,Silicona,WIRELESS_ACCESSORY,TEAM LUXURY
83, Protector Funda Carcasa Protector iPhone Tpu 8 8 Plus ,210,NA,2,48,18 cuotas,11.67,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/MEGACASEUY,https://articulo.mercadolibre.com.uy/MLU-453015876-protector-funda-carcasa-protector-iphone-tpu-8-8-plus-_JM,NA,NA,NA,NA,NA,#453015876,Apple,TPU,NA,NA
84," Funda Protector iPhone 7 , 8 Plus Logo Apple Grabado ",490,NA,0,10,18 cuotas,27.22,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/FREE_BUY_2633,https://articulo.mercadolibre.com.uy/MLU-462801466-funda-protector-iphone-7-8-plus-logo-apple-grabado-_JM,NA,NA,NA,NA,NA,#462801466,Apple,Silicona,NA,Apple
85, Protector Funda iPhone 8 7 Plus 6 6s J Glow Espejado ,499,NA,1,2,18 cuotas,27.72,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/69+CASES,https://articulo.mercadolibre.com.uy/MLU-450411992-protector-funda-iphone-8-7-plus-6-6s-j-glow-espejado-_JM,NA,NA,NA,NA,NA,#450411992,Apple,NA,NA,NA
86, Protector Carcasa iPhone 8 Plus 7 Plus Silicona Drip Funda ,399,NA,0,NA,18 cuotas,22.17,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/69+CASES,https://articulo.mercadolibre.com.uy/MLU-448325586-protector-carcasa-iphone-8-plus-7-plus-silicona-drip-funda-_JM,NA,NA,NA,NA,NA,#448325586,Apple,Silicona,NA,Apple
87," I-blason Funda iPhone 8 Plus, [protección Heavy Duty] [serie ",1563,NA,1,100,18 cuotas,86.83,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/HERMESSTORE,https://articulo.mercadolibre.com.uy/MLU-457480684-i-blason-funda-iphone-8-plus-proteccion-heavy-duty-serie-_JM,NA,NA,NA,NA,NA,#457480684,Apple,TPU,IPH8P-MAGMA-RG,i-Blason
