search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Linha,Modelo,Modelo alfanumérico,Formato
119, Fone Jbl Bluetooth Tune 205bt Original T205 Bt Bluetooth+nf ,36,NA,2388,4,6x,6.84,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.9,132,https://perfil.mercadolivre.com.br/TROPARDI+ELETRO,https://produto.mercadolivre.com.br/MLB-1183090499-fone-ouvido-sem-fio-bluetooth-41-celular-micro-sd-fm-p2-mp3-_JM,120,8,3,0,1,#1183090499,NA,Bluetooth,B-05,B-05,Over-ear
120, Air Pods Apple Fone De Ouvido Sem Fio AirPods Original ,1099,NA,35,3,12x,91.58,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.7,1098,https://perfil.mercadolivre.com.br/MEGAACABAMENTOS,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=udsr0daRJsiI%2Fy0PWSJRCHLmoS%2Fjo1EqELdG%2FM8NAWPJETG%2BoNwbmwiO6mCkzG6TEK6gg1rKsB6P32Edqrccxn3pTrzDjwtvmorf5zaXoAK1NDb24mlVBciXhFQwmDr3Z7iAXThdz8aYuFYaOnMVtkpI5tWQ6FZTM%2FJStTXWVr4RSxImQ%2B0U2qGgGYVC13DLZliARkaRRnx2qBOEVkmBU3Fb%2F%2FoAEeYgb5P%2B1At%2FlIjHpsHEEZbC75Tjt5%2FPvjIqYrnIzj3pLf1QmtaGrgZiSiOkcFv8pXOj%2BFxkEDZeW%2FgPgPStqBAYfrvcQG%2B%2Bs9pt39tujLu8T8h%2FbcoANg26Gu%2BWy7x0NIcE6BlSBlcqf%2BCjVxpLzCLS0BDzEJuS%2F5CHJ4iT35VpV73xCiDLojsHshZepUUHoiVzLlTVk6gpTrUNBUIqBHwOV12fNFC1fKmHr0j%2F7R0eB7xSGCBaQRFouBSMKBnzl7eL%2BCO1NZsuFFiuKiz9x%2BaygkH96iB9YcSNwHMnCZtTvu1U1jLMrbtpc0WbMt5EAMnBs7mby6KdU1gjVxsvIlXotIvmHScKMuKUlruTxwZ0kpAJ0be8ahYmSaNKFEO1%2Fg8gKORF3LNaVwCn1MyUiHRtLESYLRAlFbzkaxH188PjrPKTge1y80fX3AVVoRSZVlGH8BemFrojA3f9f1p05C09mU0Bsdhw9Y%2Fp1E7UYzFmVTEf8Hfql5p65Eqsfo0vPWseGHF2nZ%2BJF7Wj4HFZDaZ7ZIRhfhwlQ1pZGXgks6rY03jc0ycdbNvp8WSac2T5WwsfkKZHq4srwLRqA3Z5hN818WPoz%2FBx%2B2F7AHTuTx%2B0Qe2tHROyCc4hJD9RITqm1cSRCw18RQxRc3mjGx9ZEQjo1zgnT%2FdUb785yPIrDdVYwPYfvA1cyfxPN%2B%2FG%2F1W1OphvbImj%2FA4tGQ5B9vYkScpEBh47zS8RIBBljlUPpj85xEoMlgZVR3HtzH9QZg5ZdNXLY7F9fe4Ps7wPZKSk%2BbiMOvopC7s%2BaHAuRPG8f0p%2Fk1X6xhn41hXxRtWMsGKKHR7km7Dd%2BDiD2K0WuYSh8QmEM7ikYNvMg%2BaPOzbCxBH2BOHcGZIc3m0gTvGo7asmggUH6nO8kjn6qe0oW1bKdV044WMjI5BGQAiAgfFszULdtY8Zd26SUU9qhOhBVuVNVjfvyyTwcS6HU3YA%2BrJd3RKx0TZMtLN0Qh6QIryOSxVEf%2B6pVoZooXdNznBjC%2B6M6NXcQp9eO2xNux3BV1nNkYch4GodLWRLcZ%2FB6b915n31dLpmREv78JTyUdbI6Gbohcgg8k59KlGCnlX0Pyml%2BaoCpFLC0r2QcmKBf1dY9Kqg6K0nPhCwIY0iekgknXBWL7SaBf6eTkQuHJFkLt6gLs1%2BJ0DAriSofsjEytyLfC0JsByL3BxWT%2FaUV%2F47mvYpoxhLWBUiBLSkyXYGqv9yIB0yQnCLP2IM09X4uLv3tRYNQB4VzPVJZxUdXYWmOb%2FLKeeOR7xEL%2BR5Yv%2BA9mGT08f3T79umhvpwNMZBFK%2BCA1bSj7XsUlAXY2MdZ6npTnrZFetDA%3D%3D,932,83,31,20,32,#1181383360,Apple,NA,AirPods,MMEF2,In-ear
121, Fone De Ouvido Headphone Sem Fio Micro Sd Usb Fm Bluetooth ,32,NA,167,933,6x,6.10,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,5,1,https://perfil.mercadolivre.com.br/LOJAJIE,https://produto.mercadolivre.com.br/MLB-1228229464-fone-de-ouvido-headphone-sem-fio-micro-sd-usb-fm-bluetooth-_JM,1,0,0,0,0,#1228229464,Universal,BLUTOOHT,B05,P29,In-ear
122, Fone De Ouvido Headphone Bluetooth Sports Amw-810 ,228,NA,578,7,12x,21.86,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.7,228,https://perfil.mercadolivre.com.br/DMMELOELETRONICOSME,https://produto.mercadolivre.com.br/MLB-1103425650-fone-de-ouvido-motorola-pulse-escape-camuflado-ip54-agua-_JM,182,31,7,4,4,#1103425650,Motorola,Fone de Ouvido,Pulse Escape+,SH013,Over-Ear
123, Fone De Ouvido 4.1 S/ Fio Bluetooth Academia Sport Bh 503 ,34,NA,65,76,6x,5.83,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4,3,https://perfil.mercadolivre.com.br/MEGAOFERTA1000,https://produto.mercadolivre.com.br/MLB-1010033135-fone-de-ouvido-41-s-fio-bluetooth-academia-sport-bh-503-_JM,1,1,1,0,0,#1010033135,Universal,NA,BH-503,NA,Over-ear
124, Fone Jbl Tune 500 Bluetooth T500bt Original Melhor Q T450 ,36,NA,1967,4,6x,6.84,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.8,106,https://perfil.mercadolivre.com.br/FIXEXPLODE,https://produto.mercadolivre.com.br/MLB-1153975447-fone-ouvido-headphone-sem-fio-bluetooth-micro-sd-fm-p2-b-05-_JM,92,10,1,2,1,#1153975447,B05,Bluetooth,B-05,B-05,Over-ear
125, Fone De Ouvido Sem Fio Bluetooth 4.2 Bateria 12 Horas S Bass ,110,NA,2258,9,12x,9.25,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.7,20,https://perfil.mercadolivre.com.br/NATHCELLDIGITALL,https://produto.mercadolivre.com.br/MLB-920962106-fone-de-ouvido-sem-fio-bluetooth-42-bateria-12-horas-s-bass-_JM,13,7,0,0,0,#920962106,Universal,Primeira,A600 BL,A600 BL 4.2,Over-ear
126, Mini Fone Ouvido Bluetooth 4.1 Sem Fio Micro Menor Preco ,17,NA,68,936,3x,6.37,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,5,1,https://perfil.mercadolivre.com.br/LOJADOCAL%C3%87ADO2018ECIA,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=VBEfIvfqg64e%2FyIlDTr5ZstokBJC4oDtOIEbwJO4Ti97zK0AT9yixaMI44KBsbNuNec%2FW6YubfeXzvZn%2Fo0GP1DoqqDKnoIcakwAxknKfRz5PIyfaGdWKGSLtaIVIYRtKZfqeDdOn83zRNi6OygopKk7Kp0mwjO2vveM0mWu1lTI%2Bn0o5rga4sfCnsSNRtiDzPUik8YCJB6fYbNU%2FUsAsPkdyDOcoXNoXNrZINcWM1Gv1mnpFGIISSjnqBve8KbFy%2BH0AsbPtZtxZOBppEC3Zqa8ckwW4SWEnxhnxkifbsxXtXZv9FgxyEzV%2Bz3Zd103DviRhKJPUPExT9xVBWClkHA59mZ8XaQMRqbIVJkAnDoqOjDiWb8CEWQCK8qbFlegThDF1PM062I5It2JkjwRUoNisuIuKP6Fd3OJe8XNjFU4J35M2WKdMp6SWxFcF9tAS1zn68e7goSq9GQPstqUig6qjKnDKyFXorWBa1sJo%2BUK4N2bm4juVHAhiegU2%2FecIleG3oWU%2FHvxMVr3XRmFyeeUzRInYDH3XriHs80JZxQzo2jKF8xIrws8uOT4LDraZGYgtOTaVYHcUcGt9hfoBVX06N9icPQQ2cHVCPl4j8h%2Fg9PwmzREaDj7PEcq4MKBgSiYJu8Ovtu%2B65MMH7uVXTp%2FZxNsrKNqngf9iiB%2F%2FVwfckvHn1%2BxhTEArT0GlEx9E705cGGGWlMc4F0tKkybsbXU4G91j7XwOOz1LXng6gCmK2OZ2CmvgxPXAdaBO8DJimZRpj5c6IzrfJmJGSaUZkHodXRIPl07K7ttVwLn%2B3XJMTLBp44lNzFQYLehu8idsIhnTUMUUBqHctUbJTR6oxTPaB0bDKwX1pTCFJDuLHrCC5lYdZczjjxf7a5jgsf1bWBv07z1ich2O4LM1qPF6FroxODKveY8TksFfuAqhB7zsqwGmMOk1FEwe2O9FZC%2Bctqe7QpWcA7smDwWKl4mFo1kfRJcdlbcCH%2FSm0%2FWok6CrBGXe6gvcdUgp2GpjoT9MCk7xee%2FyK3BSW5b%2FJIcSJIy9f4xjywSZkWKYnLKCCkf6VZFQg1gag9CqRDS3RxB%2BtloCMdHVEywxiCj5yOuUd8dGFbOSWLEyarJOwLyC27aABESV9CZpR8wE4IebkXjEGc5Soqz3YbqR8aLsWfxPG%2FPSTyjyriw1%2FB444ZaoWw6Ye7heNSBkkEYh%2BG0rZgmLENavq6r0IExHecpPo9Qog4PC2hb3mikb6ivgXRSk%2BCKlS6rA64QrWBOG4rerPNqiRW1ofVluRkl%2FHgDz31Z4BRHCsuuZfMep5W2VgZDqWbBGB2KFayGCkfrjCo0kTzikLJWnvzOPKb5I1EH2og7iCUxuAGlPTgIbRYWjpc0OL%2FLDt7TW%2Fpu6wsMiK0vT07EOPqcvlSOKd90xR24UrMlmMtbUtIwC%2FSC8M%2Bd3uBb%2F%2FDcUQe9HOmtxZgppm1PA42%2BMeaJUQeQku44LsFE%2Faho0fELEDuRyQkVj7Ms7sLFLhfZEcI7BFnWrcoZeULJsBd%2FzEEve4zEHHgjOf7%2FLD8zJ%2BQ5HTDGfaEzaGs%3D,1,0,0,0,0,#1240586879,Universal,Bluetooth,S530,NA,NA
127, Fones De Ouvido Sem Fio Bluetooth I7s Tws ,249,NA,726,206,12x,23.89,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.8,917,https://perfil.mercadolivre.com.br/QUALITYSP?brandId=515,https://produto.mercadolivre.com.br/MLB-994119741-fone-bluetooth-edifier-w800bt-cores-alta-performance-_JM,769,119,23,3,3,#994119741,Edifier,W800BT,W800BT,NA,Over-Ear
128, Fone De Ouvido Bluetooth Bt 4.1 Mini Portátil Chamada Música ,20,NA,1246,9885,4x,5.12,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,3.4,27,https://perfil.mercadolivre.com.br/LARTEC+MAGAZINE,https://produto.mercadolivre.com.br/MLB-955807618-fone-de-ouvido-bluetooth-bt-41-mini-portatil-chamada-musica-_JM,9,6,4,4,4,#955807618,Universal,NA,Wof Tech,NA,NA
129, Fone De Ouvido Bluetooth Dacom P10 Ipx7- A Prova D´agua! ,210,NA,6,2,12x,17.50,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.5,37,https://perfil.mercadolivre.com.br/REGIS+IMPORTS,https://produto.mercadolivre.com.br/MLB-1034580893-fone-de-ouvido-bluetooth-dacom-p10-ipx7-a-prova-dagua-_JM,27,4,3,2,1,#1034580893,Samsung,NA,P10,NA,In-ear
130, Fone De Ouvido Bluetooth 4.1 Mini Portátil Chamada Música Bt ,19,NA,128,1880,4x,5.40,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/DHOUTLET,https://produto.mercadolivre.com.br/MLB-1218875041-fone-de-ouvido-bluetooth-41-mini-portatil-chamada-musica-bt-_JM,NA,NA,NA,NA,NA,#1218875041,Universal,NA,NA,NA,Headset
131, Fone De Ouvido Bluetooth Jbl Jb950 Everest Super Bass Fone ,16,NA,2061,84,3x,5.99,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.3,240,https://perfil.mercadolivre.com.br/FLATSHOP,https://produto.mercadolivre.com.br/MLB-842366754-adaptador-bluetooth-universal-fone-de-ouvido-p2-celular-h44-_JM,148,46,24,9,13,#842366754,Nextrend,NA,ABT-32,NA,NA
132, Fone De Ouvido Jbl Everest Jb950 Headset Micro Sd Bluetooth ,98,NA,147,64,12x,8.17,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.5,1975,https://perfil.mercadolivre.com.br/RAS-SHOP_RELOGIOS,https://produto.mercadolivre.com.br/MLB-989171759-fone-de-ouvido-jbl-everest-jb950-headset-micro-sd-bluetooth-_JM,1433,323,122,37,60,#989171759,Universal,Everest Series,JB950,NA,Clip-ear
133, Fone De Ouvido Jbl E25 Bt Bluetooth E25bt Branco Microfone ,278,NA,250,36,12x,23.17,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.8,111,https://perfil.mercadolivre.com.br/JPARTSBRASIL,https://produto.mercadolivre.com.br/MLB-1212959401-fone-de-ouvido-jbl-t500bt-preto-original-bluetooth-2019-tune-_JM,97,11,1,0,2,#1212959401,JBL,TUNE BT,JBLT500BT,JBLT500BTBLK,Over-Ear
134, Fone De Ouvido Bose Quietcomfort 35 Segunda Geração Original ,27,NA,1556,863,5x,5.58,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.6,25,https://perfil.mercadolivre.com.br/SHOPEX.,https://produto.mercadolivre.com.br/MLB-1202718769-fone-de-ouvido-iphone-7-plus-8-8-plus-x-xs-max-xr-bluetooth-_JM,18,4,3,0,0,#1202718769,Apple,EarPods,EarPods,Todos,In-Ear e bluetooth
135, Fone De Ouvido Bluetooth I9s Tws iPhone Android Promocao ,73,NA,138,93,12x,7.07,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,5,4,https://perfil.mercadolivre.com.br/ERER5546493,https://produto.mercadolivre.com.br/MLB-1224965051-fone-de-ouvido-bluetooth-i9s-tws-iphone-android-promocao-_JM,4,0,0,0,0,#1224965051,Universal,i9s,i9s,NA,Headset
136, Fone Jbl T500bt Bluetooth T500 Bt Novo 2019 Substitui T450bt ,63,NA,288,410,12x,6.02,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.9,8,https://perfil.mercadolivre.com.br/BAISEC+BRASIL,https://produto.mercadolivre.com.br/MLB-1158857057-2-fone-ouvido-bluetooth-recarregavel-s-fio-aux-p2-sd-b05-_JM,7,1,0,0,0,#1158857057,BAISEC,NA,Bluetooth-b-05,NA,Bluetooth
137, Mini Fone De Ouvido Sem Fio Bluetooth Ponto Eletrônico 1 Und ,16,NA,141,431,3x,5.95,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,1,1,https://perfil.mercadolivre.com.br/ERER5546493,https://produto.mercadolivre.com.br/MLB-1228751864-mini-fone-de-ouvido-sem-fio-bluetooth-ponto-eletrnico-1-und-_JM,0,0,0,0,1,#1228751864,Universal,FONE PONTO (UM LADO),S530,NA,Over-ear
138, Fone De Ouvido Samsung Galaxy Buds R170 Bluetooth 2019 ,940,NA,66,14,12x,78.38,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.7,129,https://perfil.mercadolivre.com.br/DMMELOELETRONICOSME,https://produto.mercadolivre.com.br/MLB-977362581-fone-de-ouvido-samsung-galaxy-buds-r170-bluetooth-2019-_JM,104,16,4,2,3,#977362581,Samsung,Galaxy Buds,r170,SM-R170,Ear-Buds
139, Mini Fone De Ouvido S530 V4.1 Sem Fio Bluetooth Universal Br ,29,NA,147,34,6x,5.46,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,3.4,5,https://perfil.mercadolivre.com.br/ORIONOFICIAL?brandId=1259,https://produto.mercadolivre.com.br/MLB-1081316859-mini-fone-de-ouvido-s530-v41-sem-fio-bluetooth-universal-br-_JM,1,1,2,1,0,#1081316859,Universal,NA,S530,NA,In-ear
140, Fone De Ouvido Sem Fio Xg-12 Bluetooth 5.0 Ipx5 Hifi Top ,249,NA,412,17,12x,20.83,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.7,36,https://perfil.mercadolivre.com.br/GFCAPAS,https://produto.mercadolivre.com.br/MLB-1143240222-fone-bluetooth-50-blitzwolf-serie-bw-fye-true-hi-fistereo-_JM,28,7,0,0,1,#1143240222,BlitzWolf,Bw,BW-FYE2,FYE2,In-ear
141, Fone Ouvido Sem Fio Bluetooth 4.1 Estéreo Micro Sd Fm P2 Mp3 ,34,NA,70,395,6x,5.67,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.7,3,https://perfil.mercadolivre.com.br/CLEAR+ACCOUNT,https://produto.mercadolivre.com.br/MLB-1205917269-fone-ouvido-sem-fio-bluetooth-41-estereo-micro-sd-fm-p2-mp3-_JM,2,1,0,0,0,#1205917269,Universal,B-05,Bluetooth,B-05,Over-ear
142, Queima De Estoque !! Edifier W800bt Últimas Unidades ,59,NA,213,17,10x,5.90,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.6,8,https://perfil.mercadolivre.com.br/GOLDEN+ELETRONICOS.,https://produto.mercadolivre.com.br/MLB-1183273268-adaptador-para-fone-de-ouvido-sem-fio-bluetooth-para-ps4-_JM,6,1,1,0,0,#1183273268,New,NA,BD-PS4,NA,NA
143, Fone De Ouvido Bluetooth Air50 Mini Sem Fio Sound Hd Bass ,220,NA,69,47,12x,18.33,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,5,1,https://perfil.mercadolivre.com.br/CAMARGO+ELETRO,https://produto.mercadolivre.com.br/MLB-1174232477-fone-de-ouvido-bluetooth-air50-mini-sem-fio-sound-hd-bass-_JM,1,0,0,0,0,#1174232477,Universal,NA,Air50 mini,NA,In-ear
144, Fone De Ouvido Motorola Pulse Escape Sh012 Bluetooth ,248,NA,267,84,12x,20.67,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.8,254,https://perfil.mercadolivre.com.br/TECHMAISMUSIC,https://produto.mercadolivre.com.br/MLB-889860521-fone-jbl-t500bt-bluetooth-t500-bt-novo-2019-substitui-t450bt-_JM,213,35,3,0,3,#889860521,JBL,JBL T500BT TUNE 500BT,JBL T500BT TUNE 500BT,NA,Over-Ear
145, Fone Ouvido Bluetooth I7s 4.2 Par Tws Sem Fio Case Base ,28,NA,81,935,6x,5.26,NA,Envio para todo o país,NA,NA,3,4,https://perfil.mercadolivre.com.br/OLIST?brandId=866,https://produto.mercadolivre.com.br/MLB-1176447022-fone-ouvido-bluetooth-i7s-42-par-tws-sem-fio-case-base-_JM,0,2,1,0,1,#1176447022,Universal,NA,NA,NA,NA
146, Fone De Ouvido Sem Fio Samsung Blutufe K66 iPhone Moto Lg S5 ,87,NA,5,9994,12x,8.40,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/AUMA5309426,https://produto.mercadolivre.com.br/MLB-1185478676-fone-de-ouvido-sem-fio-samsung-blutufe-k66-iphone-moto-lg-s5-_JM,NA,NA,NA,NA,NA,#1185478676,Samsung,Headset,S-2365,NA,Bluetooth
147, Fone De Ouvido Sem Fio Bluetooth Academia Malhação Bh-503 ,29,NA,125,265,6x,5.55,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,5,4,https://perfil.mercadolivre.com.br/LOJADOCHICO,https://produto.mercadolivre.com.br/MLB-1114729207-fone-de-ouvido-sem-fio-bluetooth-academia-malhaco-bh-503-_JM,4,0,0,0,0,#1114729207,Universal,NA,Fone BH-503,NA,Over-ear
148, Fone De Ouvido T110bt Bluetooth Preto Jbl T110 Bt Original ,248,NA,818,362,12x,20.67,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.8,111,https://perfil.mercadolivre.com.br/TECHMAISMUSIC,https://produto.mercadolivre.com.br/MLB-875932473-fone-jbl-t500bt-bluetooth-t500-bt-lancamento-substitui-t450-_JM,97,11,1,0,2,#875932473,JBL,Tune Series,JBL T500BT,NA,Over-Ear
149, Fone De Ouvido Bluetooth 4.1 Mini Portátil Chamada Música ,24,NA,124,13,5x,5.45,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,5,2,https://perfil.mercadolivre.com.br/MYG-SHOP,https://produto.mercadolivre.com.br/MLB-1143105040-fone-de-ouvido-bluetooth-41-mini-portatil-chamada-musica-_JM,2,0,0,0,0,#1143105040,Universal,Bluetooth,Wof Tech,S530X,Ear-Buds
150, Headset Fone Bluetooth Jbl Jb950 Everest Super Bass + P2 ,36,NA,431,969,6x,6.15,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.7,15,https://perfil.mercadolivre.com.br/ELLECTRO.COM.BR,https://produto.mercadolivre.com.br/MLB-1182432919-fone-bluetooth-de-ouvido-b05-sem-fio-sd-fm-p2-b05-_JM,12,2,1,0,0,#1182432919,JBL,B-05,B-05,B-05,Over-Ear
151, Fone Ouvido Bluetooth I7s 4.2 Par Tws Sem Fio Case Base ,37,NA,62,93,6x,6.33,NA,Envio para todo o país,NA,NA,3.2,6,https://perfil.mercadolivre.com.br/OLIST?brandId=866,https://produto.mercadolivre.com.br/MLB-1114463146-fone-ouvido-bluetooth-i7s-42-par-tws-sem-fio-case-base-_JM,2,1,0,2,1,#1114463146,Universal,NA,NA,NA,NA
152, Fone Ouvido Headphone Sem Fio Bluetooth Micro Sd Fm P2 B-05 ,68,NA,184,321,12x,5.72,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.9,14,https://perfil.mercadolivre.com.br/MCACESSORIO,https://produto.mercadolivre.com.br/MLB-1184328482-fone-ouvido-headphone-orelha-gato-bluetooth-infantil-p2-led-_JM,13,1,0,0,0,#1184328482,Exbom,NA,HF-C240BT,HF-C240BT,Over-Ear
153, 1 Fone De Ouvido Bluetooth 4.1 Mini Portátil Chamada Música ,19,NA,124,9,3x,6.66,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,5,3,https://perfil.mercadolivre.com.br/LOJA_DUPONTO,https://produto.mercadolivre.com.br/MLB-1085544110-1-fone-de-ouvido-bluetooth-41-mini-portatil-chamada-musica-_JM,3,0,0,0,0,#1085544110,Universal,NA,Bluetooth,NA,In-ear
154, Fone De Ouvido Bluetooth Jbl Jb950 Super Bass - Promoção ,178,NA,191,33,12x,17.11,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.6,90,https://perfil.mercadolivre.com.br/CITRON+INSTRUMENTOSMUSICAIS,https://produto.mercadolivre.com.br/MLB-1183395400-fone-jbl-bluetooth-tune-205bt-original-t205-bt-bluetoothnf-_JM,68,13,4,3,2,#1183395400,JBL,TUNE,Tune 205BT,tune205btblk,Ear-Buds
155, Fone De Ouvido Bluetooth 4.1 Mini Portátil Chamada Música ,19,NA,175,4986,4x,5.27,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.6,7,https://perfil.mercadolivre.com.br/IDEAL+COMERCIO,https://produto.mercadolivre.com.br/MLB-1023225193-fone-de-ouvido-bluetooth-41-mini-portatil-chamada-musica-_JM,5,1,1,0,0,#1023225193,Universal,Mini,Wolf Tech,3,Mini
156, Fone De Ouvido Sem Fio Samsung Galaxy Buds Sm-r170 - Preto ,899,NA,1,3,12x,86.02,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.9,11,https://perfil.mercadolivre.com.br/IPXBRASIL,https://produto.mercadolivre.com.br/MLB-1222528690-fone-de-ouvido-sem-fio-samsung-galaxy-buds-sm-r170-preto-_JM,10,1,0,0,0,#1222528690,Samsung,Samsung Galaxy Buds,Buds SM-R170,SM-R170,Ear-Buds
157, Fone De Ouvido S/ Fio Visor Mp3 Radio Fm Bluetooth Micro Sd ,51,NA,236,90,10x,5.80,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.8,6,https://perfil.mercadolivre.com.br/LRD-SHOPSOLAR,https://produto.mercadolivre.com.br/MLB-1102010136-fone-de-ouvido-s-fio-visor-mp3-radio-fm-bluetooth-micro-sd-_JM,5,1,0,0,0,#1102010136,Universal,Over-Ear,KP-348,NA,Over-ear
158, Fone De Ouvido Jbl T500bt Bluetooth Tune Preto Nota Fiscal ,60,NA,1069,946,12x,5.82,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.5,1975,https://perfil.mercadolivre.com.br/HERMAN+SHOPPING,https://produto.mercadolivre.com.br/MLB-1201625201-headset-fone-bluetooth-jbl-jb950-everest-super-bass-p2-_JM,1433,323,122,37,60,#1201625201,JBL,Everest Series,Everest Series JB 950,950,Over-Ear
159, Fone Ouvido Favix B08 Sem Fio Bt Headset Fm Radio Sd Stereo ,64,67,457,9841,12x,6.12,NA,Envio para todo o país,NA,NA,4.6,765,https://perfil.mercadolivre.com.br/HARDFAST_INFO?brandId=2311,https://produto.mercadolivre.com.br/MLB-825019711-fone-ouvido-favix-b08-sem-fio-bt-headset-fm-radio-sd-stereo-_JM,544,163,43,7,8,#825019711,Universal,Fone Bluetooth,B08 fx,fx-b08,Head
160, Fone Jbl Tune 500 Bluetooth T500bt Original Melhor Q T450 ,249,NA,726,206,12x,23.89,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.8,917,https://perfil.mercadolivre.com.br/QUALITYSP?brandId=515,https://produto.mercadolivre.com.br/MLB-994119741-fone-bluetooth-edifier-w800bt-cores-alta-performance-_JM,769,119,23,3,3,#994119741,Edifier,W800BT,W800BT,NA,Over-Ear
161, Fone De Ouvido Bluetooth 4.2 Par I7s Tws Sem Fio Case Base ,74,NA,87,208,12x,6.24,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,2.7,3,https://perfil.mercadolivre.com.br/ARTFLEXSUPORTES,https://produto.mercadolivre.com.br/MLB-1178199504-fone-de-ouvido-bluetooth-42-par-i7s-tws-sem-fio-case-base-_JM,0,1,1,0,1,#1178199504,Universal,1,i11s,1,Ear-Buds
162, Fones De Ouvido Xiaomi Bluetooth ,46,49,220,9779,10x,5.34,NA,Envio para todo o país,NA,NA,4.4,26,https://perfil.mercadolivre.com.br/HARDFAST_INFO?brandId=2311,https://produto.mercadolivre.com.br/MLB-1170712351-fone-bluetooth-favix-sumexr-sly01-esportes-zs-ouvido-sem-fio-_JM,14,10,1,0,1,#1170712351,Favix SumeXr,Fone de ouvido Sem Fio,SLY-01,sly01,intra auricular
163, Fone Ouvido Sem Fio I7s Tws Bluetooth AirPods Ios Android ,89,NA,51,948,12x,8.59,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,3,2,https://perfil.mercadolivre.com.br/MOBILETECHRJ,https://produto.mercadolivre.com.br/MLB-1223800469-fone-ouvido-sem-fio-i7s-tws-bluetooth-airpods-ios-android-_JM,0,0,2,0,0,#1223800469,Universal,Airpod Bluetooth,Airpods i7S TWS,i7S TWS,In-ear
164, Fone De Ouvido Sem Fio Awei A885bl Galaxy S9/s8/plus/s7/s6 ,239,NA,4,46,12x,20.00,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,5,8,https://perfil.mercadolivre.com.br/KINGBIZ+RONALDO,https://produto.mercadolivre.com.br/MLB-1047840669-fone-de-ouvido-sem-fio-awei-a885bl-galaxy-s9s8pluss7s6-_JM,8,0,0,0,0,#1047840669,Samsung,Galaxy,A885BL,NA,Clip-ear
