search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,color,size,Marca,Modelo,Tipo de casco,Género,Peso,Línea,Tipo
646," Original Casco Alemán De Cromo Para Motocicleta Chopper, L, ",70.99,NA,0,3,12,5.916,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/UP-SHOP,https://articulo.mercadolibre.cl/MLC-468637813-original-casco-aleman-de-cromo-para-motocicleta-chopper-l-_JM,NA,NA,NA,NA,NA,#468637813,NA,NA,NA,NA,NA,NA,1.1 lb,NA,Rebatible
647," Troy Lee Designs Overol Adulto Se4 motocross Casco De Moto, ",358.99,NA,0,3,12,29.916,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/UP-SHOP,https://articulo.mercadolibre.cl/MLC-470782062-troy-lee-designs-overol-adulto-se4motocross-casco-de-moto-_JM,NA,NA,NA,NA,NA,#470782062,NA,NA,Troy Lee Designs,NA,NA,NA,NA,NA,Abierto
648, Casco De La Motocicleta De La Cara Completa Casco Tctico D ,56.68,NA,0,200,12,4.723,NA,NA,NA,NA,NA,NA,https://perfil.mercadolibre.cl/TOMTOPWHOLESALECL,https://articulo.mercadolibre.cl/MLC-486459526-casco-de-la-motocicleta-de-la-cara-completa-casco-tctico-d-_JM,NA,NA,NA,NA,NA,#486459526,NA,NA,NA,NA,Integral,NA,NA,NA,NA
649, Visor Mica Silver Para Casco Moto Nzi Abatible Combi Duo ,25,NA,1,9,6,4.167,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/MR7_ACCESORIOS,https://articulo.mercadolibre.cl/MLC-451881362-visor-mica-silver-para-casco-moto-nzi-abatible-combi-duo-_JM,NA,NA,NA,NA,NA,#451881362,NA,NA,NZI,Combi Duo,NA,NA,NA,NA,Rebatible
650, Casco Dot Enduro/cross Omoto. Fullpower Moto ,38.512,NA,0,3,12,3.209,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/FULLPOWER+MOTO,https://click1.mercadolibre.cl/mclics/clicks/external/MLC/count?a=G1MWT%2B2jTwvW0w4YzbrgBzZf9af0cIuJXVQyx1ZBqxnyijiaFJhCKz8V6K7kwBxaATtbWcdtVeuodhDxUsd8U70PB5mDLZW4MR4M%2FvRmcETOVUoqYsOITsNfz90%2Fs0Qw7%2FBjYAmVn0xoGsOjm6WuAMYGbR%2B7UC3nPAzjnPTf5JL8KkWb06t%2F%2BvKxwn8vOAkTSarj2XJ%2BinHgNdQw6alZS%2FxYl14u02iy2SJJalskFRI3iuVjkEEMFrY9WxOQYpVOFTI6nBMvB%2FzCrhJXjw2%2BmnccxLMUqg7YcoQiPGhLXCNHtMeUIYZGDbfP2cwullq%2F3%2FpIHoLkhDXrADmvHASbFJfViPyIpv0S%2BFTm5ccg0GCPD%2Fx8HQco%2BtiKpjZo%2BZanjaO6kCOsaThGMZ7IkTBxSay1Fz7ZAZ7qhG%2FE9A6iNeSRlYlkIRDqnYIyCAU3KAOnRbQbZF0cULYSBOoGzgGV2O%2Bch8ivbXzjnjdP2zL6NU%2B9A63xWtadNUcqVIwIFstyC7%2Bz5bDNtIDe2FVgBbvoj7Bcukpbc0SFPoCW6nDdlqPj%2FF730ZaSI%2B6RxwIAwk9185ZVy%2FEc0vC%2BD4cF1hY77%2FuSkJLsfR8U0VhzqfdbVctdiZcEsLRWMVfrRU2Ch8aLGfxQ2DCbB8JcmypmNZjEh5P4lCHNzmBfgiHtSjsdDhYPaBw0pUrCk1a%2FMI18SCxS19VO1zvHIuNg62IETk0an4TaH%2BEW3AtFTaXk3jF1AoZAWslVJqoF%2BL02zuAQmSoHciwEgmc8fXjhH2iWIbHOC4iycW%2FpEwvql%2Fyhg9sVUy8j4eCO1804REkKK0AEB1rxzEsfhKjp%2FAwMTj%2F1yaIeql%2BvKLodM6dUx0T0th6nHAkSz1TJSZKERpBqjW5i%2FcbUfHhth6Dd4CYNLyX8GrlZj6OECM82hC3TE1nJYDDmct1WLyUAAL65VSQYpEAduT8LvvsrtHlieEaB%2BV9agNeNwTLm0OJCul8GiyAYQ8KGmv6eacLjFrAs2vU4U9lzAldevXHj%2Fe8SPez83HRQSBv09rE88waJhuANKdqrsYJ9o%2BDDa7g7zLxJRK%2Fli4oHJ8ffZcczXG4tkMw8tXx3vRQehWGrkOzp3AqaQ%2Bm%2FCDdNfXbv75z%2FKRgKbQEq0d5x%2BtufyiV%2FWNhyyKm1XuZ2mjkCaPPasQivwmgpMVsLubiilBXbRQb1%2BVH8DFjEbCGTig8voujE60zJL2kJwBjX9Bz5bJS38c9w4GGLLk8C1KK7%2B%2FNyKpLyo1N4ZEgJX3MABioHbyvXrNYlIvJhAj4j9f2wsMPWAIDCMPRX1qhZ73EstqK3eTt4m3CT7Guc9IS1VaajlBbhkOoeaIT2NpLIreIf9v9rA2jzObMuZI%2FvZ5WeEPlW4XHvpipXehHnqyAQCLQZsFRjfwwrLCdDxrsiVrlltf7RGvAVy7Pve7KiCngdaBsFeZ6iAnMQMOvZbBo%2Fb0bDdXll6AVh58LIjSCw9FMpxgJhSfUXg3IhaP2734KsAw4jm4GMzqS%2F%2FBRSnm%2FFIFCThlrLomfWYl7BqGc3xJjWVxp9fN0n%2Fr%2B0jTcV8E%2Fpqc%2BbTXCmGFLfM94hug4UlxHI,NA,NA,NA,NA,NA,#460151177,NA,NA,NA,NA,NA,NA,NA,NA,Cross
651, Casco Moto Ls2 Ff352 Ayd Negro Azul Morado ,52.99,NA,1,20,12,4.416,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/MOTOXTREME.CL?brandId=329,https://articulo.mercadolibre.cl/MLC-464616505-casco-moto-ls2-ff352-ayd-negro-azul-morado-_JM,NA,NA,NA,NA,NA,#464616505,Negro,"XS,S,M,L",LS2,FF352 ROOKIE AYD,Integral,Unisex,1350 g,NA,NA
652, Casco Motocicleta Mitad Abierto Cara Tamaño Ajustable Prote ,18.525,NA,1,200,12,1.544,NA,NA,NA,NA,NA,NA,https://perfil.mercadolibre.cl/COMPRALEGRECL,https://articulo.mercadolibre.cl/MLC-476534813-casco-motocicleta-mitad-abierto-cara-tamano-ajustable-prote-_JM,NA,NA,NA,NA,NA,#476534813,NA,NA,NA,NA,NA,NA,NA,NA,Integral
653, Ls2 helmets Cabrio Carbono Open Face Casco De Moto Con Viser ,461.99,NA,0,3,12,38.499,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/UP-SHOP,https://articulo.mercadolibre.cl/MLC-465880690-ls2helmets-cabrio-carbono-open-face-casco-de-moto-con-viser-_JM,NA,NA,NA,NA,NA,#465880690,NA,NA,LS2 Helmets,Cabrio,Abierto,NA,2.18 lb,597,NA
654, Cascos Enduro/cross Ybk Fullpower Moto ,34.29,NA,1,5,12,2.858,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/FULLPOWER+MOTO,https://click1.mercadolibre.cl/mclics/clicks/external/MLC/count?a=cabfPj5Q2a9DDFnPPYIKG0Va54m%2B9tPofKc61roLlGy%2FJ63l%2B7ndbwcEXH4a19GR00iwGyNAoSRcrorV1xSd0iwjxF2ywPtK%2FVCuTkLYswmCaiOTTP%2BBOsugfkfoJCRa8bCtqkuHZUXfjBisqUtIEjfcCYch9kiPdES%2BIEdRlJdc%2B7i9lVhV6Wl1MWsszffglXmlkFWrwxT0GGLZp9IRTnlIL%2BZXs8eGGJwD4Idf3s%2BN8l%2FHuEXFMX%2FD9mlaBKh8L3oq501MpIUnkdDzaAmy6BPlBcSpYpoGYYdbYQvwIp1TtP6joq2At4r0q9rFxurIybcZ8lmxLoNbwPf%2BaRGukDNoHeBQbMRiWHxNTVTAXV0LraSsHozhVE5TfnDqPafEvYGwLwGUKZ85QQEvw%2BEAcpAhJ%2B0tXtFJEIMiiW4L6KE%2F7smr0ML2XAKk0lmFf6Ic7WtKH7vPjKeDGIr%2BfzDgA%2BboD88OUJ6RIlwTVweE%2F51fVXPpMlAmCK2Nfot0RERJXOmj%2B7%2F1oH5dIybN45Pcgc4LydmJlhPQvPRo99lAowdvRj0I3Tb41T11cXgkT7dshR%2Fe0nLJntNEobpc0NzJWE%2FvZzI3lbIfJw9FK8hNBq2wz5rqTo6d06diiXxo9JRK0NEr8X7%2BbtNG3BS3C56h66ZIrEByQD04KNJuWd3Qh4rHYvhkA3PTyz%2BDAxukJjkwb1gqsB6zthE2yULhWxPMQB0a8L41UsASiwDZQu3trPLvUAwZjIMzOV7IhAWtcobQM3d3Odn4PO7iiGZkBrxi7CFgQI4GZtFLcLKUEQe8v%2Bun%2BS31jm2RD%2FrxqaCrNSxMa9f6clmZcD07WuGA%2FrBrnrwSnxEGLPKdFv4atXKs3cQ43zI51UjBFhHe1DLIlw16wxaGQ%2FG%2BujX%2Fe7ss93mCl1CcLZSvNqOX1kegJ5tdqzmbPOU03uI42KfmJb6A4%2BpB9XsZgmciqTlWt2Rn2Bfw%2B8pX30gUdAFNrKJ2i9ND80pRsNGV5nVVgSwtXs6MYhOolkuDnnUalSigppumbMKK%2FNmnYJHWgXuoK7LvzcMmxPYy%2BRKm4L9dW3UzIDwMbYlYpCIIBvprUIeUxdf2cFH7PfVaK9uIIguWCMVaoH7oO0XiUSC0wNWdCG%2BY%2F%2FF7hXAvf5GPJ%2Bg942XpzBvhp27VZEWs2Mpa4id1V1%2BH76nlk%2FLhmVbMMwTbp7k%2BEY1HqC%2FSEk%2BOURJDvcIKEZ3jSt1UcgW0cvHRt87f%2F%2Br3wrhxpFn0n%2Bs%2B51JHlWm2XOR1aoMbQLBwfZWsE2N%2FOMMIFRY3oRJcUMFZ21nNE901VJL3CDOBPCRxg0%2FpsmqyUBBgFUEb4lZ6XS8GRR3%2BP5A2TZBWtmMfkbzDu%2FN1AIQZSELGsiyqiXAIW2soV44dCcVLhZTAxEdbToS150UTRBjLupnWfYu6c77jENYaq4fmpvwSuXuxFQ9DMyJO7wgcdEE4ZT9dcZnvDDRSt%2BeGgsXIAD0n9Lx6luzJoPdCoE9O2TV3Mpk0wsKIYpzvGUSgttsOiD2fJzx%2FE%2BCswhiEDnui3X6NfK1QBqXSuIFMQfDUvAw19TSQ04l9Xf5uin7lbQ%3D%3D,NA,NA,NA,NA,NA,#460297983,Negro/Rojo,L,YBK,Monster,Cross,NA,NA,NA,NA
655, Casco Moto Shoei X-spirit 3 Laverty Tc-4 ,549.99,649.990,NA,4,6,91.665,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/YAMAHA+OFICIAL?brandId=146,https://articulo.mercadolibre.cl/MLC-482014092-casco-moto-shoei-x-spirit-3-laverty-tc-4-_JM?searchVariation=34318662777,NA,NA,NA,NA,NA,#482014092,TC-4,"S,M,L,XL",Shoei,X-Spirit III,Integral,NA,NA,NA,NA
656, Casco Moto Ls2 Ff 397 Vector Blanco Azul Integral ,145.99,NA,0,2,6,24.332,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/MR7_ACCESORIOS,https://articulo.mercadolibre.cl/MLC-460909083-casco-moto-ls2-ff-397-vector-blanco-azul-integral-_JM,NA,NA,NA,NA,NA,#460909083,NA,NA,LS2,Vector,NA,NA,NA,NA,Rebatible
657, Casco Moto Ls2 Ff353 Rapid Solid Negro Brillante ,59.99,NA,1,23,12,4.999,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/MOTOXTREME.CL?brandId=329,https://articulo.mercadolibre.cl/MLC-495675454-casco-moto-ls2-ff353-rapid-solid-negro-brillante-_JM,NA,NA,NA,NA,NA,#495675454,"S,M,L,XL,XXL",,LS2,FF353 RAPID,Integral,Unisex,1250 g,NA,NA
658, Set De Tornillos Repuesto Para Casco Moto Nzi Combi Fijacion ,6.99,NA,0,20,12,582,NA,Envío a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/OXS+ACCESORIOS,https://articulo.mercadolibre.cl/MLC-471232375-set-de-tornillos-repuesto-para-casco-moto-nzi-combi-fijacion-_JM,NA,NA,NA,NA,NA,#471232375,NA,NA,NZI,COMBI SMOKE,NA,NA,NA,NA,Integral
659, Casco Moto Thh Certificación Europea ,75,NA,0,7,6,12.500,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/QUILTROPE,https://articulo.mercadolibre.cl/MLC-463963378-casco-moto-thh-certificacion-europea-_JM,NA,NA,NA,NA,NA,#463963378,NA,NA,THH,NA,NA,NA,NA,NA,Rebatible
660," Motocicleta Scooter Open Face Casco Dot, Color Negro Brillan ",80.99,NA,0,3,12,6.749,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/UP-SHOP,https://articulo.mercadolibre.cl/MLC-470768396-motocicleta-scooter-open-face-casco-dot-color-negro-brillan-_JM,NA,NA,NA,NA,NA,#470768396,NA,NA,NA,NA,NA,NA,3.2 lb,NA,Abierto
661, Motocicleta Completo Cara Casco Visera Para Hjc Hj -09 Cl -1 ,7.111,NA,0,35,12,593,NA,NA,NA,NA,NA,NA,https://perfil.mercadolibre.cl/HOMEGARDENTOYSCL,https://articulo.mercadolibre.cl/MLC-473549621-motocicleta-completo-cara-casco-visera-para-hjc-hj-09-cl-1-_JM,NA,NA,NA,NA,NA,#473549621,NA,NA,NA,NA,NA,NA,NA,NA,NA
662, Casco Moto Ls2 Ff352 Locus Blanco Azul Rojo ,52.99,NA,2,29,12,4.416,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/MOTOXTREME.CL?brandId=329,https://articulo.mercadolibre.cl/MLC-466725227-casco-moto-ls2-ff352-locus-blanco-azul-rojo-_JM,NA,NA,NA,NA,NA,#466725227,"M,L,XL",,LS2,FF352 ROOKIE,Integral,Unisex,1350 g,Locus,NA
663, Cod. 22/23/71 Casco De Moto Para Adulto ,19.99,NA,0,1,12,1.666,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/FARENASL,https://articulo.mercadolibre.cl/MLC-484025758-cod-222371-casco-de-moto-para-adulto-_JM,NA,NA,NA,NA,NA,#484025758,Azul/Gris/Rojo,M,NA,NA,Integral,NA,NA,NA,NA
664, Sistema De Fijacion Para Casco Arex Mr 807 ,7.5,NA,1,68,6,1.250,NA,Envío a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/MR7_ACCESORIOS,https://articulo.mercadolibre.cl/MLC-490474656-sistema-de-fijacion-para-casco-arex-mr-807-_JM,NA,NA,NA,NA,NA,#490474656,NA,NA,NA,NA,Rebatible,NA,NA,NA,NA
665, Visor Casco Moto Shiro Sh-821 (transparente) ,14.99,NA,2,8,6,2.498,NA,Envío a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/YAMAHA+OFICIAL?brandId=146,https://articulo.mercadolibre.cl/MLC-457954766-visor-casco-moto-shiro-sh-821-transparente-_JM,NA,NA,NA,NA,NA,#457954766,NA,NA,Shiro,SH-821,NA,NA,NA,NA,NA
666, Casco Modular Traiangle Helmets Para Motocicleta Con Visor D ,100.99,NA,0,3,12,8.416,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/UP-SHOP,https://articulo.mercadolibre.cl/MLC-470765459-casco-modular-traiangle-helmets-para-motocicleta-con-visor-d-_JM,NA,NA,NA,NA,NA,#470765459,NA,NA,NA,NA,NA,NA,3 lb,NA,Integral
667, Casco Moto Integral Arex 807 Ms Gris Negro Naranjo Mate ,55,NA,0,30,6,9.167,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/MR7_ACCESORIOS,https://articulo.mercadolibre.cl/MLC-457265483-casco-moto-integral-arex-807-ms-gris-negro-naranjo-mate-_JM,NA,NA,NA,NA,NA,#457265483,NA,NA,Arex,MR 807,NA,NA,NA,NA,Rebatible
668, Cod. 102/121/111 Casco De Moto Para Adulto ,25.99,NA,0,1,12,2.166,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/FARENASL,https://articulo.mercadolibre.cl/MLC-484024707-cod-102121111-casco-de-moto-para-adulto-_JM,NA,NA,NA,NA,NA,#484024707,Blanco,M,NA,NA,Integral,NA,NA,NA,NA
669," Scorpion Exo-500 numbskull Street Casco Para Moto, Phantom ",294.99,NA,0,3,12,24.582,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/UP-SHOP,https://articulo.mercadolibre.cl/MLC-470771284-scorpion-exo-500numbskull-street-casco-para-moto-phantom-_JM,NA,NA,NA,NA,NA,#470771284,NA,NA,Scorpion,NA,NA,NA,4.8 lb,NA,Abierto
670, Casco Motocicleta Shaft Shpro-555 Clown Payaso Oem Osmart ,74.99,NA,0,NA,12,6.249,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/MIGA121212,https://articulo.mercadolibre.cl/MLC-448711036-casco-motocicleta-shaft-shpro-555-clown-payaso-oem-osmart-_JM,NA,NA,NA,NA,NA,#448711036,NA,NA,Shaft,NA,Rebatible,NA,NA,NA,NA
671, Soporte Camara Gopro Mentón Casco Moto S/daño Adaptado ,19.9,NA,8,2,12,1.658,NA,Envío a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/ESTOYKUKU,https://click1.mercadolibre.cl/mclics/clicks/external/MLC/count?a=xd5WpU1XJYu0HRrScVXGm7jlPsd2G6CjQk%2BxNzPoJ3%2BlVh7VTvqteLgZ4Ccx2my5LinfUA%2BrZ%2FeFIdx7LFtDLjERlUNlI51LtkFgVayjdYSziW3XaDZwpu9lqmHEcSS0v1yUc3EZ3VvIN5sxrtTvF%2BgYKaJ%2Be5sB69tCPkOli3kwIRHeIB5LcNrsK2WA1dr6rDMNVwwGBXP1aW1ndZY6V3Z%2FPUg09U87uxZQqy5nZW2y0lvfv3O8j46ZVZVb0E1cqtRm501puT9vEhjBbEaCDDftnvdtVNxXl6u8DfS5ssJvRhoUwYnsCgt6kSl0RRMBUH%2BQaw6r4cLLJ1f8umkhtTMX%2Fiu9iIrU7vL7ocnQ%2FttrdETxDJIfCTGSSOfcmUKRmAuf0N%2BoFhR26bNahS75ELcVNyPQFfbzC42Ce49Z5T8s1BCjwCRoDBE2HPW1RyrYjIsZK%2Bbweq3Nhg20lGmxG%2FjlmdP0Hl%2FqoWoJSYlEBik7IvaYz3oTbHaJk9V4UHSsLro49RUcB64tzyuRoZhFOrz1enZUUjjaB0gFMB0g1xSTxJ5HTvS9A8ulW3781gjO3cjdckeLAq7X6%2B3bFpbOK6c8bMEpWgnenp0meZrvwuVCg0FpJfRxBfnnoKhLQ4f8VL1jbB0d4K1rxWvLys%2F3Dq6dFCyZOAnQwJsbkM5%2Fqwy73XVy6n3kyvo7Txc898OUiJPN1VxMTj0Cg24WjFZciQz1zza7ObIXq0iSLkMfAJrjP3HA1ej0cZxVZV9Gc9kf6USJxe%2Fo0lEmQETzQ9Slbkq%2FeCkV3o%2BQcjhxJ6R%2BIvLr2pdW7rYgzwVXcZjW9yY7SZnM%2FvtTOPCo5rCcWDzufduMq84P16hlmsSnCZDwePZQ1Lm0Zw1qqz5R9HS6S2nTcFNYOP9rV88J5o5ibeBZBE%2F222n4A0RlGbuVkU9lPrke5dGGLGlEuN%2BiQHGPAf%2FSNvWc2gO%2BCBCQlKQdIoRSc%2BNDxI%2Fg6oy616jzerox%2Fh1KF5XksoEQ1SxMO0JY0Goe17ru9jiuz%2BFEN2lHytUL1DteFkJxI6w51IuGdjWF5PPamhmL7Dxh9%2B2g2RtS%2B1DqbIo6ThCWJKuYFsukkll5Y3NgTn5hKCMTdmq4G5Kr416D1OYThiJLkD83MSkEyZZDYpbJaI95AEkcfQGkqVVdB7pGjTjEwy7HyarQ3FAbLmsMsOgZt68Vgzhjk%2B%2FPvAmQ%2FVEaQxHqwJgXefRyKkL8%2FLtHE1Dry1eZCX9uPEzPlQVfmkFPTIMLaOo1fXLG12UNTsYa%2BS7t%2B6mYD9tV4eSjh%2B0WBdQuN0dO%2FcCogGUQwg4pGlZDTH%2By6oFaSyz%2BtW6Hn0E8SU5oUlnUbeS9lowt9klAMd6uNISuqaF2PyrCq4YEB2z4xM%2B9O9%2Buc7rNxgpEVwf4fK0WExN9%2FNxeZhzxuwOJib4%2FfyY2KJefLla703JrY0Z0%2Fa5dFYFNu8SOOzuMu1py8ScIQ%2B99BlnXky4jS%2Fxs%2FVGClbhYc4HkgdthVQwL%2FgAIpVe%2BDy2BS4KJDW3FQTwI1Lb9gdFVTxqAvuEsInXRTkVztTxLRTXj1hV3vvALOe%2FakYVhUxqeXle1057uvzaKQrVXZtzGLc8%3D,NA,NA,NA,NA,NA,#467482186,Negro,NA,Estoykuku,Go! Pro,Integral,NA,150 g,NA,NA
672, Casco Motocicleta Bell Qualifier Icon Airtrix ,89.99,NA,0,2,6,14.998,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/PINCHEIRAMOTOS.OFICIAL,https://articulo.mercadolibre.cl/MLC-463458786-casco-motocicleta-bell-qualifier-icon-airtrix-_JM,NA,NA,NA,NA,NA,#463458786,NA,NA,Bell,Qualifier,NA,NA,NA,NA,Integral
673," Raptor Open Face Casco, Cruiser-motocicletas, Camuflaje ",67.99,NA,0,3,12,5.666,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/UP-SHOP,https://articulo.mercadolibre.cl/MLC-465885837-raptor-open-face-casco-cruiser-motocicletas-camuflaje-_JM,NA,NA,NA,NA,NA,#465885837,NA,NA,NA,NA,Abierto,NA,NA,NA,NA
674, Casco Moto Integral Ghb 999 Plain Negro Rojo Matte ,37.99,NA,42,2,12,3.166,NA,Envío gratis a todo el país,NA,NA,4.5,2,https://perfil.mercadolibre.cl/MOTOXTREME+STORE,https://articulo.mercadolibre.cl/MLC-464122976-casco-moto-integral-ghb-999-plain-negro-rojo-matte-_JM,1,1,0,0,0,#464122976,NA,XL,GHB,999,Integral,Unisex,1450 g,NA,NA
675, Casco Motocicleta Ls2 Helmets Modelo Valiant Solid ,480.418,NA,0,100,6,80.070,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/COMPREONLINECHILE,https://articulo.mercadolibre.cl/MLC-476968306-casco-motocicleta-ls2-helmets-modelo-valiant-solid-_JM,NA,NA,NA,NA,NA,#476968306,NA,NA,LS2 Helmets,Valiant Solid,NA,NA,NA,399,Integral
676, Casco Moto Integral Arex 807 Jyh Gris Negro Rojo Mate ,55,NA,0,30,6,9.167,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/MR7_ACCESORIOS,https://articulo.mercadolibre.cl/MLC-457265287-casco-moto-integral-arex-807-jyh-gris-negro-rojo-mate-_JM,NA,NA,NA,NA,NA,#457265287,NA,NA,Arex,MR 807,NA,NA,NA,NA,Rebatible
677, Casco De Motocicleta Hci De Cara De Fibra De Carbono ,159.99,NA,0,3,12,13.332,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/UP-SHOP,https://articulo.mercadolibre.cl/MLC-487452229-casco-de-motocicleta-hci-de-cara-de-fibra-de-carbono-_JM,NA,NA,NA,NA,NA,#487452229,NA,NA,HCI,NA,NA,NA,NA,NA,Integral
678, Casco Moto Niño V1 Przm Naranjo Fox ,112.49,124.990,1,11,12,9.374,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/SPATRAIL?brandId=287,https://articulo.mercadolibre.cl/MLC-471093986-casco-moto-nino-v1-przm-naranjo-fox-_JM,NA,NA,NA,NA,NA,#471093986,"L,M,S",NA,Fox,Casco Moto Niño V1 Przm Naranjo Fox.,Cross,NA,NA,V1,NA
679, Nuevo V6 Casco Intercom 6 Riders 1200m Motocicleta Bluetooth ,36.32,NA,0,107,12,3.027,NA,NA,NA,NA,NA,NA,https://perfil.mercadolibre.cl/SILINGGYCL,https://articulo.mercadolibre.cl/MLC-480336057-nuevo-v6-casco-intercom-6-riders-1200m-motocicleta-bluetooth-_JM,NA,NA,NA,NA,NA,#480336057,NA,NA,TONGUE,SILINGGY,NA,NA,NA,NA,Rebatible
680, Cod. 123 Casco De Moto Para Bebé Certificado Dot ,12.99,NA,0,1,12,1.082,NA,Envío a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/FARENASL,https://articulo.mercadolibre.cl/MLC-482153302-cod-123-casco-de-moto-para-bebe-certificado-dot-_JM,NA,NA,NA,NA,NA,#482153302,Negro,XS,NA,NA,Integral,NA,600 g,NA,NA
681," Yescom Casco De Media Cara Para Motocicleta, Aprobado Por Do ",52.99,NA,0,3,12,4.416,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/UP-SHOP,https://articulo.mercadolibre.cl/MLC-470765243-yescom-casco-de-media-cara-para-motocicleta-aprobado-por-do-_JM,NA,NA,NA,NA,NA,#470765243,NA,NA,NA,NA,NA,NA,NA,NA,Abierto
682, Casco Integral Ff352mono Negro Bri Para Moto Scooter Turismo ,52.5,NA,0,7,6,8.750,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/MR7_ACCESORIOS,https://articulo.mercadolibre.cl/MLC-475821404-casco-integral-ff352mono-negro-bri-para-moto-scooter-turismo-_JM,NA,NA,NA,NA,NA,#475821404,NA,NA,NA,NA,NA,NA,NA,NA,Rebatible
683, Casco Moto Shoei Gt-air Primal Tc-4 ,294.99,369.990,NA,2,6,49.165,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/YAMAHA+OFICIAL?brandId=146,https://articulo.mercadolibre.cl/MLC-452087093-casco-moto-shoei-gt-air-primal-tc-4-_JM?searchVariation=18362710228,NA,NA,NA,NA,NA,#452087093,TC-4,"TC-4 - L,TC-4 - M,M,L",Shoei,GT-Air,Integral,NA,NA,NA,NA
684," Borgoña Novedad Casco De Motocicleta Horned Esqueletos, Rojo ",90.99,NA,0,3,12,7.582,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/UP-SHOP,https://articulo.mercadolibre.cl/MLC-470767122-borgona-novedad-casco-de-motocicleta-horned-esqueletos-rojo-_JM,NA,NA,NA,NA,NA,#470767122,NA,NA,NA,NA,NA,NA,NA,NA,Abierto
685, Hjc Bk Pantera Para Hombre Rpha-70 street  casco De Moto Mc ,884.99,NA,0,3,12,73.749,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/UP-SHOP,https://articulo.mercadolibre.cl/MLC-465883178-hjc-bk-pantera-para-hombre-rpha-70streetcasco-de-moto-mc-_JM,NA,NA,NA,NA,NA,#465883178,NA,NA,HJC,NA,NA,NA,NA,RPHA 70,Integral
686," Casco Facial Unisex Adulto Bell Qualifier Dlx, Deporte-motoc ",307.99,NA,0,3,12,25.666,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/UP-SHOP,https://articulo.mercadolibre.cl/MLC-470765843-casco-facial-unisex-adulto-bell-qualifier-dlx-deporte-motoc-_JM,NA,NA,NA,NA,NA,#470765843,NA,NA,Bell,Qualifier DLX,NA,NA,NA,NA,Rebatible
