search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca del celular,Modelo,Marca
124, Tendlin iPhone 7 Plus Case iPhone 8 Plus Funda De Piel Prem ,78.965,NA,0,10,12 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/SEKAI+EXPRESS,https://articulo.mercadolibre.com.co/MCO-482058443-tendlin-iphone-7-plus-case-iphone-8-plus-funda-de-piel-prem-_JM,NA,NA,NA,NA,NA,#482058443,NA,NA,NA
125," Funda iPhone 8 Plus, Funda iPhone 7 Plus, I-blason [ares] F ",114.597,NA,0,10,12 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/SEKAI+EXPRESS,https://articulo.mercadolibre.com.co/MCO-482059589-funda-iphone-8-plus-funda-iphone-7-plus-i-blason-ares-f-_JM,NA,NA,NA,NA,NA,#482059589,NA,NA,NA
126," Jaholan iPhone 7 Plus Case, iPhone 8 Plus Funda Chica Flora ",79.569,NA,0,10,12 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/SEKAI+EXPRESS,https://articulo.mercadolibre.com.co/MCO-482058446-jaholan-iphone-7-plus-case-iphone-8-plus-funda-chica-flora-_JM,NA,NA,NA,NA,NA,#482058446,NA,NA,NA
127," Estuche iPhone 8 Plus, iPhone 7 Plus Funda De Cinturón ",83.9,NA,1,5,12 cuotas,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/AKARGO+COLOMBIA,https://articulo.mercadolibre.com.co/MCO-465009852-estuche-iphone-8-plus-iphone-7-plus-funda-de-cinturon-_JM,NA,NA,NA,NA,NA,#465009852,NA,NA,NA
128," Funda Para Iphone 8/iphone 7 Plus, Funda Ultrafina De 360 ",79.9,NA,0,99,12 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/JOSEANTONIOMOCLETON,https://articulo.mercadolibre.com.co/MCO-490101603-funda-para-iphone-8iphone-7-plus-funda-ultrafina-de-360-_JM,NA,NA,NA,NA,NA,#490101603,NA,NA,NA
129, Jaholan Funda iPhone 7 Plus Funda iPhone 8 Plus Divertida... ,81.999,NA,0,900,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/TODOENCARGO-CO,https://articulo.mercadolibre.com.co/MCO-484011851-jaholan-funda-iphone-7-plus-funda-iphone-8-plus-divertida-_JM,NA,NA,NA,NA,NA,#484011851,NA,NA,JAHOLAN
130," iPhone 7 Plus Case, Funda iPhone 8 Plus, Supcase Unicorn ",85.65,NA,0,NA,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/AJ.ONLINE,https://articulo.mercadolibre.com.co/MCO-490294639-iphone-7-plus-case-funda-iphone-8-plus-supcase-unicorn-_JM,NA,NA,NA,NA,NA,#490294639,NA,NA,NA
131, Joyleop Funda Para iPhone 7 8 Plus Dibujos Animados Silic... ,66.999,NA,0,900,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/TODOENCARGO-CO,https://articulo.mercadolibre.com.co/MCO-484011793-joyleop-funda-para-iphone-7-8-plus-dibujos-animados-silic-_JM,NA,NA,NA,NA,NA,#484011793,NA,NA,Joyleop
132, Funda Impermeable Serie Fr Para iPhone 8 7 Solo Not Plus Re ,336.999,NA,0,10,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/TODOENCARGO-CO,https://articulo.mercadolibre.com.co/MCO-512003623-funda-impermeable-serie-fr-para-iphone-8-7-solo-not-plus-re-_JM,NA,NA,NA,NA,NA,#512003623,iPhone,NA,LifeProof
133, Funda iPhone 8 Plus Funda iPhone 7 Plus Funda Protectora ... ,61.999,NA,0,999,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/TODOENCARGO-CO,https://articulo.mercadolibre.com.co/MCO-484014655-funda-iphone-8-plus-funda-iphone-7-plus-funda-protectora--_JM,NA,NA,NA,NA,NA,#484014655,NA,NA,Hython
134," Doujiaz Funda iPhone 7 Plus, Funda iPhone 8 Plus, Brillante ",59.9,NA,0,99,12 cuotas,NA,NA,Envío a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/JOSEANTONIOMOCLETON,https://articulo.mercadolibre.com.co/MCO-484087804-doujiaz-funda-iphone-7-plus-funda-iphone-8-plus-brillante-_JM,NA,NA,NA,NA,NA,#484087804,NA,R-imd-TJ-bai+Rose jin shidai-7P,DOUJIAZ
135," Funda De Oro Para iPhone 7 Plus /iPhone 8 Plus, Technext020 ",61.9,NA,1,5,12 cuotas,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/AKARGO+COLOMBIA,https://articulo.mercadolibre.com.co/MCO-468464872-funda-de-oro-para-iphone-7-plus-iphone-8-plus-technext020-_JM,NA,NA,NA,NA,NA,#468464872,NA,NA,NA
136," Funda Negra iPhone 8 Plus, Funda iPhone 7 Plus Mármol, ",59.9,NA,0,99,36 cuotas,NA,NA,Envío a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/JOSEANTONIOMOCLETON,https://articulo.mercadolibre.com.co/MCO-501241759-funda-negra-iphone-8-plus-funda-iphone-7-plus-marmol-_JM,NA,NA,NA,NA,NA,#501241759,NA,NA,A-Focus
137," Funda Iphone 8 Plus, Iphone 7 Plus Funda, J.west Patrón ",72.9,NA,0,99,12 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/JOSEANTONIOMOCLETON,https://articulo.mercadolibre.com.co/MCO-484138493-funda-iphone-8-plus-iphone-7-plus-funda-jwest-patron-_JM,NA,NA,NA,NA,NA,#484138493,NA,J-I7P-390-06,J.west
138, Funda Antichoque Para iPhone X - 7/8 - 7/8 Plus - Rosa ,40.3,NA,8,259,12 cuotas,NA,NA,Envío a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/PHONETIFYTIENDAONLINE,https://articulo.mercadolibre.com.co/MCO-483212763-funda-antichoque-para-iphone-x-78-78-plus-rosa-_JM?searchVariation=40895022944,NA,NA,NA,NA,NA,#483212763,Apple,NA,Apple
139, Funda Miesherk Para iPhone 6 7 8 Plus Funda Protectora Pa... ,76.999,NA,0,900,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/TODOENCARGO-CO,https://articulo.mercadolibre.com.co/MCO-501791819-funda-miesherk-para-iphone-6-7-8-plus-funda-protectora-pa-_JM,NA,NA,NA,NA,NA,#501791819,NA,NA,Miesherk
140, Estuche Para iPhone 8 Plus Funda Robusta A Prueba De Golpes ,114.999,NA,0,10,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/TODOENCARGO-CO,https://articulo.mercadolibre.com.co/MCO-512000883-estuche-para-iphone-8-plus-funda-robusta-a-prueba-de-golpes-_JM,NA,NA,NA,NA,NA,#512000883,NA,NA,LONGRISE
141, Funda Bumper Para iPhone 8 Plus iPhone 7 Plus Crashguard By ,220.9,NA,1,12,12 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/LATINPORT,https://articulo.mercadolibre.com.co/MCO-474464878-funda-bumper-para-iphone-8-plus-iphone-7-plus-crashguard-by-_JM,NA,NA,NA,NA,NA,#474464878,iPhone,CGB0105529,RhinoShield
142, Funda iPhone 7 Plus De Jaholan Funda iPhone 8 Plus Divert... ,81.999,NA,0,900,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/TODOENCARGO-CO,https://articulo.mercadolibre.com.co/MCO-484011848-funda-iphone-7-plus-de-jaholan-funda-iphone-8-plus-divert-_JM,NA,NA,NA,NA,NA,#484011848,NA,NA,JAHOLAN
143, Funda iPhone 7 Plus 8 Plus Funda Rígida De Madera Genuina... ,76.999,NA,0,999,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/TODOENCARGO-CO,https://articulo.mercadolibre.com.co/MCO-487915103-funda-iphone-7-plus-8-plus-funda-rigida-de-madera-genuina-_JM,NA,NA,NA,NA,NA,#487915103,NA,NA,CFStore
144, Powerbear Iphone 7 plus Funda/iphone 8 plus Funda | Slim ,98.9,NA,0,99,12 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/JOSEANTONIOMOCLETON,https://articulo.mercadolibre.com.co/MCO-492195227-powerbear-iphone-7plus-fundaiphone-8plus-funda-slim-_JM,NA,NA,NA,NA,NA,#492195227,NA,NA,PowerBear
145," Ringke [onyx] Compatible Con iPhone 7 Plus, Funda iPhone 8 ",64.9,NA,0,99,36 cuotas,NA,NA,Envío a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/JOSEANTONIOMOCLETON,https://articulo.mercadolibre.com.co/MCO-500485672-ringke-onyx-compatible-con-iphone-7-plus-funda-iphone-8-_JM,NA,NA,NA,NA,NA,#500485672,NA,FBA_ROXIP7PBK058,Ringke
146, Esr iPhone 8 Plus Funda iPhone 7 Plus Funda Delgada Iphon... ,92.999,NA,0,900,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/TODOENCARGO-CO,https://articulo.mercadolibre.com.co/MCO-484112558-esr-iphone-8-plus-funda-iphone-7-plus-funda-delgada-iphon-_JM,NA,NA,NA,NA,NA,#484112558,NA,NA,ESR
147," Funda Impermeable iPhone 8 Plus / 7 Plus, Funda Protectora ",115.9,NA,0,99,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/JOSEANTONIOMOCLETON,https://articulo.mercadolibre.com.co/MCO-500584675-funda-impermeable-iphone-8-plus-7-plus-funda-protectora-_JM,NA,NA,NA,NA,NA,#500584675,NA,4344515197,GOCOOL
148, Funda iPhone 8 Plus iPhone 8 Plus Funda Cojín Jet Blanco ... ,102.999,NA,0,900,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/TODOENCARGO-CO,https://articulo.mercadolibre.com.co/MCO-487914720-funda-iphone-8-plus-iphone-8-plus-funda-cojin-jet-blanco--_JM,NA,NA,NA,NA,NA,#487914720,iPhone,NA,Elago
149," Funda iPhone 7 Plus, Fundas Para iPhone 8 Plus, Logotipo De ",70.9,NA,0,99,12 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/JOSEANTONIOMOCLETON,https://articulo.mercadolibre.com.co/MCO-484581299-funda-iphone-7-plus-fundas-para-iphone-8-plus-logotipo-de-_JM,NA,NA,NA,NA,NA,#484581299,NA,4326483156,RDG
150, Hc Abele Funda Para iPhone 7 Plus Funda Para iPhone 8 Plu... ,52.999,NA,0,900,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/TODOENCARGO-CO,https://articulo.mercadolibre.com.co/MCO-484012460-hc-abele-funda-para-iphone-7-plus-funda-para-iphone-8-plu-_JM,NA,NA,NA,NA,NA,#484012460,NA,NA,HC&ABELE
151, Funda Antichoque Para iPhone X - 7/8 - 7/8 Plus - Blanco ,40.3,NA,2,275,12 cuotas,NA,NA,Envío a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/PHONETIFYTIENDAONLINE,https://articulo.mercadolibre.com.co/MCO-483212381-funda-antichoque-para-iphone-x-78-78-plus-blanco-_JM?searchVariation=40895021539,NA,NA,NA,NA,NA,#483212381,Apple,NA,Apple
152," Funda Iphone 7 Plus, Funda Iphone 8 Plus, Phenix-color 3d ",82.9,NA,0,99,12 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/JOSEANTONIOMOCLETON,https://articulo.mercadolibre.com.co/MCO-485767819-funda-iphone-7-plus-funda-iphone-8-plus-phenix-color-3d-_JM,NA,NA,NA,NA,NA,#485767819,NA,NA,Phenix-Color
153, Lifeproof Next Funda iPhone 8 7 Plus Beach Pebble ,267.999,NA,0,900,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/TODOENCARGO-CO,https://articulo.mercadolibre.com.co/MCO-488479100-lifeproof-next-funda-iphone-8-7-plus-beach-pebble-_JM,NA,NA,NA,NA,NA,#488479100,NA,NA,LifeProof
154, Funda Spigen Liquid Air Armor Para iPhone 8 Plus Y 7 Plus. ,88.9,NA,0,5,12 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/IKIRA.CO,https://articulo.mercadolibre.com.co/MCO-469228366-funda-spigen-liquid-air-armor-para-iphone-8-plus-y-7-plus-_JM,NA,NA,NA,NA,NA,#469228366,NA,NA,NA
155," Funda iPhone 8 Plus / Funda iPhone 7 Plus, Con Soporte ... ",76.999,NA,0,999,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/TODOENCARGO-CO,https://articulo.mercadolibre.com.co/MCO-513164466-funda-iphone-8-plus-funda-iphone-7-plus-con-soporte--_JM,NA,NA,NA,NA,NA,#513164466,NA,NA,SPHLEAN
156, Forro Funda Silicone Case Original iPhone 7 Plus /8 Plus ,35.999,NA,3,1,12 cuotas,NA,NA,Envío a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/CONTAINERVIRTUAL+235,https://articulo.mercadolibre.com.co/MCO-445870116-forro-funda-silicone-case-original-iphone-7-plus-8-plus-_JM,NA,NA,NA,NA,NA,#445870116,NA,NA,NA
157," Procase iPhone 8 Plus Case / iPhone 7 Plus Case, Funda Prot ",70.003,NA,0,10,12 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/SEKAI+EXPRESS,https://articulo.mercadolibre.com.co/MCO-482015115-procase-iphone-8-plus-case-iphone-7-plus-case-funda-prot-_JM,NA,NA,NA,NA,NA,#482015115,NA,NA,NA
158, Gafas De Lectura + Funda Para iPhone 8 Plus O iPhone 7 ... ,184.9,NA,0,999,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/TRAEDIRECTO365,https://articulo.mercadolibre.com.co/MCO-514743616-gafas-de-lectura-funda-para-iphone-8-plus-o-iphone-7--_JM,NA,NA,NA,NA,NA,#514743616,NA,NA,ThinOptics
159, Griffin iPhone 8 Plus Funda Robusta Survivor All Terrain Con ,76.999,NA,0,10,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/TODOENCARGO-CO,https://articulo.mercadolibre.com.co/MCO-512000464-griffin-iphone-8-plus-funda-robusta-survivor-all-terrain-con-_JM,NA,NA,NA,NA,NA,#512000464,iPhone,NA,GRIFFIN TECHNOLOGY
160, Funda De Gel De Silicona Para iPhone 7 Plus8 Plus Clear Prot ,82.9,NA,0,12,12 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/LATINPORT,https://articulo.mercadolibre.com.co/MCO-479989330-funda-de-gel-de-silicona-para-iphone-7-plus8-plus-clear-prot-_JM,NA,NA,NA,NA,NA,#479989330,NA,CHIP7P-194564,KaseHom
161, Doun - Funda Táctica Universal Multiusos Para iPhone 8 Plus ,69.9,NA,0,99,12 cuotas,NA,NA,Envío a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/JOSEANTONIOMOCLETON,https://articulo.mercadolibre.com.co/MCO-490672675-doun-funda-tactica-universal-multiusos-para-iphone-8-plus-_JM,NA,NA,NA,NA,NA,#490672675,NA,NA,DOUN
162, Funda iPhone 7 Plus Funda iPhone 8 Plus Funda Con Estampa... ,76.999,NA,0,900,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/TODOENCARGO-CO,https://articulo.mercadolibre.com.co/MCO-484006573-funda-iphone-7-plus-funda-iphone-8-plus-funda-con-estampa-_JM,NA,NA,NA,NA,NA,#484006573,NA,NA,Hepix
163, Funda / Estuche / Case En Cuero Para iPhone 8/7 Plus ,120,NA,0,NA,12 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/POSADAFERNANDO51,https://articulo.mercadolibre.com.co/MCO-459137892-funda-estuche-case-en-cuero-para-iphone-87-plus-_JM,NA,NA,NA,NA,NA,#459137892,NA,NA,NA
164," iPhone 6/6s/7/8 plus X Funda, Ultra Delgado Magnético ",82.9,NA,0,99,12 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/JOSEANTONIOMOCLETON,https://articulo.mercadolibre.com.co/MCO-489884397-iphone-66s78plus-x-funda-ultra-delgado-magnetico-_JM,NA,NA,NA,NA,NA,#489884397,NA,NA,Haobuy
165, Fundas Protectoras De iPhone 8 Plus Para Mujeres Hombres De ,69.999,NA,0,10,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/TODOENCARGO-CO,https://articulo.mercadolibre.com.co/MCO-512003155-fundas-protectoras-de-iphone-8-plus-para-mujeres-hombres-de-_JM,NA,NA,NA,NA,NA,#512003155,NA,NA,QUNTION
166," iPhone 7 plus/8 plus Caso, Misscase Ultra Slim Imán Funda ",92.9,NA,0,99,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/JOSEANTONIOMOCLETON,https://articulo.mercadolibre.com.co/MCO-510421435-iphone-7plus8plus-caso-misscase-ultra-slim-iman-funda-_JM,NA,NA,NA,NA,NA,#510421435,NA,NA,Misscase
167," Domaver Funda iPhone 8 Plus, Funda iPhone 7 Plus Con ",78.9,NA,0,99,12 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/JOSEANTONIOMOCLETON,https://articulo.mercadolibre.com.co/MCO-476720156-domaver-funda-iphone-8-plus-funda-iphone-7-plus-con-_JM,NA,NA,NA,NA,NA,#476720156,NA,NA,NA
168," Funda - Case Para iPhone 8 Plus, iPhone 7 Plus ",68.066,NA,1,NA,36 cuotas,NA,NA,Envío a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/DISRUPTIVOS,https://articulo.mercadolibre.com.co/MCO-458650278-funda-case-para-iphone-8-plus-iphone-7-plus-_JM,NA,NA,NA,NA,NA,#458650278,iPhone,NA,NA
169," iPhone 8 Plus, 7 Plus, 6s Plus, 6 Plus Funda Con Bolsillo D ",102.211,NA,0,10,12 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/SEKAI+EXPRESS,https://articulo.mercadolibre.com.co/MCO-482102531-iphone-8-plus-7-plus-6s-plus-6-plus-funda-con-bolsillo-d-_JM,NA,NA,NA,NA,NA,#482102531,NA,NA,NA
170, Carcasa Para iPhone Funda Estuche Hermosos Diseños ,18,NA,6,3,12 cuotas,NA,NA,Envío a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/TRENDYNOVEDADES,https://click1.mercadolibre.com.co/mclics/clicks/external/MCO/count?a=sQFOpS5VpSjsu2uZTDkK%2BLGeeFMWJQdItlIY%2Bs2xG6MBeSI20pj9ss38kghm6UqAbnH9k9apDDMJvfIk%2BggejBKJcj8suA1Jp60AMZ5p7pXHnOFseuIigFzOYmZZXMBiUJfr2HSwjtRFOSrlG9ShaPSCd4F01d007RpyYrv5khH1qzQREBMrwmqqPoXsSZAFkZQT5lkx6uKTHsnPGxmq%2F42e87L%2B1pc%2FxB2aE7ZqiHIUsZXN7DNU%2BlAw07bLyFrPHZrHE4xcUD12s2Fr4PabFF0JfTw7QRXqPAJ5vpaFY%2BA6XVn4yYXclQrSbnZQzo1xIX89FdgEE1yP1s0QQQsFtTvVrnsT0pkpXopoAh%2Fts3iALqS6TpMgTRR9%2Bsy7wmWLD1ZHxnt2hlvRhfEYAD7jWAlyHhrZ%2B%2Fz%2FoBNXOBITXDbNAl6zPkEWrKEN734m6D9jPhhTOisuq25hqAjhfGeNoep6nU5PSd7Au%2Boz%2F5ZXgo1fxKGWR6KZg24LEw6YUNCUHji5SzXv%2F96GtGoyvGqD4eY4zs%2BZqJJq%2F4Q14jemwaAjb6YeGW7Qi04qW%2FcwE9xISKeUPQh2o6SCp8pYqYdUhsBck5s5ScvdQX%2BZeyu0v8hie%2B1ijqrKQVOq64%2FoJLsLjmjPVwns8bRewrvs%2BrXSJTj8RNpVq%2FmvnLxOQntxyQcAjrkvKJhSBuxh%2B63D21KkBrvp%2BMe7hhpd7Q6nk9ugtGbrM0ctZ0Sga4EQACNq6O91wqjrU0%2BVIF90nfAkHN6GNKjJvyat%2BVW3X%2BEBPa8DhltWx0JaQhSH0a1IPIp8lFfdugsoEcK6pfcnUtY%2FnSLw%2FD7u7VgVktEyzwv4vP4EGz3eRz7DBf8yCRffwdVf2QWe860MRaaJ2T4Y7w8Am%2BvLTtnVnAI008JFEhuwZxD%2FGN2rG%2BgV%2FX1yj1wAtK%2BAyd4ecd%2B41nxaNAV6DV3S97R0JnB3afhyTsOmbqYxJFF3mbI2sFhje%2FQR6rnztK4GBYR9dfZYC%2FSa9rFWH8DTIxOpm2E0gE3qvByfIBaIO25%2B21fl25lh7zeJO7eUue9xlgXOMcJu6Gz45uJdgKqBKaOxRL0Cl7l%2BLMne7cZ4ThICC5xPtCTJzBT8tJwvP2DiitqyzH87STUozHRlsRhPndNUNlhlhXTK5Pcssz2zlPLvb%2BI6hL%2FCfnURJFPEGF8wc2S6N0b%2FR0X2vckL5k2Zt4s5oQbHPj2c7GUzUfG9AhmYa8YrfS5puSmBfDo4HfaHduoR3EBidlx4GAdmaPlKQMTngl46RWsaalhgQuEmleUNmq1ZNKvsnH%2FMIc3hweQc5PMuwQgo2y1XnZcigH1rtXKvoAqftoOg0uLjGPDGxSmAJVtCK32w3apIp5liFndCN%2FtRC1hufTI8q7amwOlZXr7cc5dHhbrkjCNbzb%2B%2FKCR%2BROP8cMssBbDc%2BoejL14ZpesvO54GmLVfr9wewP%2B9ohFstiIDjsrS7BkolcmE%2Ft6zNCaCAcXWe%2BBYifwd7QlsKWXf0hzHdjCkaiRJyLh7NwiGLjMZ9sEtaUoloS6HqoTSfc29Kgob6lJLXnZRPZiHJndTUi3bzLPUaBF%2BKOnT3wuf%2FNB3ooMqvs6CsbdHzQarxu45a1lw%2FILq,NA,NA,NA,NA,NA,#510007912,iPhone,NA,NA
171, Funda Realike Iphone7 Plus iPhone 8 Plus Con Cubierta De Vi ,90.9,NA,0,12,12 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/LATINPORT,https://articulo.mercadolibre.com.co/MCO-478243386-funda-realike-iphone7-plus-iphone-8-plus-con-cubierta-de-vi-_JM,NA,NA,NA,NA,NA,#478243386,NA,NA,Realike
172, Funda Spigen Thin Fit iPhone 8 Plus / iPhone 7 Plus Con Supe ,88.9,NA,0,5,12 cuotas,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/AKARGO+COLOMBIA,https://articulo.mercadolibre.com.co/MCO-467949181-funda-spigen-thin-fit-iphone-8-plus-iphone-7-plus-con-supe-_JM,NA,NA,NA,NA,NA,#467949181,NA,NA,NA
173, Funda Spigen Liquid Air Armor Para iPhone 8 Plus / iPhone 7 ,100.9,NA,0,99,12 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/JOSEANTONIOMOCLETON,https://articulo.mercadolibre.com.co/MCO-484598630-funda-spigen-liquid-air-armor-para-iphone-8-plus-iphone-7-_JM,NA,NA,NA,NA,NA,#484598630,NA,043CS20525,Spigen
