search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Linha,Modelo,Potência de saída (RMS),Tipos de alto-falante,Quantidade de alto-falantes,Tipos de filtros do alto-falante,Lugares de colocação,Formato do alto-falante,Configuração de canais,Conectores de entrada,Peso,Resposta mínima em frequência,Resposta máxima em frequência,Distorção,Voltagem,Largura,Profundidade,Altura,Cor
1235, Caixa De Som Portátil Sony Srs-xb31 Vermelha Nova Nota Fiscal Garantia ,548,NA,"
			
				Novo
			
			
				
					 - 
				
				2
				vendidos
			
		",(2 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 4574
		
		 sem juros
		
	

	
		",74,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/MARLENEBERNARDO1,https://produto.mercadolivre.com.br/MLB-1286464231-caixa-de-som-portatil-sony-srs-xb31-vermelha-nova-nota-fiscal-garantia-_JM#position=24&type=item&tracking_id=ef35e983-d8f0-452a-b9a2-341fba95836e,NA,NA,NA,NA,NA,#1286464231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1236, Caixa De Som Amplificadora Bluetooth Usb Pen Drive Aux.30rms ,66,NA,"
			
				Novo
			
			
				
					 - 
				
				12
				vendidos
			
		",(16 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 551
		
		 sem juros
		
	

	
		",51,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/SELETOSTORE,https://produto.mercadolivre.com.br/MLB-925231544-caixa-de-som-amplificadora-bluetooth-usb-pen-drive-aux30rms-_JM#position=25&type=item&tracking_id=ef35e983-d8f0-452a-b9a2-341fba95836e,NA,NA,NA,NA,NA,#925231544,Yes,Reader Speaker,MS-144BT,15 W,NA,1,Redondo,De parede,Caixa,NA,USB,NA,18 kHz,80 kHz,0.5 %,Bivolt,NA,NA,NA,NA
1237, Caixa De Som Speaker Goalpro Dancing Bluetooth Sd Usb ,61,NA,"
			
				Novo
			
			
				
					 - 
				
				7
				vendidos
			
		",(55 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 516
		
		 sem juros
		
	

	
		",16,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/LTRONICSS,https://produto.mercadolivre.com.br/MLB-1154252286-caixa-de-som-speaker-goalpro-dancing-bluetooth-sd-usb-_JM#position=26&type=item&tracking_id=ef35e983-d8f0-452a-b9a2-341fba95836e,NA,NA,NA,NA,NA,#1154252286,JBL,NA,Dancing Speaker,NA,NA,NA,NA,De parede,NA,NA,USB,NA,NA,NA,NA,NA,NA,NA,NA,NA
1238, Jbl Boombox Original Lacrada Caixa Bluetooth À Prova D'água ,2579,NA,"
			
				Novo
			
			
		",(2 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 21492
		
		 sem juros
		
	

	
		",92,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.5,581,https://perfil.mercadolivre.com.br/SULMART+BR,https://produto.mercadolivre.com.br/MLB-1050621754-jbl-boombox-original-lacrada-caixa-bluetooth-prova-dagua-_JM#position=27&type=item&tracking_id=ef35e983-d8f0-452a-b9a2-341fba95836e,451,52,26,21,31,#1050621754,JBL,NA,Boombox,60 W,NA,NA,Ativo,Indefinido,Caixa,NA,NA,5.25 kg,NA,NA,NA,NA,NA,NA,NA,NA
1239, Caixa De Som Portatil Bluetooth Led Usb Fm Aux + Microfone ,291,NA,"
			
				Novo
			
			
				
					 - 
				
				4
				vendidos
			
		",(2 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 2429
		
		 sem juros
		
	

	
		",29,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/ACME+ELETRONICOS,https://produto.mercadolivre.com.br/MLB-1214538609-caixa-de-som-portatil-bluetooth-led-usb-fm-aux-microfone-_JM#position=28&type=item&tracking_id=ef35e983-d8f0-452a-b9a2-341fba95836e,NA,NA,NA,NA,NA,#1214538609,Multilaser,NA,SP-251,100 W,Woofer,NA,Ativo/Passivo,"Mesa, De piso",Caixa,2.1,USB,3.6 kg,20 kHz,100 kHz,NA,110V/220V (Bivolt),NA,NA,NA,Preto
1240, Mini Caixinha Som Q3 Portátil Bluetooth Mp3 Fm Sd Usb ,34,NA,"
			
			
				
				16
				vendidos
			
		",(995 disponíveis),"
	
		
			
		
		6x 
		
			
				R$ 573
		
		 sem juros
		
	

	
		",73,NA,Envio para todo o país,NA,NA,3.0,2,https://perfil.mercadolivre.com.br/OLIST?brandId=866,https://produto.mercadolivre.com.br/MLB-1173933262-mini-caixinha-som-q3-portatil-bluetooth-mp3-fm-sd-usb-_JM#position=29&type=item&tracking_id=ef35e983-d8f0-452a-b9a2-341fba95836e,NA,NA,NA,NA,NA,#1173933262,Life Company,NA,NA,NA,NA,NA,NA,NA,Caixa,NA,Auxiliar,457 g,NA,NA,NA,NA,NA,NA,NA,NA
1241, Combo 2und Caixa De Som Speaker Google Home Mini Com Furo ,300,NA,"
			
				Novo
			
			
				
					 - 
				
				4
				vendidos
			
		",(1 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 2500
		
		 sem juros
		
	

	
		",00,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/CLICOU_TELECOM,https://produto.mercadolivre.com.br/MLB-1283367499-combo-2und-caixa-de-som-speaker-google-home-mini-com-furo-_JM#position=30&type=item&tracking_id=ef35e983-d8f0-452a-b9a2-341fba95836e,NA,NA,NA,NA,NA,#1283367499,Google,NA,Google Home Mini Vitrine Com Furo,3 W,Subwoofer,NA,Ativo,De piso,Caixa,5.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1242, Caixa De Som Jbl Party Box 300 Usb Charge Bluetooth Preta ,2439,NA,"
			
				Novo
			
			
				
					 - 
				
				1
				vendido
			
		",(3 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 23320
		
		 sem juros
		
	

	
		",20,NA,Entrega a combinar com o vendedor,NA,NA,4.8,39,https://perfil.mercadolivre.com.br/SANBOX-BR,https://produto.mercadolivre.com.br/MLB-1239372206-caixa-de-som-jbl-party-box-300-usb-charge-bluetooth-preta-_JM#position=31&type=item&tracking_id=ef35e983-d8f0-452a-b9a2-341fba95836e,33,5,0,0,1,#1239372206,JBL,NA,PartyBox 300,120 W,"Woofer, Tweeter",1,NA,De piso,Caixa,NA,"Plug, RCA, USB",15.84 kg,45 Hz,20 kHz,NA,110V/220V (Bivolt),310 mm,320 mm,690 mm,Preto
1243, Kit 2 Mini Radios Bluetooth Com Base Sem Fio F1 Sardine ,119,NA,"
			
				Novo
			
			
				
					 - 
				
				29
				vendidos
			
		",(11 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 992
		
		 sem juros
		
	

	
		",92,NA,Chegará amanhã,Devolução grátis,Você tem 30 dias a partir do recebimento,5.0,1,https://perfil.mercadolivre.com.br/NEG%C3%93CIODEG%C3%8ANIO,https://produto.mercadolivre.com.br/MLB-1088267108-kit-2-mini-radios-bluetooth-com-base-sem-fio-f1-sardine-_JM#position=32&type=item&tracking_id=ef35e983-d8f0-452a-b9a2-341fba95836e,NA,NA,NA,NA,NA,#1088267108,SM,NA,2.1,NA,NA,NA, ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1244, Caixa Som Bluetooth P2 Speaker Caveira Prata iPhone Celular ,73,NA,"
			
				Novo
			
			
				
					 - 
				
				9
				vendidos
			
		",(7 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 704
		
		 sem juros
		
	

	
		",04,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,5.0,1,https://perfil.mercadolivre.com.br/MUNDOWARE,https://produto.mercadolivre.com.br/MLB-1038981612-caixa-som-bluetooth-p2-speaker-caveira-prata-iphone-celular-_JM#position=33&type=item&tracking_id=ef35e983-d8f0-452a-b9a2-341fba95836e,NA,NA,NA,NA,NA,#1038981612,Nt,AeroSkull Bluetooth,Caveira Prata 2732,10 W,Subwoofer,2,Ativo,mesa,Caixa,2.1,P2,330 g,NA,NA,NA,NA,NA,NA,NA,NA
1245, Caixa De Som Jbl Wind Portátil P/ Moto E Bike P2 Bluetooth ,167,NA,"
			
				Novo
			
			
				
					 - 
				
				13
				vendidos
			
		",(128 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1392
		
		 sem juros
		
	

	
		",92,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.7,940,https://perfil.mercadolivre.com.br/JPARTSBRASIL,https://produto.mercadolivre.com.br/MLB-1180292326-caixa-de-som-jbl-wind-portatil-p-moto-e-bike-p2-bluetooth-_JM#position=34&type=item&tracking_id=ef35e983-d8f0-452a-b9a2-341fba95836e,760,122,39,7,12,#1180292326,JBL,NA,Wind,3 W,NA,NA,Ativo,NA,Caixa,NA,NA,NA,20 Hz,20 kHz,NA,NA,NA,NA,NA,Preto
1246, Caixa De Som Portátil Bluetooth Recarregável Inova Rad 8116 ,65,NA,"
			
				Novo
			
			
				
					 - 
				
				10
				vendidos
			
		",(1 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 550
		
		 sem juros
		
	

	
		",50,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,3.0,1,https://perfil.mercadolivre.com.br/CASAGRAND%C3%83O,https://produto.mercadolivre.com.br/MLB-1230158684-caixa-de-som-portatil-bluetooth-recarregavel-inova-rad-8116-_JM#position=35&type=item&tracking_id=ef35e983-d8f0-452a-b9a2-341fba95836e,NA,NA,NA,NA,NA,#1230158684,Inova,NA,RAD-8116,12 W,caixa,NA,NA,NA,Caixa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1247, Caixa De Som 10011 Portátil Mp3 Bluetoot Usb Pen Drive Rádio ,47,NA,"
			
				Novo
			
			
				
					 - 
				
				100
				vendidos
			
		",(9900 disponíveis),"
	
		
			
		
		6x 
		
			
				R$ 800
		
		 sem juros
		
	

	
		",00,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,5.0,2,https://perfil.mercadolivre.com.br/ACMN.VENDAS,https://produto.mercadolivre.com.br/MLB-975471467-caixa-de-som-10011-portatil-mp3-bluetoot-usb-pen-drive-radio-_JM#position=36&type=item&tracking_id=ef35e983-d8f0-452a-b9a2-341fba95836e,NA,NA,NA,NA,NA,#975471467,Grasep,NA,1011,NA,externo,NA,NA,NA,Caixa,NA,USB,NA,NA,NA,NA,NA,NA,NA,NA,NA
1248, Caixinha Som Bluetooth Portátil 8w Rms C/ Fm Usb A10 Barato ,76,NA,"
			
				Novo
			
			
				
					 - 
				
				155
				vendidos
			
		",(14 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 728
		
		 sem juros
		
	

	
		",28,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,5.0,5,https://perfil.mercadolivre.com.br/APOLUM_INFO,https://produto.mercadolivre.com.br/MLB-1114703202-caixinha-som-bluetooth-portatil-8w-rms-c-fm-usb-a10-barato-_JM#position=37&type=item&tracking_id=ef35e983-d8f0-452a-b9a2-341fba95836e,5,0,0,0,0,#1114703202,XTrad,Caixa de Som Portátil,MS-147BT,8 W,Woofer,1,Ativo/Passivo,De piso,Caixa,NA,USB,NA,88 MHz,108 MHz,NA,5 Volts,NA,NA,NA,NA
1249, Caxinha Caixa De Som Bluetooth Kaidi Original Prova D'agua ,180,NA,"
			
				Novo
			
			
				
					 - 
				
				8
				vendidos
			
		",(9950 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1720
		
		 sem juros
		
	

	
		",20,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,5.0,1,https://perfil.mercadolivre.com.br/VA.+ELETRONICOS,https://produto.mercadolivre.com.br/MLB-1228343431-caxinha-caixa-de-som-bluetooth-kaidi-original-prova-dagua-_JM#position=38&type=item&tracking_id=ef35e983-d8f0-452a-b9a2-341fba95836e,NA,NA,NA,NA,NA,#1228343431,Kaidi,kd805,Kaidi,NA,NA,NA,kaidi,NA,Line array,NA,NA,NA,NA,NA,NA,110V/220V (Bivolt),NA,NA,NA,NA
1250, Kit 10 Mini Caixinha Som Bluetooth Portátil Usb Mp3 P2 Sd ,155,NA,"
			
				Novo
			
			
				
					 - 
				
				10
				vendidos
			
		",(997 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1489
		
		 sem juros
		
	

	
		",89,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/SHOPPING+PRAVOC%C3%8A,https://produto.mercadolivre.com.br/MLB-1289682758-kit-10-mini-caixinha-som-bluetooth-portatil-usb-mp3-p2-sd-_JM#position=39&type=item&tracking_id=ef35e983-d8f0-452a-b9a2-341fba95836e,NA,NA,NA,NA,NA,#1289682758,Mini Speaker Enjoy Life,NA,WS 887,3 W,Caixa,NA,Ativo e Passivo,Plataformas Planas,Tweeter,NA,Auxiliar,NA,NA,NA,NA,NA,NA,NA,NA,NA
1251, Caixa Som Amplificada Bluetooth 80w Tv Cel Música Sound Bar ,299,NA,"
			
				Novo
			
			
				
					 - 
				
				5
				vendidos
			
		",(995 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 2500
		
		 sem juros
		
	

	
		",00,NA,Entrega a combinar com o vendedor,NA,NA,NA,NA,https://perfil.mercadolivre.com.br/CHALLENGE+TEC.,https://produto.mercadolivre.com.br/MLB-1121131541-caixa-som-amplificada-bluetooth-80w-tv-cel-musica-sound-bar-_JM#position=40&type=item&tracking_id=ef35e983-d8f0-452a-b9a2-341fba95836e,NA,NA,NA,NA,NA,#1121131541,Tomate,Caixa de som,MTS-2019,80 W,Caixa,NA,Ativo,Sala,Caixa,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1252, Jbl Boombox Original Nfe Caixa De Som Bluetooth Loja Oficial ,2379,NA,"
			
				Novo
			
			
				
					 - 
				
				1
				vendido
			
		",(2 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 19825
		
		 sem juros
		
	

	
		",25,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.5,581,https://perfil.mercadolivre.com.br/SULMART+BR,https://produto.mercadolivre.com.br/MLB-1050614662-jbl-boombox-original-nfe-caixa-de-som-bluetooth-loja-oficial-_JM#position=41&type=item&tracking_id=ef35e983-d8f0-452a-b9a2-341fba95836e,451,52,26,21,31,#1050614662,JBL,NA,Boombox,60 W,"Woofer, Tweeter",NA,Ativo/Passivo,Indefinido,Caixa,NA,NA,5.25 kg,NA,NA,NA,NA,NA,NA,NA,NA
1253, Caixa Som Portátil Bluetooth Pcx8000 500 Rms Potente Philco ,959,NA,"
			
				Novo
			
			
				
					 - 
				
				2
				vendidos
			
		",(2 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 8000
		
		 sem juros
		
	

	
		",00,NA,Entrega a combinar com o vendedor,NA,NA,NA,NA,https://perfil.mercadolivre.com.br/SANBOX-BR,https://produto.mercadolivre.com.br/MLB-1276688498-caixa-som-portatil-bluetooth-pcx8000-500-rms-potente-philco-_JM#position=42&type=item&tracking_id=ef35e983-d8f0-452a-b9a2-341fba95836e,NA,NA,NA,NA,NA,#1276688498,Philco,NA,PCX8000,500 W,NA,NA,NA,De piso,Caixa,2.1,USB,NA,NA,NA,NA,NA,NA,NA,NA,NA
1254, Caixa Som Amplificada 20w Recarregavel Usb Mp3 Bluetooth A70 ,119,NA,"
			
				Novo
			
			
				
					 - 
				
				235
				vendidos
			
		",(19 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1146
		
		 sem juros
		
	

	
		",46,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.3,103,https://perfil.mercadolivre.com.br/B3+BRINQUEDOS,https://produto.mercadolivre.com.br/MLB-1060240357-caixa-som-amplificada-20w-recarregavel-usb-mp3-bluetooth-a70-_JM#position=43&type=item&tracking_id=ef35e983-d8f0-452a-b9a2-341fba95836e,55,31,13,0,4,#1060240357,Altomex,NA,A-7088,20 W,Woofer,NA,Woofer,De piso,Caixa,NA,Entrada para Microfone,400 g,NA,NA,NA,NA,NA,NA,NA,NA
1255, Caixa De Som Portátil Jbl Link 20 Preta Bluetooth ,1156,NA,"
			
			
				
				3
				vendidos
			
		",(2 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 11048
		
		 sem juros
		
	

	
		",48,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.9,16,https://perfil.mercadolivre.com.br/QUALITYSP?brandId=515,https://produto.mercadolivre.com.br/MLB-1245512522-caixa-de-som-portatil-jbl-link-20-preta-bluetooth-_JM#position=44&type=item&tracking_id=ef35e983-d8f0-452a-b9a2-341fba95836e,15,1,0,0,0,#1245512522,JBL,Link Series,Link 20,20 W,NA,NA,Ativo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Preto
1256, Speaker Bluetooth Jbl Go2 Original Preto ,149,NA,"
			
				Novo
			
			
				
					 - 
				
				76
				vendidos
			
		",(57 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1434
		
		 sem juros
		
	

	
		",34,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.9,1675,https://perfil.mercadolivre.com.br/RW-CAR,https://produto.mercadolivre.com.br/MLB-1081525476-speaker-bluetooth-jbl-go2-original-preto-_JM#position=45&type=item&tracking_id=ef35e983-d8f0-452a-b9a2-341fba95836e,1538,106,19,6,6,#1081525476,JBL,NA,jblgo2,3 W,NA,1,Woofer,De piso,Caixa,5.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1257, Caixa De Som Mondial Mco-07 Multi Connect Thunder Vii ,197,NA,"
			
			
				
				58
				vendidos
			
		",(242 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1884
		
		 sem juros
		
	

	
		",84,NA,Envio para todo o país,NA,NA,4.2,137,https://perfil.mercadolivre.com.br/GAZINSHOP?brandId=1117,https://produto.mercadolivre.com.br/MLB-977236869-caixa-de-som-mondial-mco-07-multi-connect-thunder-vii-_JM#position=46&type=item&tracking_id=ef35e983-d8f0-452a-b9a2-341fba95836e,83,28,12,4,10,#977236869,Mondial,Multi Connect,MCO-07,80 W,NA,NA,Ativo,NA,Caixa,NA,NA,2.2 kg,NA,NA,NA,(Bivolt),32 cm,12 cm,22 cm,NA
1258, Caixa Som Ativa Xlounge Xl12 Bluetooth Bateria Rodinha ,1200,NA,"
			
				Novo
			
			
				
					 - 
				
				5
				vendidos
			
		",(94 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 10000
		
		 sem juros
		
	

	
		",00,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/ZONACOUNTRY2016,https://produto.mercadolivre.com.br/MLB-1142089430-caixa-som-ativa-xlounge-xl12-bluetooth-bateria-rodinha-_JM#position=47&type=item&tracking_id=ef35e983-d8f0-452a-b9a2-341fba95836e,NA,NA,NA,NA,NA,#1142089430,XLounge,NA,XL-12,30 W,NA,NA,Ativo,NA,Caixa,NA,RCA,NA,80 Hz,18 kHz,NA,110V/220V,NA,NA,NA,NA
1259, Caixa Som Amplificada Bluetooth Canhão Fm Sd Usb P2 Cel ,45,NA,"
			
				Novo
			
			
				
					 - 
				
				9
				vendidos
			
		",(41 disponíveis),"
	
		
			
		
		6x 
		
			
				R$ 849
		
		 sem juros
		
	

	
		",49,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/BAZUSPACE,https://produto.mercadolivre.com.br/MLB-1272329730-caixa-som-amplificada-bluetooth-canho-fm-sd-usb-p2-cel-_JM#position=48&type=item&tracking_id=ef35e983-d8f0-452a-b9a2-341fba95836e,NA,NA,NA,NA,NA,#1272329730,Importado,NA,DP1,10 W,Casual,NA,Caixa,Portátil,Caixa,5.1,NA,700 g,NA,NA,0.5 %,NA,NA,NA,NA,NA
1260," Aparelho De Som Bom, Barato E Potente, Super Promoção! ",850,NA,"
			
				Novo
			
			
				
					 - 
				
				8
				vendidos
			
		",1,"
	
		
			
		
		12x 
		
			
				R$ 7091
		
		 sem juros
		
	

	
		",91,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/AZULELETRO,https://produto.mercadolivre.com.br/MLB-1044380202-aparelho-de-som-bom-barato-e-potente-super-promoco-_JM#position=49&type=item&tracking_id=ef35e983-d8f0-452a-b9a2-341fba95836e,NA,NA,NA,NA,NA,#1044380202,Panasonic,NA,SC-AKX220LBK,NA,NA,NA,NA,NA,NA,NA,USB,NA,NA,NA,NA,NA,NA,NA,19.3 cm,NA
1261, Caixa De Som Pulse Multiuso 80w Rms Sp295 ,412,NA,"
			
				Novo
			
			
				
					 - 
				
				4
				vendidos
			
		",(999 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 3434
		
		 sem juros
		
	

	
		",34,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/PALASHOP.,https://produto.mercadolivre.com.br/MLB-1177293940-caixa-de-som-pulse-multiuso-80w-rms-sp295-_JM#position=50&type=item&tracking_id=ef35e983-d8f0-452a-b9a2-341fba95836e,NA,NA,NA,NA,NA,#1177293940,Multilaser,NA,SP295,80 W,Tweeter,NA,NA,NA,NA,NA,Entrada para Microfone,NA,NA,NA,NA,NA,NA,NA,NA,NA
1262, Caixa De Som Amplificada Bluetooth C/ Microfone Usb Mp3 Sd ,299,NA,"
			
				Novo
			
			
				
					 - 
				
				5
				vendidos
			
		",(991 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 2492
		
		 sem juros
		
	

	
		",92,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/EMP%C3%93RIO-VIRTUAL,https://produto.mercadolivre.com.br/MLB-1177046785-caixa-de-som-amplificada-bluetooth-c-microfone-usb-mp3-sd-_JM#position=51&type=item&tracking_id=ef35e983-d8f0-452a-b9a2-341fba95836e,NA,NA,NA,NA,NA,#1177046785,Grasep,NA,DBH8104,40 W,NA,NA,MONO ESTEREO,NA,NA,2.1,USB,NA,NA,NA,NA,NA,NA,NA,NA,NA
1263, Celular Caixa Portátil De Som Hmaston Preta Bass 20w Rms ,120,NA,"
			
				Novo
			
			
				
					 - 
				
				21
				vendidos
			
		",(995 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1000
		
		 sem juros
		
	

	
		",00,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.8,9,https://perfil.mercadolivre.com.br/AER+MAGAZINE,https://produto.mercadolivre.com.br/MLB-806074133-celular-caixa-portatil-de-som-hmaston-preta-bass-20w-rms-_JM#position=52&type=item&tracking_id=ef35e983-d8f0-452a-b9a2-341fba95836e,8,0,1,0,0,#806074133,H'maston,CAIXA DE SOM HMASTER,B28s,10 W,Woofer,4,"potente, qualidade","COMPUTADOR, TV, SMART, CELULAR, NOTEBOOK",Caixa,2.1,USB,800 g,NA,NA,NA,NA,NA,NA,NA,NA
1264, Caixinha De Som Charge 2+ Plus Bluetooth Mp3 -mega Promoção ,64,NA,"
			
				Novo
			
			
				
					 - 
				
				14
				vendidos
			
		",(3 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 620
		
		 sem juros
		
	

	
		",20,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.3,331,https://perfil.mercadolivre.com.br/DCMAGAZINE,https://produto.mercadolivre.com.br/MLB-1261971968-caixinha-de-som-charge-2-plus-bluetooth-mp3-mega-promoco-_JM#position=53&type=item&tracking_id=ef35e983-d8f0-452a-b9a2-341fba95836e,205,71,30,9,16,#1261971968,JBL,NA,Charge 2+,20 W,Tweeter,NA,Ativo,Portatil,Caixa,NA,USB,NA,NA,NA,NA,NA,NA,NA,NA,NA
1265, Celular Caixa Portátil De Som Hmaston Preta Bass 20w Rms ,530,NA,"
			
				Novo
			
			
				
					 - 
				
				44
				vendidos
			
		",(391 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 4417
		
		 sem juros
		
	

	
		",17,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.5,34,https://perfil.mercadolivre.com.br/ECLAIMPORTS,https://produto.mercadolivre.com.br/MLB-1093038429-caixa-de-som-bluetooth-e-microfone-sem-fio-eclapower-br12-_JM#position=1&type=item&tracking_id=5a571735-6f4d-4c17-9fbc-ee0fb68fe073,24,5,3,2,0,#1093038429,ECLAPOWER,NA,BR12,200 W,Woofer,NA,Woofer,"residencia, festas, ranchos",Caixa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1266, Caixinha De Som Charge 2+ Plus Bluetooth Mp3 -mega Promoção ,248,NA,"
			
				Novo
			
			
				
					 - 
				
				17
				vendidos
			
		",(15 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 2075
		
		 sem juros
		
	

	
		",75,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.4,123,https://perfil.mercadolivre.com.br/SULMART+BR,https://produto.mercadolivre.com.br/MLB-945183621-caixa-de-som-radio-mp3-pendrive-carto-micro-sd-trocar-pasta-_JM#position=2&type=item&tracking_id=5a571735-6f4d-4c17-9fbc-ee0fb68fe073,82,25,9,3,4,#945183621,Multilaser,NA,SP256,40 W,NA,NA,Woofer,NA,Caixa,2.1,NA,1.33 kg,NA,NA,NA,NA,NA,NA,NA,NA
1267, Caixa De Som Bluetooth E Microfone Sem Fio Eclapower Br12 ,1999,NA,"
			
				Novo
			
			
				
					 - 
				
				2
				vendidos
			
		",(8 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 16667
		
		 sem juros
		
	

	
		",67,NA,Entrega a combinar com o vendedor,NA,NA,NA,NA,https://perfil.mercadolivre.com.br/STOCKCARNET,https://produto.mercadolivre.com.br/MLB-1181005873-jbl-party-box-200-caixa-de-som-portatil-bt-led-120-wrms-_JM#position=3&type=item&tracking_id=5a571735-6f4d-4c17-9fbc-ee0fb68fe073,NA,NA,NA,NA,NA,#1181005873,JBL,NA,Party Box 200,120 W,NA,NA,Ativo,NA,Caixa,NA,NA,15.32 kg,NA,NA,NA,NA,NA,NA,NA,NA
1268, Caixa De Som Rádio Mp3 Pendrive Cartão Micro Sd Trocar Pasta ,109,NA,"
			
				Novo
			
			
				
					 - 
				
				7
				vendidos
			
		",(11 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1051
		
		 sem juros
		
	

	
		",51,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.5,2418,https://perfil.mercadolivre.com.br/JKRDEARAUJO,https://produto.mercadolivre.com.br/MLB-1133062681-capa-case-bolsa-jbl-charge-3-rigida-anti-impacto-prota-entre-_JM#position=4&type=item&tracking_id=5a571735-6f4d-4c17-9fbc-ee0fb68fe073,1786,348,139,53,92,#1133062681,JBL,NA,Charge 3 (capa),20 W,NA,2,Passivo,NA,NA,NA,NA,NA,65 Hz,20 kHz,NA,NA,9.5 cm,NA,8 cm,NA
