search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Línea,Modelo,Formato,Modelo alfanumérico
797, Auriculares Originales Xiaomi Mi Lyej02lm Bluetooth-negro ,59,NA,9,3,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/NEW_AMERICA_STORE,https://articulo.mercadolibre.com.pe/MPE-437450426-auriculares-originales-xiaomi-mi-lyej02lm-bluetooth-negro-_JM#position=6&type=item&tracking_id=e13f4eff-d1be-4ab8-adf2-c44d46ab70bd,NA,NA,NA,NA,NA,#437450426,Xiaomi,NA,NA,NA,NA
798, Samsung Gear Iconx 2018 Audifono Para Huawei P20 Pro Mate 20 ,699,NA,0,99,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,5,1,http://perfil.mercadolibre.com.pe/PASAJECENTRALSAC,https://articulo.mercadolibre.com.pe/MPE-435989816-samsung-gear-iconx-2018-audifono-para-huawei-p20-pro-mate-20-_JM#position=7&type=item&tracking_id=e13f4eff-d1be-4ab8-adf2-c44d46ab70bd,1,0,0,0,0,#435989816,Samsung,Gear,IconX (2018),In-ear,SM-R140
799, Audífonos Bluetooth Inalámbrico Radio Mp3 Alta Calidad! ,99,NA,0,2,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/CSHOP1,https://articulo.mercadolibre.com.pe/MPE-437009145-audifonos-bluetooth-inalambrico-radio-mp3-alta-calidad-_JM#position=8&type=item&tracking_id=e13f4eff-d1be-4ab8-adf2-c44d46ab70bd,NA,NA,NA,NA,NA,#437009145,NA,NA,NA,NA,NA
800, Audifonos Bluetooh Samsung Gear Iconx ,599,NA,4,2,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/SANCHEZ_ANTONIO,https://articulo.mercadolibre.com.pe/MPE-435237827-audifonos-bluetooh-samsung-gear-iconx-_JM#position=9&type=item&tracking_id=e13f4eff-d1be-4ab8-adf2-c44d46ab70bd,NA,NA,NA,NA,NA,#435237827,Samsung,Gear,IconX,In-ear,SM-R150
801, Audifonos Bluetooth Jbl E50bt ,499,NA,0,4,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/DOMIZI-MEDIA,https://articulo.mercadolibre.com.pe/MPE-436457039-audifonos-bluetooth-jbl-e50bt-_JM#position=10&type=item&tracking_id=e13f4eff-d1be-4ab8-adf2-c44d46ab70bd,NA,NA,NA,NA,NA,#436457039,JBL,NA,E50BT,NA,NA
802, Audifono Bluetooth Anker Soundbuds Rise - 12 Horas ,139,NA,0,NA,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/AMORETTISTORE,https://articulo.mercadolibre.com.pe/MPE-437452559-audifono-bluetooth-anker-soundbuds-rise-12-horas-_JM#position=11&type=item&tracking_id=e13f4eff-d1be-4ab8-adf2-c44d46ab70bd,NA,NA,NA,NA,NA,#437452559,Anker,NA,NA,NA,NA
803, Auriculares Inalámbricos V8 Bluetooth V4.0 Manos Libres 8hrs ,68,NA,0,10,NA,NA,NA,Envío gratis a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/WORLDSSTORE+PERU,https://articulo.mercadolibre.com.pe/MPE-436428035-auriculares-inalambricos-v8-bluetooth-v40-manos-libres-8hrs-_JM#position=12&type=item&tracking_id=e13f4eff-d1be-4ab8-adf2-c44d46ab70bd,NA,NA,NA,NA,NA,#436428035,NA,NA,NA,NA,NA
804, Audífonos Bluetooth Con Micrófono Klip Xtreme Khs-632 ,85,NA,0,NA,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/TRIPLESENDS,https://articulo.mercadolibre.com.pe/MPE-432421383-audifonos-bluetooth-con-microfono-klip-xtreme-khs-632-_JM#position=13&type=item&tracking_id=e13f4eff-d1be-4ab8-adf2-c44d46ab70bd,NA,NA,NA,NA,NA,#432421383,NA,NA,NA,NA,NA
805, Audífonos Panasonic Bluetooth 24hrs Extra Bass Wireles Hf410 ,149,NA,1,198,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/ELEAZARALATAMARINO,https://click1.mercadolibre.com.pe/mclics/clicks/external/MPE/count?a=Iy%2BBra2Pl3%2F6SAsz84Y0FkEODxDT7p4LN74vcHr86YR32Gs2w3HSJI%2B%2BWeb0LfKZXgXhugDLDbC1M2NltswboeB8gkxXaf%2BLae3ba5OvwZd%2FS1dpu6m0fdtlhCDXrFYmOvd6c41tgJhnx5gvdCf3TZe%2BXfLv6irO5iMbtqYEzL6rPPipVp9tuvMFI%2B3QZrJmhtCZuuQhX31Y%2FzIE4BrSdJfKXQKONwupEtDQLHUJZd4qxVP8rPO0PJTEm1TBtIpR40sjgTJ3ho70m3Ntg%2BLn81sSwLty56yYK0sdiA5Xba4bx3pgIxKs9RmJi6Z2oTZkN%2B5Vqbvh5HtKLUh4qbB190NpfnMAB%2FbQBQHvc0eBMJAewRCMBaQgAYrQeVPI5HWUFMfcrFvf629M98dIIDVGWy5Gd%2B2xcgbWRIJ2bF5KZqKydKbbrrzVXGghyxKjrYHITe0Wovc5PNyjhUoGei5qBTR3VmnFgxx02wmoEaL1KSgwjWSfZxVNxA%2F%2FuTTwuP6rp7wCgLM%2Fak0lY07r%2FtmG2JxOEjq4r%2FgNKEF764gsogDbSCs1Tg7aKw2BBwnjYDaClKSGkWsZsx6XdZvfUJkMVqVMOd5ArKl1lsI%2F31VGxBLWe1fI57DditAWMtedjRKPYgMptKCBXGa3SSNW5f%2FXvhmrvSCHFkjz3NsqqBL0aIOlX6A9tVQ44%2FuH3%2Fu%2BiTo6IPeOMp634uLOxr1%2BgpitF%2FQMzbO7GKClHlPm4stfHCMG42SN7nQ6hTglmdk5W2ggPqo3hnD7wS9cL7DiTfII3DxyoHjVWJgvmytUxU6iWGBT3sJMiAPOQkdRyQ69JtF6%2BqER6eNwwdiKsIYltAc8P3HGMmNPiTHCHx4i0Mu992ECFRgzGSN7TQ7udr1y50xojUyt6MU917k8Epeqv94JHYVJQiltHDLkB6TuuPxipFDij3UCm4YwZqLmPBlVQLfgdtiYN8e9oasdraYQkQrFj7kfHL34nsoEJOy2z7vLiFwJPfd4qYbJSpN0bPHxCyLTEDAV4U1GXWQeLVK90WesL2FSVdwBWpfFuM5Je89OhjXaW2UDPfOkCuquHGxPBPW%2Bbq7MN%2B1cJfxgCAci1ew%2Fg96Z6ch%2F9xJEc658y7pgKDLMBeu8ls3SpcdUQhyOKYpaTM%2FGVLCOA17XxwRcAWGFx8Vgcq9FQObjGj3ObIXQDFoCEnl8%2FKWnTwSKaxPGJSdljqCtO19ftoU7lXrIoLrBuhuZpitoNE2R2nCOJ2g2sff5wzM77vHQVey5kKV7UqtN8yptl7KKsQJ36e7zP7kVoY240yVvXrnnN15jFMb5ofSEdddXReJiDYVquZLUiLGCjLktJK1rrxftr3lGFAyb3ykeF2uT6IEE4GDCQuFZMGllyYh%2B8ZjjSnSGBHdtKRY%2FDEyctv%2FwbxFQsZ1MWODuyKAIMld6j%2FSwewSb%2BANbEWFeWN%2BuunpinfYP11OtQR75WHwImiF3dDszrqdMakkigmBTzq%2BVPl79K%2FBXk4Pc9eWpDFfbdVP8GZ%2BWHCvUWxtKl74blnu72UurfEASN5BDjn53eSG1SHlG1YmwJ5x194itrphGIG0jfJBHYSYrCsVfIO2fi%2FUXHsCdJyD%2FVtHHzF6%2B1FYbSCvFqB3jYrhZyoJ0hRZdJ8%2Bfw%2B5%2B8nQtPd4D9cDZDE07cJUryXHDeaSyn5KS6gkWHOujCVY8BS1DcWNM9f1LjDltNKYD1zlfxp65l0H5fP17xFc47z%2F5ed0HDH%2Bwsk8e95o4MA%3D%3D,NA,NA,NA,NA,NA,#437311445,NA,NA,NA,NA,NA
806, Pulse | Audífonos Con Tecnología Inalámbrica Khs-628wh ,84,NA,NA,NA,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/DISTRIBUIDORAMESAJILHNOS?brandId=153,https://articulo.mercadolibre.com.pe/MPE-436144839-pulse-audifonos-con-tecnologia-inalambrica-khs-628wh-_JM#position=15&type=item&tracking_id=e13f4eff-d1be-4ab8-adf2-c44d46ab70bd,NA,NA,NA,NA,NA,#436144839,Klip Xtreme,NA,NA,NA,NA
807, Auriculares Bluetooth Over Ear Mkay Auriculares Inalambricos ,205,NA,0,12,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/NEGOCIOS+DANTE1920,https://articulo.mercadolibre.com.pe/MPE-436365230-auriculares-bluetooth-over-ear-mkay-auriculares-inalambricos-_JM#position=16&type=item&tracking_id=e13f4eff-d1be-4ab8-adf2-c44d46ab70bd,NA,NA,NA,NA,NA,#436365230,MKAY,NA,4326663321,NA,NA
808, Jbl Audifonos E25bt Bluetooth Wireless Android iPhone ,214,NA,0,13,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/ARPJUMPI,https://articulo.mercadolibre.com.pe/MPE-433257270-jbl-audifonos-e25bt-bluetooth-wireless-android-iphone-_JM#position=17&type=item&tracking_id=e13f4eff-d1be-4ab8-adf2-c44d46ab70bd,NA,NA,NA,NA,NA,#433257270,JBL,NA,E25BT,NA,NA
809, Jbl T450bt Wireless Audifonos Bluetooth Pure Bass Harman ,149,NA,0,299,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/ELEAZARALATAMARINO,https://click1.mercadolibre.com.pe/mclics/clicks/external/MPE/count?a=7kaJ9Lv%2FpvvS5ex1im1wrwjTNZ7NxuZKHczSfVkw8zeCFu3ZdgjRineEpv8z%2BZFM5ymwi20tVZlqYxoe795RCMb5OGrVQm6TevtxZiuPHnDS5jzSdH07%2B4yl8k5d46bbFCA5s%2FMiWL%2FgqbaQubViVCY1Yi2z2HbW3piczV3yBK6hsLSLmKAfFIr1Yrx0SuhzrBkhRwUeCVKhpK9LsJvlwTzWPwsRDHzMAJcjw2aqP3vZ1KSaCZ7g9gUyP%2FKAXNbKZQvSIwnVeKGpxLvgWFLh53dY0vhetwQSGNSsm3vjctwwCYkKkoEXtNv7TlaetiTu5OrkKm1cuASMHENCTveYNYadDaJqbeA0uuWi5o0m1PrkQKwwgbjzZnUcsGOc4gN91zfmE9BdQi5TsLhPezfC5TZC0SK5AWEPcG1Mgeko%2FC%2BqyGuNGChZBToMJQcbJIfg5AhpkFsKlm%2FrEGxA17YMy%2FGLt%2BK7NcdVWs3sr6FgYyKmdz%2Fp4jdtfS3j%2ByY9iaRXlsEiTfzH5azrfJJMDeOBH4vrYSFLKWIepu3djgXia8m%2FpE4YHFVHzGjIS08D3hy%2FovzQmU7t3RDeVWfp8xfanP3fgF3e%2FRpwtHEhhwjhLhww0CN4UxLQk5hFW0r%2FtpfnOCu%2F6Z0VAiXY3ikJFbIQcisPdBqQ7GryNQJJOZHKKQLlsnGHJOV21Tk%2Ba8EcAyxSpUMsav9yN2JbIFw5hlEKu82QOeDgiwxUctUlgSJPDxDKzNh0aQoYYMnVTJUDkXmJiHlmRilUBn6INq%2FtGpzL09fhe8cBieHTEyxWazEVyyCnC4%2ByEjC76SUltky%2Ff3tn9pffFMWvpv9ydcOW42OnV3DIhDQRXoAN0tIUanxbg7hPNJT7VBrJfc4fhFYqpDKVvL6aDpxDcO6FAgvUsIk1MvPgRQI%2BqGrNzFwph0gJSb0Q2nP0CkQDDvsZo5AH%2Ft8X%2FKr1tqFo0WMzGpj4NiHzz%2Bgxv8m7VUw82DcCbELO61d4hB2DbSbXb9LFWqKmRWx%2FTq2gYme9KODWtnBSIQmVeEJMj%2BVVYYYt2COlheJbGGxzq351nxmi5%2F5B9ke8WdFWlxpI%2F3xEdIJ23urz7DBXijk%2FlDuFSixU57u0uPPj0yQhv2b93dhGS9xeFwEom8eLjmQPIoPVJMeZOuKwLCelH6jvBR4b0RYs7J15lAJONgDDxM40VGq71SyUFzRjQ7LqvYanj5Xp5%2B9qCF9Khyv5fXne8iihUVrhROhT3oib2bXMkWKuB1AX%2FwpRjzyZG0BEnfE4GOwoDdg9RKzCVGYLSigK5iS1rXn1gT2kBufkTwkrDGe607M1oX5NZg%2FVwhlLN31KCdBd00R0kuWgT5kzJzJlT7YVPJl0pLYX%2Btn41xN78KgaJviutq4j9Rwzr3AIvu7%2F4D1bF2cy%2F71%2BV7BwMvIZTVH5crAJ4CpMu76jPCy10LZWwo3vB%2FPcRJM5ytCKB%2FZpvzahUSK7Qb%2Bz1YsVZcXiNjkVrbg0DL78p%2F1mXfOpEp2ymnoEWZUU7Vz6WwVEnE%2BfNiMFdnHgVNLsz58qU8aGiopEF42DbVy1pmxRMObBUzUtF87FyUQ2o9LOajt2LqQwL449N8MoWCTkkucRWb8lzQBlrhkQ%2FcmuurOLaTMoPN4ry8RcrWDUSlIRHpLgQKkRTeLUHkIsnC6TP0ngdh%2B03qL5XJ%2BLofkq03O%2FCQW8cVpx%2FJb0ymcKg6BqtWcu0cDIASeDX9MBBIzyHHcUOhbLLbQt,NA,NA,NA,NA,NA,#437740034,NA,NA,NA,NA,NA
810, Audifonos Samsung Level U ,150,NA,0,NA,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/TRIPLESENDS,https://articulo.mercadolibre.com.pe/MPE-436261660-audifonos-samsung-level-u-_JM#position=19&type=item&tracking_id=e13f4eff-d1be-4ab8-adf2-c44d46ab70bd,NA,NA,NA,NA,NA,#436261660,Samsung,Level,NA,NA,NA
811, Audifono Bluetooth Handsfree Manos Libres Ms-b1 + Delivery ,36,NA,0,50,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/FENIX_IMPORT_PERU,https://articulo.mercadolibre.com.pe/MPE-436799764-audifono-bluetooth-handsfree-manos-libres-ms-b1-delivery-_JM#position=20&type=item&tracking_id=e13f4eff-d1be-4ab8-adf2-c44d46ab70bd,NA,NA,NA,NA,NA,#436799764,NA,NA,NA,NA,NA
812, Audifono Inalambrico Bluetooth Tambien Por Mayor Ica ,1,NA,0,NA,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/LMBL7,https://articulo.mercadolibre.com.pe/MPE-433357746-audifono-inalambrico-bluetooth-tambien-por-mayor-ica-_JM#position=21&type=item&tracking_id=e13f4eff-d1be-4ab8-adf2-c44d46ab70bd,NA,NA,NA,NA,NA,#433357746,NA,NA,NA,NA,NA
813, J Auriculares Tebaurry Inalámbricos Bluetooth Led (a Pedido) ,185,NA,0,NA,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/JACKJIMNEZVIAS,https://articulo.mercadolibre.com.pe/MPE-437412851-j-auriculares-tebaurry-inalambricos-bluetooth-led-a-pedido-_JM#position=22&type=item&tracking_id=e13f4eff-d1be-4ab8-adf2-c44d46ab70bd,NA,NA,NA,NA,NA,#437412851,NA,NA,NA,NA,NA
814, Audifonos Bluetooth + Radio Sd Deportivos Wireless 4.1 ,39,NA,0,50,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/FULL+NOVEDADES-,https://articulo.mercadolibre.com.pe/MPE-436533794-audifonos-bluetooth-radio-sd-deportivos-wireless-41-_JM#position=23&type=item&tracking_id=e13f4eff-d1be-4ab8-adf2-c44d46ab70bd,NA,NA,NA,NA,NA,#436533794,NA,NA,NA,NA,NA
815, Hands Free Auricular Inalámbrico Bluetooth Mini-970 Movisun ,69,NA,0,2,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/MACMELLOWMIRAFLORES,https://articulo.mercadolibre.com.pe/MPE-435916139-hands-free-auricular-inalambrico-bluetooth-mini-970-movisun-_JM#position=24&type=item&tracking_id=e13f4eff-d1be-4ab8-adf2-c44d46ab70bd,NA,NA,NA,NA,NA,#435916139,NA,NA,NA,NA,NA
816, Audifonos Aiwa Aw2 Pro Bluetooth ,150,NA,2,3,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/OSCAR-MANUEL,https://articulo.mercadolibre.com.pe/MPE-434615646-audifonos-aiwa-aw2-pro-bluetooth-_JM#position=25&type=item&tracking_id=e13f4eff-d1be-4ab8-adf2-c44d46ab70bd,NA,NA,NA,NA,NA,#434615646,NA,NA,NA,NA,NA
817, Audifonos Bluetooth 5.0 Qcy Qs2 Tws ,89,NA,0,2,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/XAVIER.OR,https://articulo.mercadolibre.com.pe/MPE-437362618-audifonos-bluetooth-50-qcy-qs2-tws-_JM#position=26&type=item&tracking_id=e13f4eff-d1be-4ab8-adf2-c44d46ab70bd,NA,NA,NA,NA,NA,#437362618,QCY,NA,QS2,In-ear,NA
818, Audifonos Bluetooth Airpo I12 Tws Versión 5.0 - Lima ,139,NA,0,5,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/JESSICAJUOBONIFACIO,https://articulo.mercadolibre.com.pe/MPE-437721958-audifonos-bluetooth-airpo-i12-tws-version-50-lima-_JM#position=27&type=item&tracking_id=e13f4eff-d1be-4ab8-adf2-c44d46ab70bd,NA,NA,NA,NA,NA,#437721958,NA,NA,NA,NA,NA
819, Audífono Bluetooth Huawei/honor Sport Am61 Color Negro! ,114,NA,3,9,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,5,1,NA,https://articulo.mercadolibre.com.pe/MPE-436692480-audifono-bluetooth-huaweihonor-sport-am61-color-negro-_JM#position=28&type=item&tracking_id=e13f4eff-d1be-4ab8-adf2-c44d46ab70bd,1,0,0,0,0,#436692480,Huawei,Honor Series,Xsport,In-ear,AM61
820, Audifonos Bluetooth Sony Extra Bass Gt-7600 ,50,NA,1,3,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/TECNOLOGIAREDA,https://articulo.mercadolibre.com.pe/MPE-437009417-audifonos-bluetooth-sony-extra-bass-gt-7600-_JM#position=29&type=item&tracking_id=e13f4eff-d1be-4ab8-adf2-c44d46ab70bd,NA,NA,NA,NA,NA,#437009417,NA,NA,NA,NA,NA
821, Auriculares Bluetooth 42 Auriculares Deportivos Inalambricos ,185,NA,0,12,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/NEGOCIOS+DANTE1920,https://articulo.mercadolibre.com.pe/MPE-436365200-auriculares-bluetooth-42-auriculares-deportivos-inalambricos-_JM#position=30&type=item&tracking_id=e13f4eff-d1be-4ab8-adf2-c44d46ab70bd,NA,NA,NA,NA,NA,#436365200,JWAIT,NA,4332817432,NA,NA
822, Hands Free Auricular Inalámbrico Bluetooth Motorola G7 Plus ,69,NA,0,2,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/MACMELLOWMIRAFLORES,https://articulo.mercadolibre.com.pe/MPE-436409272-hands-free-auricular-inalambrico-bluetooth-motorola-g7-plus-_JM#position=31&type=item&tracking_id=e13f4eff-d1be-4ab8-adf2-c44d46ab70bd,NA,NA,NA,NA,NA,#436409272,Motorola,NA,NA,NA,NA
823, Audifonos Jbl Bluetooth Pure Bass Sound T110 Wireles Colores ,127,NA,0,20,NA,NA,NA,Envío gratis a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/NO2125288,https://articulo.mercadolibre.com.pe/MPE-437005203-audifonos-jbl-bluetooth-pure-bass-sound-t110-wireles-colores-_JM#position=32&type=item&tracking_id=e13f4eff-d1be-4ab8-adf2-c44d46ab70bd,NA,NA,NA,NA,NA,#437005203,NA,NA,NA,NA,NA
824, Auriculares Bluetooth 4.2 Inalambricos (gemelos) ,85,NA,0,NA,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/NOSSONTEC,https://articulo.mercadolibre.com.pe/MPE-432990521-auriculares-bluetooth-42-inalambricos-gemelos-_JM#position=33&type=item&tracking_id=e13f4eff-d1be-4ab8-adf2-c44d46ab70bd,NA,NA,NA,NA,NA,#432990521,NA,NA,NA,NA,NA
825, Audífonos Xiaomi Redmi Airdots Mejor Que I12 Tws I10 Tws ,159,NA,0,5,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.7,108,http://perfil.mercadolibre.com.pe/ANALULOZANO,https://articulo.mercadolibre.com.pe/MPE-436495178-audifonos-xiaomi-redmi-airdots-mejor-que-i12-tws-i10-tws-_JM#position=34&type=item&tracking_id=e13f4eff-d1be-4ab8-adf2-c44d46ab70bd,77,26,5,0,0,#436495178,Xiaomi,Mi,AirDots,In-ear,NA
826, Skullcandy Audifonos Crusher Wireless Bass Sound Bluetooth ,389,NA,0,299,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/ELEAZARALATAMARINO,https://click1.mercadolibre.com.pe/mclics/clicks/external/MPE/count?a=qzk5XojtEU59PGxzYmsBb3OJbl6a581xCvnG7dpCZVmXhiImQziFY0FHlDcl2VvVs%2FHwmqsXi9LeewIxxq9nlDEsMormU5nWAAe4%2BkcYtv7c8LNaIpDw4W0Ero9bxT0kfFs0keMeVkZGi%2BOtDyzcSNFzftnv8WqWODPOW25cq%2FaDiEqjD5JuxxNKTT0ixuuR%2F3nDyZ60LV0FCt9YB8Mdkb16mE3V8uFs1xNlw4H8VcuNuLtRY781TVcNN5iH72zYfsQkj%2BngGN%2FCZUik%2FLnLXG0UaNHqJXrizchMMUUjdgQJXrQZJb9DlHPjY5txAXX2BfWfKjSUrO7%2FGT5F5YqDrXQtrYZufcBw3iYLmXYg1oh82COtLfSmNQM5oyPRShi620npBr9wrEvA3VlBo0ge1sP2284gcrEADkgLZuPUMdlFhLiYZYR4J80nLeIwQu6tl1CqgvR34c1W4rjzMlCMgFmeiyDauezorFgt7zI3dfsqDPcN2mmzFc2UL7Nb7xhOqJKBeZivuXK4HGLqhvVY4DMKM4FGVF%2BIrIPafNOZXRl0TN%2BvTIdygUc5gbgikmxu6cx%2F5wBAZRbhKz5%2BwJP5GMz9DytEHJIMpOJMjp%2BYS32gSdnshXe%2FiE2wONyEM6jh33i8UQ8fTN76HOj0YTUig5avgul2o2CJgONvnEtwEWqxf6YWUTst7CPIgrmzNzBOBQl%2Fmrqf5bPx9f4jUvD8UiBdSxN3KjznBHlA6cDt7nv%2FMDxP5VQIa9usUbm0NUgrCXPweCZCGHtWDXW9VcRCSKGDpULphXn3vUEFRUVAv2WAfmwAOKnElXfOX%2F94yz0%2Fm2y4UOwMDuVCfQ%2FhSdtzhLuwyW%2FQ7jdpCQcOQXhSjuUaz1oI3XSvDoSVSywxJFYuOdxuY9KXp%2B9c26SdRnpypAZvYshiQxIMbif85wpQBB33S9NrIcbL1PA9N1cUEfTYnmPl8nADmyGyu3DSohBqzkGZExrhmxtUlLJQZaAjRdeVxK1XwgwzbjKjfS4o%2B5D2weQS%2FrpENBUKgzFwy3y14e7Y6YP5YJdjeNXFHiiN6da3P2liSo9YBGYdToVek3Tq%2F6fJF6YsOt4XWBPpbr5fHGhCvbHIwdFOia1XTlC%2BFYZB%2BJiqBABGcYNZHl3ftKmQa6b2pk6eU7hMT%2BiCBUbVMGqameAYrhjGoEcfW%2BJ3QSDzPj1XAt6qM8Rrqg7frUxaSprHYn57nY7WV7c%2F8%2F4NWQpXOc1TNXYGsH%2BeLsb3L0ZmhV6DErvDFuosvDnq0LO8EI0uL7BqPRbrNeFinrobZ5ZG2T8c7zqqwhZnT7yaFVhGYHX5OYExprMM2Mw1TK2WRXvcp%2FM25ooN0xkY1f9hv%2BZEfBGaRXbbKXLK5LKFEb15g55rFniNGzA3093cCBnOsdX2Cg5PI%2F59FOpxe%2FQZEclrSMRsLv%2B8NRsC6Fde50mqdDJi5yMqB5koxPbM7fEnerHSB4MbQ8QsIsSj4O8LHzOpQt3MpTyC6HoATjTfhFaoYcmx4O%2BbZY7eb%2FqvYsuFYlIDw8K240cH9MeEegArarUKVDIZmO0AyzTlVVNtNoH%2B8iMK%2BeKxBdUDAIRSxfkYNPtdKASgbM1O1Syl%2BUkRlW1FXhp6KfShH6THPicMhR7rZ6jZ%2Fni1ddxxtv8NZP9QnpZLMyga4nx8dLTsSlawqY5EHYKGK4kzUSJwrYDZCvtOaBA1pEA6ZwhioetDTSMTeZSyzp1%2FKQRLlOsTz%2BXpXYSeJXpDvm4%3D,NA,NA,NA,NA,NA,#437739955,NA,NA,NA,NA,NA
827, Audifono Sennheiser Cx Sport - Bluetooth ,549,NA,3,3,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/TECNOLOGIAYREPRESENTACIONESS?brandId=79,https://articulo.mercadolibre.com.pe/MPE-432682912-audifono-sennheiser-cx-sport-bluetooth-_JM#position=36&type=item&tracking_id=e13f4eff-d1be-4ab8-adf2-c44d46ab70bd,NA,NA,NA,NA,NA,#432682912,Sennheiser,NA,CX SPORT,NA,NA
828, Audífonos Huawei Freebuds Lite ,399,NA,0,NA,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/ERICKSK40,https://articulo.mercadolibre.com.pe/MPE-436931150-audifonos-huawei-freebuds-lite-_JM#position=37&type=item&tracking_id=e13f4eff-d1be-4ab8-adf2-c44d46ab70bd,NA,NA,NA,NA,NA,#436931150,Huawei,NA,NA,NA,NA
829, Audifonos Deportivo Xo Bluetooth Bs5 ,70,NA,0,NA,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/IMQU8972250,https://articulo.mercadolibre.com.pe/MPE-434209397-audifonos-deportivo-xo-bluetooth-bs5-_JM#position=38&type=item&tracking_id=e13f4eff-d1be-4ab8-adf2-c44d46ab70bd,NA,NA,NA,NA,NA,#434209397,NA,NA,NA,NA,NA
830," Audifono Bluetooth Handsfree, Auricular, Microusb Y Control ",24,NA,0,50,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/FENIXIMPORTPERUX,https://articulo.mercadolibre.com.pe/MPE-436633088-audifono-bluetooth-handsfree-auricular-microusb-y-control-_JM#position=39&type=item&tracking_id=e13f4eff-d1be-4ab8-adf2-c44d46ab70bd,NA,NA,NA,NA,NA,#436633088,NA,NA,NA,NA,NA
831, Gratis!!! Audífono Huawei Freebuds Bluetooth Resiste Agua ,469,NA,0,NA,NA,NA,NA,Envío gratis a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/INTECGLOBALPERU,https://articulo.mercadolibre.com.pe/MPE-435682677-gratis-audifono-huawei-freebuds-bluetooth-resiste-agua-_JM#position=40&type=item&tracking_id=e13f4eff-d1be-4ab8-adf2-c44d46ab70bd,NA,NA,NA,NA,NA,#435682677,Huawei,NA,NA,NA,NA
