search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Modelo,Potência de saída (RMS),Tipos de filtros do alto-falante,Resposta máxima em frequência,Resposta mínima em frequência,Linha,Modelo alfanumérico,Voltagem,Tipos de alto-falante,Lugares de colocação,Formato do alto-falante,Configuração de canais,Quantidade de alto-falantes,Conectores de entrada,Sensibilidade de entrada,Largura,Profundidade,Altura,Cor,Peso
917, Caixa Som Bluetooth Caixinha Pendrive Usb P2 Atacado Kit 4un ,119,NA,62,1,12x,11.37,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,5,1,https://perfil.mercadolivre.com.br/I.GO+ELETRONICOS,https://produto.mercadolivre.com.br/MLB-938727821-caixa-som-bluetooth-caixinha-pendrive-usb-p2-atacado-kit-4un-_JM,1,0,0,0,0,#938727821,Grasep,BH1064,6 W,Ativo/Passivo,22000 Hz,120 Hz,Portátil,BH1064,DC 5V,Woofer,Mesa,Caixa,2.1,1,USB,NA,12 cm,9 cm,14 cm,Sortidas,465 g
918," Caixa De Som, Logitech, Ue Wonderboom, Bluetooth, Unicorn ",484,NA,8,78,12x,40.38,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,5,1,https://perfil.mercadolivre.com.br/GLOBALDISTRIBUIODEBENS?brandId=1397,https://produto.mercadolivre.com.br/MLB-1057825919-caixa-de-som-logitech-ue-wonderboom-bluetooth-unicorn-_JM,1,0,0,0,0,#1057825919,Logitech,984-001249,10 W,Ativo,NA,NA,NA,NA,NA,NA,Portátil,Caixa,.,NA,NA,NA,NA,NA,10.2 cm,NA,425 g
919, Mini Caixinha De Som Bluetooth Portátil Ventosa Cor Preta ,23,NA,75,7,4x,6.35,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,3.3,3,https://perfil.mercadolivre.com.br/LS.EXPRESS,https://produto.mercadolivre.com.br/MLB-1028834012-mini-caixinha-de-som-bluetooth-portatil-ventosa-cor-preta-_JM,1,1,0,0,1,#1028834012,Importado,BTS-06,3 W,Ativo/Passivo,NA,NA,Ventosa,NA,0,Tweeter,"Banheiro, vidro, Azulejo",Caixa,2.1,NA,NA,80 dB,NA,NA,NA,Preto,NA
920, Cx Som Multiuso Portátil 100w 8 Bluetooth - Cp100bt - Vinik ,425,NA,10,4,12x,35.42,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/TECHMAISSHOP,https://produto.mercadolivre.com.br/MLB-1207082248-cx-som-multiuso-portatil-100w-8-bluetooth-cp100bt-vinik-_JM,NA,NA,NA,NA,NA,#1207082248,Vinik,CP100BT,100 W,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
921, Caixa De Som Bluetooth Boom 3 Vermelho Ultimate Ears ,850,NA,2,3,12x,81.24,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,5,1,https://perfil.mercadolivre.com.br/LOJAVISIVO,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=%2FyK0vS%2B03GW1biD0Omz3lP3wKVbHQq7QJrANzc%2FzzXRSG5LD4vSN4FtH41sjD9FCr8foBA30qFiSsQUnYqMtG9odiP8wFzRa7tmKORHKSkbNTsapLnGKbjsz8SXZVKBHCq3S5ZsLDIoXZ9z19%2BjK6zx550R08QJWEYgnywBqSTUaQ8smXDrSQ3Cw4979LvSd5D4UtEz%2BLhUhCekLL62FaH21WXmmBtziFWXK3I%2Fc3clXkdSIMqB1TmjxbbWas0QGdfhwi6HpscjeYDL5BrWIUgYrE4zC1vYuCr964CZbrYtb3DviWlf1TSOktUFpomBoSE2kfmeUjvzhdAXs%2Fvtfk3CuslfjgI2%2FSzp73Z0OjL3AoL5CFj%2BImgHoyi6cGcFm84QDCrFt0G2AaHHPBOODlg8rs%2BYzzOS27ysVOKfXxx4IWvTd%2FIlT4Na0JqPN2uoSdPqv8c67bb%2BzEtLQwQyjYI%2FQlDETao0ye6Nyy4vYN%2FI5HtUS59jNTxcYEDWQDFXjj709VZ28gkdQwM6VegFE%2FRIYcb3hX8j5u9%2Fm6mvDdUgJcC5fqWX7X6s0y35hT0K3CssEOX996ifwDxiQptzY%2FuzBEZXye9hxyHQx011QQaCA0LuwliMfSJPAn%2F9Lef%2BCP%2F6tPal82mKJZceP2nQ9Z2YKhP%2BLdNazx%2BDiHgdkj0pfaz%2FTa9lcNEoreaIiCkp6EBulRO6V1jCuY7C%2F01zPKM1SwYgPhYf5Djo3L8tUINCw%2FnQheKUCozUfvP0WSi8ZMu0ZvSkshDHJk6oQgoSZW5rAgCuCF7%2FsJg9AcIZ1UfTxScQ4Tw6gEq0zs4%2FTDkDi3v%2Btz66moEFN0w%2B3a2FOTAlSzG8BNOZ80TYd7t0XRqIFDPFUaVPOAft%2FSNqbZP9A09AZOqv3fBPOKUK%2BgKHFegzbMKiBDXlNhURDhA39JQf5rNUaMROfoePCSQTrJsALb%2BW1T%2FEKPKRNqMEBpUDQ7JFwG6Kmwe%2FEQ0jR%2BKpiIeZH2Kqof8V1p24qi2tz%2BzjbHCG5I3IjsRQDsDM1ik1WsVsDvRJwF%2FkFMY9oaNdvzkP1HOL0py6Ad711bQRqxJqX6Zl8UFRqH9KzHi%2FtTArZH7ZqBLk4cohJiushRkXC5RRWoNgt3YUMSNincvVqzg0t5TIduOigSjsg3jNKRjvM15ZMxL8tP4pbcGTTHUCgmU5H4nYBf207R%2FzX2has1eqs6WxOxK425Ru0df%2BPDrh1IfY0aAfMMh8gVLe%2FmiT21nA1GSW62YnhHqru0qkty%2FipoTaY68HQNbl736%2FvurfYfFHJuMpTzlrKFC9ZPZ2IKpptX1uc%2B2c3HqE%2BwHUlp3tFpmmMz9YgpPLnoGoTbIG3r8Q%2BIZxAkGBV6Jz0rtNv2MDypPe%2FsoG29pQ0Wn%2BYg%2FMny7D4oQgCcFyrtSVwrlykbGGzJMXihOguPAOZDt1vKlHVyWh6WvhwLiRoMp1NXq82N6A3ELGbPaE4TMYxmpRP4MkUWkozs5FF%2FS3Mp9cfzlzdBrTWgUXbSIg2iciZ0hOu9pbRrbb26mbioMjAf%2FX9Gqh0NOJG2uBTimmQlHFidI%2Fp9FrW2Uh86XyZ9i2UwjpSBw2xluVZ0t1jfi%2BiTJ9VOJsANxHAcQi5PpeFUAO3Mg%2BKvtwXswODWphqnmPElsUCndvjH8jpiZ7p%2FYZv5ubzXQsljrAemT2DMnkyn7xp7C3kqO96PMD9a3K6Sepul4ZN5qiuFi%2FqLpU5iWmHZeNJxvJCtqwYswk%2BxOublXkVqtjnOQNSwi%2Bc%2B9Nq%2Ftlpi2HjLi56PBhQuayP1hi%2F9MhdbFdVS%2FMB4hPS8cNYrT0KwgxCZqo%2FTR69spzgCMatSo5KSj8YKLfmKEOJumQmnXySbSWHgVkka1E2Pv2zwGZZiaoorY3Izw%3D%3D,1,0,0,0,0,#1196487987,Ultimate Ears,BOOM 3,20 W,Ativo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80 dB,NA,NA,NA,NA,608 g
922, Caixa De Som Bluetooth Xboom Go Pk3 Lg Meridian Prova Dágua ,289,NA,8,2,12x,24.08,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/MANSURMARCIO,https://produto.mercadolivre.com.br/MLB-1271577358-caixa-de-som-bluetooth-xboom-go-pk3-lg-meridian-prova-dagua-_JM,NA,NA,NA,NA,NA,#1271577358,LG,XBOOM GO PK3,16 W,NA,NA,NA,XBOOM Go,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
923, Caixa De Som Portatil Mini Vibe Beats Para Celular Tablet ,14,NA,22,4,2x,7.84,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,5,1,https://perfil.mercadolivre.com.br/WEBIMPORTCENTER,https://produto.mercadolivre.com.br/MLB-813858087-caixa-de-som-portatil-mini-vibe-beats-para-celular-tablet-_JM,1,0,0,0,0,#813858087,Vibe Beats,V 10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
924, Caixa De Som Bluetooth Amplificada Bateria Recarregavel Usb ,90,NA,58,22,12x,7.50,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,5,3,https://perfil.mercadolivre.com.br/MAXIMA.SHOP,https://produto.mercadolivre.com.br/MLB-994807904-caixa-de-som-bluetooth-amplificada-bateria-recarregavel-usb-_JM,3,0,0,0,0,#994807904,ewtto,ET-P2054B,20 W,Ativo,NA,NA,NA,NA,NA,Subwoofer,Portátil,Caixa,2.0,NA,NA,NA,NA,NA,NA,NA,NA
925," Par Alto Falante Jbl Caixa De Som Flip 3 (nd) Orig, Novo Nf ",200,NA,7,15,12x,16.67,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.8,669,https://perfil.mercadolivre.com.br/BSTECNLOGIA,https://produto.mercadolivre.com.br/MLB-1196912791-par-alto-falante-jbl-caixa-de-som-flip-3-nd-orig-novo-nf-_JM,574,69,12,4,10,#1196912791,JBL,Flip 3,16 W,PORTÁTIL,20 kHz,85 Hz,NA,NA,NA,NA,CAIXA DE SOM - JBL,QUADRADO,NA,NA,NA,80 dB,NA,NA,NA,NA,NA
926, Caixaa Caixinha Som Portatil Via Bluetooth Mp3 Pendrive Pc ,107,NA,47,5,12x,10.27,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,5,1,https://perfil.mercadolivre.com.br/MAGAZINEHELENA,https://produto.mercadolivre.com.br/MLB-919855490-caixaa-caixinha-som-portatil-via-bluetooth-mp3-pendrive-pc-_JM,1,0,0,0,0,#919855490,Yes,MS-144BT,15 W,NA,80 kHz,18 kHz,Reader Speaker,Caixa De Som Portátil Bluetooth Amplificada,Bivolt,NA,NA,Caixa,NA,1,USB,NA,NA,NA,NA,NA,NA
927, Caixa Som Ambiente Jbl Selenium C621 Preto C621p 100w Par ,489,NA,47,200,12x,46.82,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,5,2,https://perfil.mercadolivre.com.br/AUDIOB+SHOP,https://produto.mercadolivre.com.br/MLB-1034753845-caixa-som-ambiente-jbl-selenium-c621-preto-c621p-100w-par-_JM,2,0,0,0,0,#1034753845,JBL,C-621,50 W,Passivo,20 kHz,85 Hz,Ambientare,NA,1,NA,NA,Caixa,NA,1,NA,90 dB,22 cm,18 cm,29 cm,NA,3.225 kg
928, Caixa De Som Pulse Waterproof 15w Laranja Sp246 Com Nfe ,198,NA,6,5,12x,19.01,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4,1,https://perfil.mercadolivre.com.br/MERCADOFACILSHOP,https://produto.mercadolivre.com.br/MLB-1206592081-caixa-de-som-pulse-waterproof-15w-laranja-sp246-com-nfe-_JM,0,1,0,0,0,#1206592081,Pulse,SP246,15 W,NA,NA,NA,NA,NA,NA,NA,NA,Caixa,NA,NA,Auxiliar,80 dB,NA,NA,NA,NA,NA
929, Toca Disco Maleta Vinil Com Conversor Usb Aux 10w Discos ,349,NA,6,6,12x,29.17,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/VPSOM,https://produto.mercadolivre.com.br/MLB-1227631306-toca-disco-maleta-vinil-com-conversor-usb-aux-10w-discos-_JM,NA,NA,NA,NA,NA,#1227631306,Multilaser,SP267,10 W,NA,NA,NA,NA,NA,NA,NA,NA,Caixa,NA,NA,NA,NA,17 cm,40 cm,35 cm,NA,NA
930, Caixa De Som Bulldog Francês Cachorro Portatil Bluetooth 4.1 ,59,NA,56,995,10x,6.76,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,5,1,https://perfil.mercadolivre.com.br/RAFAELCOSTARODRIQUES,https://produto.mercadolivre.com.br/MLB-1205768098-caixa-de-som-bulldog-francs-cachorro-portatil-bluetooth-41-_JM,1,0,0,0,0,#1205768098,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
931, Mini Caixa Caixinha De Som Potente Barata Lançamento Usb Sd ,19,NA,45,961,3x,7.07,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/MRCIAJAQUELINECASTRODELIMA,https://produto.mercadolivre.com.br/MLB-1267304930-mini-caixa-caixinha-de-som-potente-barata-lancamento-usb-sd-_JM,NA,NA,NA,NA,NA,#1267304930,JBL,ws887 Mini Caixa Caixinha de som Potente Barata Lançamento USB SD,5 W,portátil,NA,NA,NA,NA,NA,podt´s,aleatório,portátil,fm,NA,USB,NA,NA,NA,NA,NA,NA
932, Maleta Vinil Com Conversor Usb Aux 10w Toca Disco Discos ,349,NA,6,6,12x,29.17,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/VPSOM,https://produto.mercadolivre.com.br/MLB-1227627754-maleta-vinil-com-conversor-usb-aux-10w-toca-disco-discos-_JM,NA,NA,NA,NA,NA,#1227627754,Multilaser,SP267,10 W,NA,NA,NA,NA,NA,NA,NA,NA,Caixa,NA,NA,NA,NA,17 cm,40 cm,35 cm,NA,NA
933, Speaker Jbl Go 2 Com Bluetooth/auxiliar Bateria De 730 Mah - ,194,NA,14,1,12x,16.25,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.9,1510,https://perfil.mercadolivre.com.br/KJELLIN+OLIVEIRA,https://produto.mercadolivre.com.br/MLB-878792946-speaker-jbl-go-2-com-bluetoothauxiliar-bateria-de-730-mah--_JM,1385,98,19,4,4,#878792946,JBL,GO 2,3 W,Ativo,20 kHz,180 Hz,NA,NA,NA,NA,NA,NA,NA,NA,USB,80 dB,NA,NA,NA,NA,130 g
934, Caixa De Som Pulse Waterproof 15w Preta Sp245 - Com Nfe ,212,NA,10,5,12x,20.35,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,5,1,https://perfil.mercadolivre.com.br/MERCADOFACILSHOP,https://produto.mercadolivre.com.br/MLB-1130054437-caixa-de-som-pulse-waterproof-15w-preta-sp245-com-nfe-_JM,1,0,0,0,0,#1130054437,Pulse,SP245,15 W,NA,NA,NA,NA,NA,NA,NA,NA,Caixa,NA,NA,Auxiliar,80 dB,NA,NA,NA,NA,NA
935, Caixa De Som Portátil Jbl Wind P/ Moto E Bike P2 E Bluetooth ,189,NA,124,18,12x,15.82,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.7,891,https://perfil.mercadolivre.com.br/PAULISTASHP,https://produto.mercadolivre.com.br/MLB-920217005-caixa-de-som-portatil-jbl-wind-p-moto-e-bike-p2-e-bluetooth-_JM,720,119,35,6,11,#920217005,JBL,Wind,3 W,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P2,NA,8 cm,4 cm,9 cm,NA,0.3 kg
936, Alto Falante Caixa De Som Jbl Flip 4 (gg) - Original C/ Nfe ,125,NA,12,6,12x,10.50,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.9,2914,https://perfil.mercadolivre.com.br/BSTECNLOGIA,https://produto.mercadolivre.com.br/MLB-1187499201-alto-falante-caixa-de-som-jbl-flip-4-gg-original-c-nfe-_JM,2647,188,38,11,30,#1187499201,JBL,Flip 4,8 W,NA,NA,NA,Flip Series,NA,NA,NA,Caixa de Som - Flip 4 (gg),Quadrado,NA,NA,NA,NA,NA,NA,NA,NA,NA
937, Caixa De Som Bluetooth Resistente Água Usb Sd Aux Kimaster ,120,NA,20,5,12x,11.47,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.5,2,https://perfil.mercadolivre.com.br/GOMESARAUJOCELLCENTERLTDA,https://produto.mercadolivre.com.br/MLB-1105027459-caixa-de-som-bluetooth-resistente-agua-usb-sd-aux-kimaster-_JM,1,1,0,0,0,#1105027459,Kimaster,K335,10 W,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
938, Jbl Xtreme Portátil 100% Original Bluetooth Conect Jbl ,1068,NA,7,10,12x,89.04,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.3,1898,https://perfil.mercadolivre.com.br/NEWCARCUSTOMS,https://produto.mercadolivre.com.br/MLB-1071301123-jbl-xtreme-portatil-100-original-bluetooth-conect-jbl-_JM,1230,328,175,67,98,#1071301123,JBL,Xtreme,40 W,Passivo,20 kHz,70 Hz,NA,NA,NA,NA,NA,NA,NA,1,USB,80 dB,NA,NA,NA,NA,3.5 kg
939, Caixa Caixinha Som Portátil Bluetooth Mp3 Pen Drivefm E83 ,32,NA,3,977,6x,6.10,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/GOLDENYATA+NOVO,https://produto.mercadolivre.com.br/MLB-1214850645-caixa-caixinha-som-portatil-bluetooth-mp3-pen-drivefm-e83-_JM,NA,NA,NA,NA,NA,#1214850645,Altomex,A37,NA,NA,NA,NA,NA,NA,NA,NA,NA,Caixa,NA,NA,USB,NA,NA,NA,NA,NA,300 g
940, Caixa Acústica Jbl Extreme Bluetooth Cx De Som Original ,1099,NA,17,2,12x,105.04,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,3.7,3,https://perfil.mercadolivre.com.br/DIGITALMASTER.POA,https://produto.mercadolivre.com.br/MLB-897475735-caixa-acustica-jbl-extreme-bluetooth-cx-de-som-original-_JM,1,0,2,0,0,#897475735,JBL,Extreme,NA,NA,NA,NA,NA,NA,NA,Woofer,NA,Caixa,NA,NA,USB,NA,NA,NA,NA,NA,3.5 kg
941, Kit 2 Mini Radios Bluetooth Com Base Sem Fio F1 Sardine ,119,NA,27,1,12x,9.92,NA,Chegará amanhã,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/NEG%C3%93CIODEG%C3%8ANIO,https://produto.mercadolivre.com.br/MLB-1088267108-kit-2-mini-radios-bluetooth-com-base-sem-fio-f1-sardine-_JM,NA,NA,NA,NA,NA,#1088267108,SM,2.1,NA, ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
942, 2 Unidades - Caixa Som Fusca Caixinha Portátil Carro Mp3 Usb ,128,NA,30,24,12x,12.23,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,3,1,https://perfil.mercadolivre.com.br/SUPER25_,https://produto.mercadolivre.com.br/MLB-1022116271-2-unidades-caixa-som-fusca-caixinha-portatil-carro-mp3-usb-_JM,0,0,1,0,0,#1022116271,Importado,Fusca,3 W,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,USB,NA,NA,NA,NA,NA,NA
943, Cx De Som Portatil Bluetooth Xtreme Mini Rms Potente Fm ,93,NA,58,54,12x,7.75,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.2,5,https://perfil.mercadolivre.com.br/SIMA2992965,https://produto.mercadolivre.com.br/MLB-1224482981-cx-de-som-portatil-bluetooth-xtreme-mini-rms-potente-fm-_JM,3,1,0,1,0,#1224482981,Xyrem,Xtreme mini,40 W,mini,NA,NA,NA,NA,NA,Tweeter,1,1,5.1,NA,NA,NA,NA,NA,NA,NA,NA
944, Caixinha Caixa De Som Bluetoot Grave Potente Charge 3+ Mini ,49,NA,14,1,6x,9.23,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/MAZANHA2018,https://produto.mercadolivre.com.br/MLB-1229024868-caixinha-caixa-de-som-bluetoot-grave-potente-charge-3-mini-_JM,NA,NA,NA,NA,NA,#1229024868,Charge Mini,Charge mini 3+,20 W,Mini tweeter,NA,NA,NA,NA,NA,NA,De piso,Caixa,5.1,NA,NA,NA,NA,NA,NA,NA,NA
945, Caixa De Som Bluetooth Com Led Colorida Nsb-02 Mp3 Usb Rádio ,44,NA,27,11,6x,7.42,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,5,1,https://perfil.mercadolivre.com.br/LOJASMSA?brandId=1157,https://produto.mercadolivre.com.br/MLB-925287331-caixa-de-som-bluetooth-com-led-colorida-nsb-02-mp3-usb-radio-_JM,1,0,0,0,0,#925287331,Navcity,NS-02,3 W,NA,20 kHz,20 Hz,NS,NA,NA,NA,NA,Caixa,NA,NA,USB,NA,NA,NA,NA,NA,NA
946," Caixa Som Portátil Amplificada - Mp3, Usb Fm Bluetooth P2 Sd ",28,NA,18,982,5x,6.33,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/LUCRIMAXTENDNCIAS,https://produto.mercadolivre.com.br/MLB-1239830645-caixa-som-portatil-amplificada-mp3-usb-fm-bluetooth-p2-sd-_JM,NA,NA,NA,NA,NA,#1239830645,Goldenultra,Torre,5 W,Subwoofer,NA,NA,NA,NA,NA,Woofer,"Mesa, Balcão, Colo, Chão",Torre,5.1,NA,USB,NA,NA,NA,NA,NA,387 g
947, Caixa De Som Bluetooth C/ Led / Estilo Caveira - 6w ,175,NA,13,987,12x,16.73,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/VALVOLANDIAPILHASEBATERIAS,https://produto.mercadolivre.com.br/MLB-1178005135-caixa-de-som-bluetooth-c-led-estilo-caveira-6w-_JM,NA,NA,NA,NA,NA,#1178005135,Flex,XC-DJ-16BT,6 W,Tweeter,NA,NA,NA,NA,NA,Tweeter,HORIZONTAL,Line array,5.1,NA,USB,NA,NA,NA,NA,NA,NA
948, Caixa Som Banheiro Prova Dágua Bluetooth Samsung iPhone ,21,NA,20,230,4x,5.48,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/RT-ACESSORIOS,https://produto.mercadolivre.com.br/MLB-1198097424-caixa-som-banheiro-prova-dagua-bluetooth-samsung-iphone-_JM,NA,NA,NA,NA,NA,#1198097424,FEL,BTS-06,5 W,Ativo/Passivo,NA,NA,CAIXA,NA,NA,Super tweeter,De parede,Caixa,bluetooth,NA,NA,80 dB,NA,NA,NA,NA,NA
949, Caixa De Som Jbl Flip 4 Bluetooth Preta Original - Envio Ja. ,439,NA,4,6,12x,36.58,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.9,446,https://perfil.mercadolivre.com.br/ANA.KARINY.SILVA,https://produto.mercadolivre.com.br/MLB-1272513423-caixa-de-som-jbl-flip-4-bluetooth-preta-original-envio-ja-_JM,408,27,4,3,4,#1272513423,JBL,Flip 4,16 W,Ativo,NA,NA,Flip Series,NA,NA,Ativo,NA,Caixa,NA,NA,NA,80 dB,175 mm,66 mm,66 mm,NA,NA
950, Caixa De Som Jbl Go2 Bluetooth A Prova D'agua Prata ,160,NA,2,4,12x,13.37,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.9,1510,https://perfil.mercadolivre.com.br/YINYANGMAN,https://produto.mercadolivre.com.br/MLB-1230131359-caixa-de-som-jbl-go2-bluetooth-a-prova-dagua-prata-_JM,1385,98,19,4,4,#1230131359,JBL,GO 2,3 W,Ativo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Auxiliar,80 dB,71 mm,31 mm,86 mm,Preto,NA
951, Caixa De Som Portátil Bluetooth Display Led Usb Fm Sd Card ,73,NA,15,985,12x,7.07,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,5,1,https://perfil.mercadolivre.com.br/TAENHTEETGALK,https://produto.mercadolivre.com.br/MLB-1261708177-caixa-de-som-portatil-bluetooth-display-led-usb-fm-sd-card-_JM,1,0,0,0,0,#1261708177,X Zhang,XZ-001S,10 W,Mini tweeter,NA,NA,NA,NA,NA,Caixa,todos,NA,NA,NA,USB,NA,NA,NA,NA,NA,800 g
952," Caixa Multiuso Amplificada 100w Rms Bluetooth,usb+sd+fm ",349,NA,16,8,12x,29.08,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.7,3,https://perfil.mercadolivre.com.br/AGFPARTS,https://produto.mercadolivre.com.br/MLB-921299857-caixa-multiuso-amplificada-100w-rms-bluetoothusbsdfm-_JM,2,1,0,0,0,#921299857,Music Way,Mw100Bt,0 W,Ativo,NA,NA,Ambientes,NA,NA,Caixa,NA,Caixa,NA,NA,USB,NA,42 cm,17 cm,32 cm,NA,5.5 kg
953, Caixinha Som Portatil Amplificada Bluetooth Sd Usb Vc-m874bt ,171,NA,57,2,12x,14.33,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.5,162,https://perfil.mercadolivre.com.br/APOLUM_INFO,https://produto.mercadolivre.com.br/MLB-851505653-caixinha-som-portatil-amplificada-bluetooth-sd-usb-vc-m874bt-_JM,118,23,9,8,4,#851505653,Infokit,VC-M874BT,12 W,Ativo,108 MHz,88 MHz,Caixa de Som Bluetooth,NA,NA,-1,De piso,Torre,Estéreo,2,USB,36 dB,NA,NA,NA,NA,NA
954, Caixa De Som Ativa Af 8 Bluetooth Usb Sd Fm 100wrms Datrel ,510,NA,8,8,12x,42.50,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.6,167,https://perfil.mercadolivre.com.br/BETEL+ELETR%C3%94NICA,https://produto.mercadolivre.com.br/MLB-1105472167-caixa-de-som-ativa-af-8-bluetooth-usb-sd-fm-100wrms-datrel-_JM,114,40,9,3,1,#1105472167,Datrel,AT 8.100 bluetooth,100 W,Woofer,20 kHz,20 Hz,NA,NA,NA,NA,"Parede, EVENTOS, FESTAS, AREA, LAZER, CASA, TV",Caixa,NA,1,RCA,NA,40 cm,28 cm,28 cm,NA,9 kg
955, Mini Caixa Portátil Bluetooth Usb Rádio Micro Sd 5wats Q3 Nf ,48,NA,65,199,6x,9.06,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,5,1,https://perfil.mercadolivre.com.br/CONCEPT+VIRTUAL,https://produto.mercadolivre.com.br/MLB-932959214-mini-caixa-portatil-bluetooth-usb-radio-micro-sd-5wats-q3-nf-_JM,1,0,0,0,0,#932959214,P Importados,Case,20 W,NA,NA,NA,NA,NA,NA,Woofer,Portatil,Caixa,7.1,NA,"USB/Micro sd, P2",NA,NA,NA,NA,NA,0.457 kg
956, Caixa Som Bluetooth Caixinha Usb Sd Rádio - Kit Atacado 4 Un ,139,NA,164,4,12x,13.33,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,3.8,8,https://perfil.mercadolivre.com.br/ACME+ELETRONICOS,https://produto.mercadolivre.com.br/MLB-1071317488-caixa-som-bluetooth-caixinha-usb-sd-radio-kit-atacado-4-un-_JM,3,2,2,0,1,#1071317488,Grasep,BH1064,6 W,Ativo/Passivo,22 kHz,120 Hz,NA,BH1064,DC5V,Woofer,mesa,Caixa,2.1,1,USB,NA,NA,NA,NA,NA,NA
