search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca da Capa,Marca de Celular,Modelo de Celular,Modelo da Capa,Tipo de capa,Material
754, Capinha Textura De Couro Lovebay iPhone 6 6s 7 8 Plus ,39,NA,"
			
				Novo
			
			
				
					 - 
				
				4
				vendidos
			
		",(93 disponíveis),"
	
		
			
		

		6x 
		
			
				R$ 660

			 sem juros
			
		
	


	
		",60,Envio para todo o país,NA,Devolução grátis,Você tem 10 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/EXTREME.DEAL,https://produto.mercadolivre.com.br/MLB-689342888-capinha-capa-case-iphone-8-plus-floral-glitter-diamante-3d-_JM,NA,NA,NA,NA,NA,#689342888,extreme.deal,Apple,iPhone 7 Plus,Acrilico,Acrilico,Silicone
755, Capinha Carregadora Para iPhone 7 / 7s Original - Sem Juros ,32,NA,"
			
				Novo
			
			
				
					 - 
				
				1
				vendido
			
		",(198 disponíveis),"
	
		
			
		

		6x 
		
			
				R$ 548

			 sem juros
			
		
	


	
		",48,Envio para todo o país,NA,Devolução grátis,Você tem 10 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/FAVA+STORE,https://produto.mercadolivre.com.br/MLB-1082882329-capinha-textura-de-couro-lovebay-iphone-6-6s-7-8-plus-_JM?searchVariation=26442019328,NA,NA,NA,NA,NA,#1082882329,Lovebay,Apple,iPhone,NA,NA,TPU/Policarbonato
756, Capinha Melancia Com Nome iPhone 8 Plus ,159,NA,"
			
				Novo
			
			
		",(5000 disponíveis),"
	
		
			
		

		12x 
		
			
				R$ 1332

			 sem juros
			
		
	


	
		",32,NA,Frete grátis,Devolução grátis,Você tem 10 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/CYRAAX+STORE,https://produto.mercadolivre.com.br/MLB-1171139183-capinha-carregadora-para-iphone-7-7s-original-sem-juros-_JM,NA,NA,NA,NA,NA,#1171139183,Baseus,Apple,iPhone 7 / iPhone 8,Ample Baseus,Carregadora,Emborrachada
757," Capa Capinha Case Cristal Iphone 8 (4,7) + Película De Vidro ",22,NA,"
			
				Novo
			
			
		",(2000 disponíveis),"
	
		
			
		

		4x 
		
			
				R$ 572

			 sem juros
			
		
	


	
		",72,Envio para todo o país,NA,Devolução grátis,Você tem 10 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/NOVALOJALUCASES,https://produto.mercadolivre.com.br/MLB-1168366750-capinha-melancia-com-nome-iphone-8-plus-_JM,NA,NA,NA,NA,NA,#1168366750,Lucases,Apple,Iphone,iPhone 8 Plus,Personalizada,Silicone
758, Capa Capinha Case Carteira Iphone 8 Plus (5.5) + Pelicula ,69,NA,"
			
				Novo
			
			
				
					 - 
				
				3
				vendidos
			
		",(17 disponíveis),"
	
		
			
		

		12x 
		
			
				R$ 669

			 sem juros
			
		
	


	
		",69,NA,Frete grátis,Devolução grátis,Você tem 10 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/LOJA_4_REIS,https://produto.mercadolivre.com.br/MLB-935036586-capa-capinha-case-cristal-iphone-8-47-pelicula-de-vidro-_JM,NA,NA,NA,NA,NA,#935036586,H'maston,Apple,iPhone 8 e iPhone 8 Plus,TPU / SILICONE,TPU / SILICONE,Silicone
759, Capinha Colors Aveludada Tpu iPhone 7 Tela 4.7 iPhone 8 ,64,NA,"
			
				Novo
			
			
				
					 - 
				
				6
				vendidos
			
		",(18 disponíveis),"
	
		
			
		

		12x 
		
			
				R$ 621

			 sem juros
			
		
	


	
		",21,NA,Frete grátis,Devolução grátis,Você tem 10 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/LOJA_4_REIS,https://produto.mercadolivre.com.br/MLB-944935594-capa-capinha-case-carteira-iphone-8-plus-55-pelicula-_JM,NA,NA,NA,NA,NA,#944935594,H'maston,Apple,iPhone 7 Plus,Capa Carteira,Capa Carteira,Couro
760, Capinha Original Celular iPhone 8 Plus + Película 5d ,29,NA,"
			
				Novo
			
			
				
					 - 
				
				2
				vendidos
			
		",(3 disponíveis),"
	
		
			
		

		5x 
		
			
				R$ 600

			 sem juros
			
		
	


	
		",00,Envio para todo o país,NA,Devolução grátis,Você tem 10 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/DV+ACESSORIOS,https://produto.mercadolivre.com.br/MLB-919030826-capinha-colors-aveludada-tpu-iphone-7-tela-47-iphone-8-_JM,NA,NA,NA,NA,NA,#919030826,Outros,IMPORTADA,IPHONE 7 8,Tpu aveludada,ANTISCHOCK,Silicone
761, Capinha Capa Case iPhone 7 8 Flor Rosa Brilhante Glitter ,47,NA,"
			
				Novo
			
			
				
					 - 
				
				2
				vendidos
			
		",(98 disponíveis),"
	
		
			
		

		6x 
		
			
				R$ 783

			 sem juros
			
		
	


	
		",83,Envio para todo o país,NA,Devolução grátis,Você tem 10 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/CASESEACESSORIOSIL,https://produto.mercadolivre.com.br/MLB-1171505027-capinha-original-celular-iphone-8-plus-pelicula-5d-_JM,NA,NA,NA,NA,NA,#1171505027,Apple,Apple,Iphone,Iphone,Celular,Silicone
762, Capinha Iphone X Iphone 10 7 8 Plus Couro Original Usams ,28,NA,"
			
				Novo
			
			
				
					 - 
				
				1
				vendido
			
		",(95 disponíveis),"
	
		
			
		

		5x 
		
			
				R$ 572

			 sem juros
			
		
	


	
		",72,Envio para todo o país,NA,Devolução grátis,Você tem 10 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/EXTREME.DEAL,https://produto.mercadolivre.com.br/MLB-831855827-capinha-capa-case-iphone-7-8-flor-rosa-brilhante-glitter-_JM,NA,NA,NA,NA,NA,#831855827,extreme.deal,Apple,iPhone 7 iPhone 8,silicone,Silicone,Silicone
763, Capa São Bento Case De Madeira Para Celular iPhone 8 Capinha ,69,NA,"
			
				Novo
			
			
				
					 - 
				
				7
				vendidos
			
		",(297 disponíveis),"
	
		
			
		

		12x 
		
			
				R$ 582

			 sem juros
			
		
	


	
		",82,Envio para todo o país,NA,Devolução grátis,Você tem 10 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/FAVA+STORE,https://produto.mercadolivre.com.br/MLB-955523864-capinha-iphone-x-iphone-10-7-8-plus-couro-original-usams-_JM?searchVariation=23622532333,NA,NA,NA,NA,NA,#955523864,Usams,Apple,iPhone X / iPhone 10,Usams,Case,Couro
764, Capinha Carteira 8 Cartoes Com Foto iPhone 8 ,120,NA,"
			
				Novo
			
			
		",(6 disponíveis),"
	
		
			
		

		12x 
		
			
				R$ 1000

			 sem juros
			
		
	


	
		",00,NA,Frete grátis,Devolução grátis,Você tem 10 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/FEDERAL.TIME,https://produto.mercadolivre.com.br/MLB-1149372173-capa-so-bento-case-de-madeira-para-celular-iphone-8-capinha-_JM,NA,NA,NA,NA,NA,#1149372173,Federal Time,Apple,iPhone 8,São Bento,Case Wood,Madeira
765, Capa Capinha Case Celular Palmeiras - iPhone 8 ,79,NA,"
			
				Novo
			
			
		",(999 disponíveis),"
	
		
			
		

		12x 
		
			
				R$ 666

			 sem juros
			
		
	


	
		",66,Envio para todo o país,NA,NA,NA,NA,NA,https://perfil.mercadolivre.com.br/LOJA+CELLWAY,https://produto.mercadolivre.com.br/MLB-1170883177-capinha-carteira-8-cartoes-com-foto-iphone-8-_JM,NA,NA,NA,NA,NA,#1170883177,CELLWAY,Apple,IPHONE 8,CAPA CARTEIRA COM FOTO,Carteira,SINTÉTICO
766, Capinha Auto Focus iPhone 6 6s 7 8 E Plus - Frete Grátis ,31,NA,"
			
				Novo
			
			
				
					 - 
				
				3
				vendidos
			
		",(2987 disponíveis),"
	
		
			
		

		6x 
		
			
				R$ 581

			 sem juros
			
		
	


	
		",81,Envio para todo o país,NA,NA,NA,NA,NA,https://perfil.mercadolivre.com.br/ABC+CASES,https://produto.mercadolivre.com.br/MLB-936603699-capa-capinha-case-celular-palmeiras-iphone-8-_JM,NA,NA,NA,NA,NA,#936603699,Fanatic Store,Apple,iPhone 8,iPhone 8,capinha,Emborrachada
767, Case Capa Capinha Séries iPhone 5 5s 5c Se 6 6s 7 8 7 Plus X ,74,NA,"
			
				Novo
			
			
				
					 - 
				
				5
				vendidos
			
		",(594 disponíveis),"
	
		
			
		

		12x 
		
			
				R$ 716

			 sem juros
			
		
	


	
		",16,NA,Frete grátis,Devolução grátis,Você tem 10 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/L%C3%8DDER+STORE,https://produto.mercadolivre.com.br/MLB-959916319-capinha-auto-focus-iphone-6-6s-7-8-e-plus-frete-gratis-_JM?searchVariation=19493487317,NA,NA,NA,NA,NA,#959916319,Auto Focus,Apple,iPhone,NA,NA,Silicone
768, Capinha Com Nome Amor Rosa Iphone 8 Plus ,19,NA,"
			
				Novo
			
			
				
					 - 
				
				2
				vendidos
			
		",(9999 disponíveis),"
	
		
			
		

		4x 
		
			
				R$ 540

			 sem juros
			
		
	


	
		",40,Envio para todo o país,NA,NA,NA,NA,NA,https://perfil.mercadolivre.com.br/L.AELETRONICOS,https://produto.mercadolivre.com.br/MLB-772389129-case-capa-capinha-series-iphone-5-5s-5c-se-6-6s-7-8-7-plus-x-_JM,NA,NA,NA,NA,NA,#772389129,Samsung,Apple,Iphone 8,Motorola,Silicone Tpu,Emborrachada
769, Capinha Capa Case iPhone 8 Frente Verso 360 Com Película ,29,NA,"
			
				Novo
			
			
		",(33966 disponíveis),"
	
		
			
		

		5x 
		
			
				R$ 598

			 sem juros
			
		
	


	
		",98,Envio para todo o país,NA,NA,NA,NA,NA,https://perfil.mercadolivre.com.br/LOJA+CELLWAY,https://produto.mercadolivre.com.br/MLB-1089536608-capinha-com-nome-amor-rosa-iphone-8-plus-_JM,NA,NA,NA,NA,NA,#1089536608,CELLWAY,Apple,IPHONE 8 PLUS,AMOR ROSA,FLEXIVEL,Silicone
770, Capinha iPhone 8 / 8 Plus ,34,NA,"
			
				Novo
			
			
				
					 - 
				
				58
				vendidos
			
		",(1 disponíveis),"
	
		
			
		

		6x 
		
			
				R$ 582

			 sem juros
			
		
	


	
		",82,Envio para todo o país,NA,Devolução grátis,Você tem 10 dias a partir do recebimento,5.0,1,https://perfil.mercadolivre.com.br/CAPINHASMARTPHONE,https://produto.mercadolivre.com.br/MLB-904849868-capinha-capa-case-iphone-8-frente-verso-360-com-pelicula-_JM,NA,NA,NA,NA,NA,#904849868,Apple,Apple,Iphone 8,360 frente e verso,360° - Policarbonato,Silicone
771, Capinha Mickey Mouse Disney Tom E Jerry - iPhone 8 8 Plus ,29,NA,"
			
				Novo
			
			
				
					 - 
				
				2
				vendidos
			
		",(100 disponíveis),"
	
		
			
		

		5x 
		
			
				R$ 600

			 sem juros
			
		
	


	
		",00,Envio para todo o país,NA,Devolução grátis,Você tem 10 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/CASESEACESSORIOSIL,https://produto.mercadolivre.com.br/MLB-1176772098-capinha-iphone-8-8-plus-_JM,NA,NA,NA,NA,NA,#1176772098,Apple,iPhone,iPhone 8 / 8 Plus,Case,silicone,silicone aveludada
772, Capinha Anti Queda Silicone Resistent iPhone Xs 7 8 Plus Xr ,33,NA,"
			
				Novo
			
			
				
					 - 
				
				2
				vendidos
			
		",(98 disponíveis),"
	
		
			
		

		6x 
		
			
				R$ 625

			 sem juros
			
		
	


	
		",25,Envio para todo o país,NA,Devolução grátis,Você tem 10 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/JEBR8016912,https://produto.mercadolivre.com.br/MLB-1115223266-capinha-mickey-mouse-disney-tom-e-jerry-iphone-8-8-plus-_JM,NA,NA,NA,NA,NA,#1115223266,Capinha 2D Sublimação,Apple,Variados,Case,2D,TPU/Policarbonato
773, Capinha Flip Cover Couro Original Mofi iPhone 7 8 Plus X 10 ,26,NA,"
			
				Novo
			
			
				
					 - 
				
				1
				vendido
			
		",(250 disponíveis),"
	
		
			
		

		5x 
		
			
				R$ 578

			 sem juros
			
		
	


	
		",78,Envio para todo o país,NA,Devolução grátis,Você tem 10 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/SHOPVENDAS19,https://produto.mercadolivre.com.br/MLB-1157072183-capinha-anti-queda-silicone-resistent-iphone-xs-7-8-plus-xr-_JM?searchVariation=31302176669,NA,NA,NA,NA,NA,#1157072183,Importado,importado,iPhone 7 8 X XR XS XS Max,Anti Impacto,Anti Shock,Silicone
774, Capinha iPhone 6 6s 7 8 X Plus Espelho Cartão Maquiagem ,65,NA,"
			
				Novo
			
			
				
					 - 
				
				3
				vendidos
			
		",(296 disponíveis),"
	
		
			
		

		12x 
		
			
				R$ 549

			 sem juros
			
		
	


	
		",49,Envio para todo o país,NA,Devolução grátis,Você tem 10 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/L%C3%8DDER+STORE,https://produto.mercadolivre.com.br/MLB-1077985269-capinha-flip-cover-couro-original-mofi-iphone-7-8-plus-x-10-_JM?searchVariation=26173614516,NA,NA,NA,NA,NA,#1077985269,Mofi,Apple,iPhone,Vintage Classical,Flip Cover,Couro
775, Capinha Para iPhone 8 ,69,NA,"
			
				Novo
			
			
				
					 - 
				
				1
				vendido
			
		",(297 disponíveis),"
	
		
			
		

		12x 
		
			
				R$ 668

			 sem juros
			
		
	


	
		",68,NA,Frete grátis,Devolução grátis,Você tem 10 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/L%C3%8DDER+STORE,https://produto.mercadolivre.com.br/MLB-1153100871-capinha-iphone-6-6s-7-8-x-plus-espelho-carto-maquiagem-_JM?searchVariation=31039037696,NA,NA,NA,NA,NA,#1153100871,HA,Apple,iPhone,Espelho/Cartão,Espelho/Cartão,TPU/Policarbonato
776, Case Capinha Anti Impacto iPhone 5 5s Se 6 6s 7 8 Plus ,30,NA,"
			
				Novo
			
			
				
					 - 
				
				2
				vendidos
			
		",(98 disponíveis),"
	
		
			
		

		6x 
		
			
				R$ 500

			 sem juros
			
		
	


	
		",00,Envio para todo o país,NA,Devolução grátis,Você tem 10 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/CASESEACESSORIOSIL,https://produto.mercadolivre.com.br/MLB-1176761849-capinha-para-iphone-8-_JM,NA,NA,NA,NA,NA,#1176761849,NA,NA,NA,NA,NA,NA
777, Capa Capinha Iphone 8 Plus / 7 Plus Caseology Coastline Case ,69,NA,"
			
				Novo
			
			
				
					 - 
				
				3
				vendidos
			
		",(495 disponíveis),"
	
		
			
		

		12x 
		
			
				R$ 668

			 sem juros
			
		
	


	
		",68,NA,Frete grátis,Devolução grátis,Você tem 10 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/L%C3%8DDER+STORE,https://produto.mercadolivre.com.br/MLB-971259443-case-capinha-anti-impacto-iphone-5-5s-se-6-6s-7-8-plus-_JM?searchVariation=21797784047,NA,NA,NA,NA,NA,#971259443,NA,Apple,iPhone,Fibra Carbono,Anti-impacto,Silicone
778, Capinha Chuva De Corações Com Nome Para iPhone 8 Plus ,149,NA,"
			
				Novo
			
			
				
					 - 
				
				1
				vendido
			
		",(9 disponíveis),"
	
		
			
		

		12x 
		
			
				R$ 1250

			 sem juros
			
		
	


	
		",50,NA,Frete grátis,Devolução grátis,Você tem 10 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/STORECASE-BR,https://produto.mercadolivre.com.br/MLB-942375610-capa-capinha-iphone-8-plus-7-plus-caseology-coastline-case-_JM,NA,NA,NA,NA,NA,#942375610,Caseology,Apple,Iphone 8 Plus / 7 Plus,Coastline,NA,TPU/Policarbonato
779, Capinha iPhone 6 6s 7 7 Plus 8 8 Plus X Xs Couro Ultra Fina ,29,NA,"
			
				Novo
			
			
				
					 - 
				
				2
				vendidos
			
		",(594 disponíveis),"
	
		
			
		

		5x 
		
			
				R$ 598

			 sem juros
			
		
	


	
		",98,Envio para todo o país,NA,Devolução grátis,Você tem 10 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/L%C3%8DDER+STORE,https://produto.mercadolivre.com.br/MLB-1213061058-capinha-iphone-6-6s-7-7-plus-8-8-plus-x-xs-couro-ultra-fina-_JM?searchVariation=35433731232,NA,NA,NA,NA,NA,#1213061058,WeiFaJK,Apple,iPhone,NA,NA,Couro
780, Case/ Capinha Gucci Para iPhone 8 ,130,NA,"
			
				Novo
			
			
				
					 - 
				
				12
				vendidos
			
		",(7 disponíveis),"
	
		
			
		

		12x 
		
			
				R$ 1242

			 sem juros
			
		
	


	
		",42,NA,Frete grátis,Devolução grátis,Você tem 10 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/CALLME145,https://produto.mercadolivre.com.br/MLB-848722658-case-capinha-gucci-para-iphone-8-_JM,NA,NA,NA,NA,NA,#848722658,Gucci,Apple,iPhone 7 Plus,Iphone  7 Plus,Iphone 8,Couro
781, Capinha 360 Frente Verso iPhone 6 6s 7 8 Plus Vidro ,76,NA,"
			
				Novo
			
			
		",(198 disponíveis),"
	
		
			
		

		12x 
		
			
				R$ 735

			 sem juros
			
		
	


	
		",35,NA,Frete grátis,Devolução grátis,Você tem 10 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/FAVA+STORE,https://produto.mercadolivre.com.br/MLB-1082882713-capinha-360-frente-verso-iphone-6-6s-7-8-plus-vidro-_JM?searchVariation=26442038758,NA,NA,NA,NA,NA,#1082882713,360 Full,Apple,iPhone,360°,Frente e Verso,TPU/Policarbonato
782, Capinha Case De Silicone Preta iPhone 8 E 7 Lacrada ,39,NA,"
			
				Novo
			
			
				
					 - 
				
				7
				vendidos
			
		",(76554 disponíveis),"
	
		
			
		

		6x 
		
			
				R$ 665

			 sem juros
			
		
	


	
		",65,Envio para todo o país,NA,Devolução grátis,Você tem 10 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/IREXACESSORIOS,https://produto.mercadolivre.com.br/MLB-980221111-capinha-case-de-silicone-preta-iphone-8-e-7-lacrada-_JM,NA,NA,NA,NA,NA,#980221111,Silicone,Apple,Iphone 8 e 7,Silicone,Silicone,Silicone
783, Case Iphone 6/6s/7/8/x Folhas Rosa Luxo 2019 Capinha Moda ,24,NA,"
			
				Novo
			
			
		",(1 disponíveis),"
	
		
			
		

		5x 
		
			
				R$ 545

			 sem juros
			
		
	


	
		",45,Envio para todo o país,NA,Devolução grátis,Você tem 10 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/KSHPZ,https://produto.mercadolivre.com.br/MLB-1147452821-case-iphone-66s78x-folhas-rosa-luxo-2019-capinha-moda-_JM?searchVariation=30669251348,NA,NA,NA,NA,NA,#1147452821,NA,Apple,iphone 6/6s/7/8/X,Folhas,NA,Hard Case
784, Capinha Couro Ultra Fina iPhone 6 6s 7 7 Plus 8 8 Plus X Xs ,69,NA,"
			
				Novo
			
			
				
					 - 
				
				1
				vendido
			
		",(594 disponíveis),"
	
		
			
		

		12x 
		
			
				R$ 582

			 sem juros
			
		
	


	
		",82,NA,Frete grátis,Devolução grátis,Você tem 10 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/L%C3%8DDER+STORE,https://produto.mercadolivre.com.br/MLB-1213057947-capinha-couro-ultra-fina-iphone-6-6s-7-7-plus-8-8-plus-x-xs-_JM?searchVariation=35433521525,NA,NA,NA,NA,NA,#1213057947,WeiFaJK,Apple,iPhone,NA,NA,Couro
785, Capinha Capa Justiceiro Iphone 8 X 8 Plus ,39,NA,"
			
				Novo
			
			
		",(1010 disponíveis),"
	
		
			
		

		6x 
		
			
				R$ 662

			 sem juros
			
		
	


	
		",62,Envio para todo o país,NA,Devolução grátis,Você tem 10 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/NOVALOJALUCASES,https://produto.mercadolivre.com.br/MLB-1070918572-capinha-capa-justiceiro-iphone-8-x-8-plus-_JM,NA,NA,NA,NA,NA,#1070918572,Lucases,Apple,Iphone,Iphone 8 X 8 Plus,Personalizada,Silicone
786, Capa Capinha Case Living Glitter Rose iPhone 8 Plus 8 Plus ,14,NA,"
			
				Novo
			
			
				
					 - 
				
				13
				vendidos
			
		",(7 disponíveis),"
	
		
			
		

		2x 
		
			
				R$ 745

			 sem juros
			
		
	


	
		",45,Envio para todo o país,NA,Devolução grátis,Você tem 10 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/BARRETTOMEGASTORE,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=3YMr7Rg4osEfSJbeUwQuVUDru1c8rbILqkQkwxqi5%2FUQiR4vitBkozS4vgka3IIuQ5uodZ9n2tV34pikVXzu6ns2vBL3kHNHtMYaFZ1z2j5PRwh%2BfWrmJUbtM5tFKD2FO97%2BvsC497j6KfPTypEKaAqdJ0xjnRsddswYRiaLcfu43VoRZnbzeztwyEYRjWQ2uL%2FjifwA%2F7dWcxbkP193X7D9w3tC%2FUfKTodVWVob7UlMqD%2FgCVakJSA8F8tJ9ba2Pckrna6G%2FWe%2FKw6XoOL0pLyekFyoeNRALnDYizYRN4CIzjiu6hz%2FEsSqejfGI1tLqD2TN1Izkp6YW8tIJVnSKtYb6rZaMyJhv4%2FfjiMqQ069%2Fhx5anrkhgIZgV4N6aaRuqLQItYe0KTCvJUixfKKw%2Bw2A8T4GkT6RZF2lhQOcLVoIczR2jZexqaMkIMv12sdfnC7Cx795g1oskIbs4tH4n8K%2Fw%2FVqIoTcRPdG8jtp7x6%2BdBA0pb%2BMUN1yAIoIhGstOSviOW0sqLPUtmTXjytCR%2BII5HwYaXaKQSqgxNYwVT%2B8GigFvqm1reSdK%2FZd%2FxTjgZWkfnSV51ILMG7BgVDcstQinoaUdFRLfVel15goTp%2F1VL6X3W0c2%2B0o5bJKH6tPc7UopoWjGA7bEchmlztqTlw6Z2yl57aKxMvYJAa6HQRGBGEkkTJg53E0EbFhxLCpXUgWUBIETNl8PPFGeyMjNSA9ArcVP1Dhh8i%2BNKyHFX40e06xt6Xq%2F1DouZpYeEO2rwJYpQLeM2AsfSGHyoauNiPYGlyD%2BeJfnOhiOaRGba0esKFT9j29fRPTAU6i9FTlHLMYyWETV3qXkTa8%2B1RPVyihRrz0D1RSaTHj4fpMjN2ofCd1%2BankHMtu0karb7Q8mFvSPfGo4%2Bb%2FSzjAjgptZ2JFIH5621uI6ZMgye30dzmHKtsYzdGcgpy%2B719%2FpqcfkJ4coioCBB%2FgsCW4D3%2FqSrDzpYqQ3DISXVJRoP3K5VGB3LzSVvAIq3lv54drBz7KdOPVJXuWWthuDhQCt0FfyMfhKQFWEQQ%2FrvxeMc2UvK5FwY%2Bj0WMMQQ%2Flw1BwHXB7lx2ajbmBnXEelLZnPQUvSSiL%2Fp9TpIx8JNJ9pZ7Cvt3OacEm%2FSICLU8wrA%2B4XU70%2FP0OEE%2BMTIB5s8U4uZ2zRRXOqAT58lo9TipPF0GJJ28LKbQbHmjdnMr5BNhfX5ohoutfcswb9ZmHij1pC50DMkoCe2lrXRKgamMy0sTJnSmyVOBDlWUZcMrCmGjYTXZ40t1g5MgyRvtnVNwiA4O3kJIQG7CRhgbQXM6PKYB8gtDtpN9E83xNAiIRpczYsXsmAYXY1o3LvJ%2BE%2FE8qkIU4MSODoKiJlQGznbQoTmgGHezHl9pyEcgG2cxs%2F0yKWynHz9HqzxZa3osFemVuaSj9qtT%2F%2FqA7U7ydYXK3vjL5En8RNPt9szHP6zUtREmunpyfT%2FbhLjws1vfEJHoBRAMV6x0lw%3D%3D,NA,NA,NA,NA,NA,#1142483999,Chapolinstore,Apple,7 Plus e 8 Plus,Case Transparente,Ultra Fina,Silicone
787, Capinha iPhone 7 / iPhone 8 Anti Burst Case King Kong Armor ,18,NA,"
			
				Novo
			
			
		",(30 disponíveis),"
	
		
			
		

		3x 
		
			
				R$ 630

			 sem juros
			
		
	


	
		",30,Envio para todo o país,NA,Devolução grátis,Você tem 10 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/LAIMPORTSBRME,https://produto.mercadolivre.com.br/MLB-1249259246-capa-capinha-case-living-glitter-rose-iphone-8-plus-8-plus-_JM,NA,NA,NA,NA,NA,#1249259246,Living,Apple,iPhone 6 Plus 6s Plus,Silk and soft,Soft Slim,TPU/Policarbonato
788, Capinha Capa Case Silicone Tpu iPhone 7 Pepita De Ouro Gold ,44,NA,"
			
				Novo
			
			
				
					 - 
				
				2
				vendidos
			
		",(18 disponíveis),"
	
		
			
		

		6x 
		
			
				R$ 733

			 sem juros
			
		
	


	
		",33,Envio para todo o país,NA,Devolução grátis,Você tem 10 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/GCMIMPORTADOS,https://produto.mercadolivre.com.br/MLB-1016933464-capinha-iphone-7-iphone-8-anti-burst-case-king-kong-armor-_JM,NA,NA,NA,NA,NA,#1016933464,Armor Professional Protection,Apple,Iphone 7 / Iphone 8,King Kong Armor,Anti Impacto,Acrílico + Silicone
789, Capinha Capa Case Silicone Tpu iPhone 7 Fume Preta Premium ,39,NA,"
			
				Novo
			
			
				
					 - 
				
				5
				vendidos
			
		",(95 disponíveis),"
	
		
			
		

		6x 
		
			
				R$ 660

			 sem juros
			
		
	


	
		",60,Envio para todo o país,NA,Devolução grátis,Você tem 10 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/EXTREME.DEAL,https://produto.mercadolivre.com.br/MLB-718579499-capinha-capa-case-silicone-tpu-iphone-7-pepita-de-ouro-gold-_JM,NA,NA,NA,NA,NA,#718579499,extreme.deal,Apple,iPhone 7 ou iPhone 8,Silicone,Silicone,Silicone
790, Capinha Flip Fechada Original Mofi iPhone 6 6s 7 8 Plus ,14,NA,"
			
				Novo
			
			
				
					 - 
				
				4
				vendidos
			
		",(100 disponíveis),"
	
		
			
		

		2x 
		
			
				R$ 742

			 sem juros
			
		
	


	
		",42,Envio para todo o país,NA,Devolução grátis,Você tem 10 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/EXTREME.DEAL,https://produto.mercadolivre.com.br/MLB-804035142-capinha-capa-case-silicone-tpu-iphone-7-fume-preta-premium-_JM,NA,NA,NA,NA,NA,#804035142,Extreme.deal,Apple,iPhone 7 ou iPhone 8,Silicone,Silicone,Silicone
791, Capa Case Capinha iPhone 7 iPhone 8 Mickey Carinha Luxo ,120,NA,"
			
				Novo
			
			
		",(396 disponíveis),"
	
		
			
		

		12x 
		
			
				R$ 1147

			 sem juros
			
		
	


	
		",47,NA,Frete grátis,Devolução grátis,Você tem 10 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/L%C3%8DDER+STORE,https://produto.mercadolivre.com.br/MLB-983547503-capinha-flip-fechada-original-mofi-iphone-6-6s-7-8-plus-_JM?searchVariation=31278558631,NA,NA,NA,NA,NA,#983547503,Mofi,Apple,iPhone,Flip Cover,Flip Cover,Silicone
