search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Modelo,Potência de saída (RMS),Tipos de filtros do alto-falante,Formato do alto-falante,Largura,Profundidade,Altura,Voltagem,Tipos de alto-falante,Lugares de colocação,Configuração de canais,Conectores de entrada,Linha,Quantidade de alto-falantes,Sensibilidade de entrada,Cor,Resposta máxima em frequência,Resposta mínima em frequência,Peso
1290, Mini Caixa De Som Á Prova D'água Bluetooth Piscina Banho Mp3 ,29,NA,"
			
				Novo
			
			
				
					 - 
				
				22
				vendidos
			
		",(9977 disponíveis),"
	
		
			
		
		5x 
		
			
				R$ 635
		
		 sem juros
		
	

	
		",35,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/MEGGACENTERSHOP,https://produto.mercadolivre.com.br/MLB-777662318-mini-caixa-de-som-a-prova-dagua-bluetooth-piscina-banho-mp3-_JM,NA,NA,NA,NA,NA,#777662318,Edge,Bluetooth,5 W,NA,Redondo,NA,NA,NA,NA,NA,Portatil,NA,NA,NA,NA,80 dB,NA,NA,NA,NA
1291, Micro System Bluetooth 50w Potencia Knup Kp--6026bh ,309,NA,"
			
				Novo
			
			
		",(10 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 2963
		
		 sem juros
		
	

	
		",63,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/MEGA2019,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=PWEMMKnJXfqTU7a%2FqWLm4SiBB8tBffDEVZkUYf1eiy2oBh5aA6PxKtYivsmZftiKW%2Ftt8DH62f251ZAFoJCSezcTW%2BjF6m1G85lPiK419fwbODHx2soGYFFwP5Jr6cVN0dVPuDHiTBF%2F%2BBWc%2FmRo0AvGpRJoNtqMbpDzfGroN5gsPJtcqtkkdCgSu9oEUImrNs5JtgyzPxdN9SbFeeAt1vBkl3Kmy1uK5hTLEPDVIJQObcPEAX0TlMAE3iIZWectwsQ2pQ8EA0Dqn%2BmEtmUgxcxLCG7yHo%2FkY5mXiGPS4%2BxwR7jGD6UImiaD6mTpWW6EuUfRMpDebURbRnT8N1sR%2BEV70EhjgignZv5o93AVfIZXX%2FZlCV2akXKpxX2gGIRZgshgmJSeCSaZ1r5RuFDtvkm1Wdmzmc7L8anUzABh%2FK8NknwTFNoEwgrb2uZbTIl%2B9QHjs3xeqsGTEdRIkrLgZp7kJhIqSel86xeUqhTLDOUZk9owJeKwIRbDoPMOI1iyWd%2FJ2WSvAjGhFucNlH1sts531Fa8uVrNrIH52Af4%2B3C%2FUhJs3Q7GEW7w%2B6GnAWkBs%2F5d%2BFTgUtw1IlD3jIF3Sj0nYcKrpmWBTO3kTvWQTMnx6oqPqaNGpP1vygbYjr5fEE3aYsIVeZniYtBOApy48zfmZUJqxL7bpKqeu%2BLn9zz7Jqf%2FT9rUf2nezYLGuuXbAQ5qIStpvshetZVbWapFxui%2B2t40ik4t%2BQP3DJvcFQaLJXVOjkqesMBJadAR4wbNgKlJbRNMfurg2Tmkuw7n2f9E3ymLDchkJAntC0QpLQGyts%2FXNPZLkAiVYc9TKWRoKkKz5VVY%2F1Wq8puNSy%2B2owTXquaHp2awsBhfHbaS%2BQlL3YapHvlyU3upU2MLzZAZynSSH01N4ov3hta1J9jwEqU7jPtiIWAOynbWVj4V%2F87VRCFhDrd7DjXdGFiqBWPkxGSwMZrIuOKk9waWtoVaOK%2FzuXMEYCih%2B8il8Dx5G1nsv%2FTwSI7R3RsilmQM90daKwC%2FMr%2FfXZ7MmMXzCv0qzmuDaj0OgoMOlyB8WpzqdPUi1bd18kmNOC8Sh9vAKOyg1rKNRClufmAvA1MzPKElxjx%2Bqu4T3TVSkZC5aPhfy0SUt8QZN1x4RQqYwIVZqL6y7pHlgqSyIE5UCwctV3Gd3uXjpFtOt9Jl0ODC0RGoquc6uN6LuTatV%2FRhNdTEE9ZXWxc74IU5avVDn16TArosRJQgfDiWFg5cDPt49UJJiZEHEbJEtBISESie1GoEhuiG7mLn3a68UxsnA45mS4eD%2FhKQK7S4fco232X0tMLp6i%2BMeIMs72JQ4Ps0kMkdDteUX5LzCjWmsHXNNCeiWe0DwSGShoJJIV4Nn1%2FW3O9MjsQOFNH5pRWrGfsLNUn%2BWlpy9t7GLFYaUmASgOh2%2BR%2B%2FZRBCPtyHb18AEB8fD6o13aQ3dDVhYlqIRFnLUuzMJbQA6nRGWXBqinkL3KjzwCv1t336HvmzJr1P3IUni9h5fnBrHGnlsE9VY1dFMgj5EgAyhKFHgNB47CqL18A7Yg%2B8lRlANLA1Qt%2F275u%2Fa82i6AXHMyCoWrylbFjUCxhHN3z%2BJZbmj3xlw6ove33idvo4ImS%2Fx0JRSed4KnWT8rngN7Gs47xRaN9kcNF2eP1m3iljsMYccoaeoVWx%2Bya0BxqiJMgkKn%2Bto152cavqUZPjy9R1kJCmCPiO9gnrAtWYbt7Lqm%2BXn9reMhNDf8oW6ZujmzkMBEoBdYYsy85xkz9Z%2Blf7ZTQQT5iI2WC1wiwI%2BQ7Jo3Pce1r3wkRRkcKlQL59Tu2ocF2ybGxBxHbFEjJN25%2F0deMPiRf8sYZ9qh7wW%2FzSkFkQcatlKI5ddg2QGwWTRBY7FwE2A%2B35hVHP82YHQAfFJvvZtMUakbU%3D,NA,NA,NA,NA,NA,#1277878259,Knup,KP-6026,50 W,Ativo,Caixa,NA,NA,NA,NA,CAIXA,PRAIA CASA,2.1,USB,NA,NA,NA,NA,NA,NA,NA
1292, Caixinha Som Bluetooth Portátil De 12w Rms Vc-m874bt Melhor ,171,NA,"
			
				Novo
			
			
				
					 - 
				
				7
				vendidos
			
		",(8 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1433
		
		 sem juros
		
	

	
		",33,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.5,160,https://perfil.mercadolivre.com.br/APOLUM_INFO,https://produto.mercadolivre.com.br/MLB-1124792925-caixinha-som-bluetooth-portatil-de-12w-rms-vc-m874bt-melhor-_JM,117,23,9,8,3,#1124792925,Infokit,VC-M874BT,12 W,Ativo,Torre,NA,NA,NA,NA,-1,De piso,Estéreo,USB,Caixa de Som Bluetooth,2,36 dB,NA,108 MHz,88 MHz,NA
1293, Logitech Ue Megaboom Speaker Bluetooth Azul Promoção ,479,NA,"
			
				Novo
			
			
				
					 - 
				
				48
				vendidos
			
		",(1 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 4578
		
		 sem juros
		
	

	
		",78,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,5.0,3,https://perfil.mercadolivre.com.br/LOJAVISIVO,https://produto.mercadolivre.com.br/MLB-1108554741-logitech-ue-megaboom-speaker-bluetooth-azul-promoco-_JM,3,0,0,0,0,#1108554741,Logitech/UE,MEGABOOM,36 W,NA,NA,NA,NA,22.6 cm,NA,NA,NA,2.0,NA,NA,NA,80 dB,NA,NA,NA,877 g
1294, Caixa De Som Jbl Party Box 300 Usb Charge Bluetooth Preta ,2439,NA,"
			
				Novo
			
			
				
					 - 
				
				1
				vendido
			
		",(4 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 23320
		
		 sem juros
		
	

	
		",20,NA,Entrega a combinar com o vendedor,NA,NA,5.0,2,https://perfil.mercadolivre.com.br/SANBOX-BR,https://produto.mercadolivre.com.br/MLB-1239372206-caixa-de-som-jbl-party-box-300-usb-charge-bluetooth-preta-_JM,NA,NA,NA,NA,NA,#1239372206,JBL,PartyBox 300,120 W,NA,Caixa,NA,NA,NA,110V/220V (Bivolt),NA,De piso,NA,NA,NA,NA,NA,Preto,NA,NA,15.84 kg
1295, Caixa De Som Bluetooth Amplificada 65w Rms Microfone Mp3 Usb ,179,NA,"
			
				Novo
			
			
				
					 - 
				
				5
				vendidos
			
		",(6 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1500
		
		 sem juros
		
	

	
		",00,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.4,98,https://perfil.mercadolivre.com.br/ELETRONICOS+PLAY,https://produto.mercadolivre.com.br/MLB-1255943680-caixa-de-som-bluetooth-amplificada-65w-rms-microfone-mp3-usb-_JM,66,18,5,3,6,#1255943680,Briwax,FBX-105,65 W,Passivo,ATIVO,30 cm,15 cm,NA,NA,ATIVO,"BAR, CASA, LOJAS,",5.1,"Bluetooth, P2, Aux, USB, Micro SD",PORTÁTIL,NA,85 dB,NA,80 Hz,18 Hz,800 g
1296, Caixa De Som Amplificada Dupla Trc388b Bluetooth Usb Fm 500w ,939,NA,"
			
				Novo
			
			
				
					 - 
				
				2
				vendidos
			
		",(2 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 7825
		
		 sem juros
		
	

	
		",25,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/STATUSSOMEGAMES,https://produto.mercadolivre.com.br/MLB-1257691126-caixa-de-som-amplificada-dupla-trc388b-bluetooth-usb-fm-500w-_JM,NA,NA,NA,NA,NA,#1257691126,TRC,388,250 W,Woofer,Caixa,NA,NA,NA,NA,Woofer,De piso,NA,NA,NA,NA,90 dB,NA,NA,NA,NA
1297, Mini Caixa Caixinha Som Portatil Bluetooth Mp3 Fm Sd Usb 309 ,31,NA,"
			
				Novo
			
			
				
					 - 
				
				35
				vendidos
			
		",(50 disponíveis),"
	
		
			
		
		6x 
		
			
				R$ 589
		
		 sem juros
		
	

	
		",89,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.0,1,https://perfil.mercadolivre.com.br/MAGAZINEHELENA,https://produto.mercadolivre.com.br/MLB-919655330-mini-caixa-caixinha-som-portatil-bluetooth-mp3-fm-sd-usb-309-_JM,NA,NA,NA,NA,NA,#919655330,Golden,MS-246,8 W,Papel,Caixa,NA,NA,NA,NA,Redondo,Portátil,Automático,USB,Reader Speaker,1,NA,NA,NA,NA,NA
1298, Caixa De Som Portátil Harman Jbl Go 2 Original Bluetooth ,179,NA,"
			
				Novo
			
			
				
					 - 
				
				26
				vendidos
			
		",(4 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1719
		
		 sem juros
		
	

	
		",19,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.9,1482,https://perfil.mercadolivre.com.br/REDBOX+INFORMATICA,https://produto.mercadolivre.com.br/MLB-798994818-caixa-de-som-portatil-harman-jbl-go-2-original-bluetooth-_JM,1359,98,18,4,3,#798994818,JBL,GO,3 W,Ativo,Caixa,71 mm,31 mm,86 mm,NA,Tweeter,NA,5.1,Auxiliar,NA,1,80 dB,NA,NA,NA,NA
1299, Mini Caixa Caixinha Som Portátil Bluetooth Mp3 Fm Sd Usb Nf ,21,NA,"
			
				Novo
			
			
				
					 - 
				
				7
				vendidos
			
		",(993 disponíveis),"
	
		
			
		
		4x 
		
			
				R$ 588
		
		 sem juros
		
	

	
		",88,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/LEFA+SHOP,https://produto.mercadolivre.com.br/MLB-1216010491-mini-caixa-caixinha-som-portatil-bluetooth-mp3-fm-sd-usb-nf-_JM,NA,NA,NA,NA,NA,#1216010491,lefa,Ws-887,3 W,NA,NA,NA,NA,NA,NA,NA,NA,NA,Auxiliar,NA,NA,NA,NA,NA,NA,NA
1300, Caixa De Som Portátil Jbl Flip4 Conexão Bluetooth À Prova ,474,NA,"
			
			
				
				8
				vendidos
			
		",(198 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 4540
		
		 sem juros
		
	

	
		",40,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.9,2902,https://perfil.mercadolivre.com.br/LOJABELGRADO?brandId=1448,https://produto.mercadolivre.com.br/MLB-1255931438-caixa-de-som-portatil-jbl-flip4-conexo-bluetooth-prova-_JM,2635,188,38,11,30,#1255931438,JBL,Flip 4,16 W,NA,NA,6.6 cm,6.6 cm,17.5 cm,NA,NA,NA,NA, ,Flip Series,NA,80 dB,NA,NA,NA,NA
1301, Kit 10 Caixa De Som Bluetooth Wireless Mp3 Usb Mini Speake ,190,NA,"
			
				Novo
			
			
				
					 - 
				
				12
				vendidos
			
		",(88 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1816
		
		 sem juros
		
	

	
		",16,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/LOJAZAHI,https://produto.mercadolivre.com.br/MLB-1027437652-kit-10-caixa-de-som-bluetooth-wireless-mp3-usb-mini-speake-_JM,NA,NA,NA,NA,NA,#1027437652,Mini Speaker,Caixinha Wireless 887,5 W,NA,Caixa,NA,NA,NA,NA,NA,Portátil,NA,NA,NA,NA,NA,NA,NA,NA,NA
1302, Caixa De Som Jbl Soundgear Bluethooth Sem Fio Original C Nf ,589,NA,"
			
				Novo
			
			
				
					 - 
				
				7
				vendidos
			
		",(8 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 4908
		
		 sem juros
		
	

	
		",08,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,5.0,1,https://perfil.mercadolivre.com.br/CITRON+INSTRUMENTOSMUSICAIS,https://produto.mercadolivre.com.br/MLB-1119664520-caixa-de-som-jbl-soundgear-bluethooth-sem-fio-original-c-nf-_JM,NA,NA,NA,NA,NA,#1119664520,JBL,SoundGear,6 W,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1303, Caixa Caixinha Som Portátil Bluetooth Mp3 Usb Cartão Fm 300w ,30,NA,"
			
				Novo
			
			
				
					 - 
				
				8
				vendidos
			
		",(23 disponíveis),"
	
		
			
		
		6x 
		
			
				R$ 500
		
		 sem juros
		
	

	
		",00,NA,Entrega a combinar com o vendedor,NA,NA,NA,NA,https://perfil.mercadolivre.com.br/SUPER+GIFTS,https://produto.mercadolivre.com.br/MLB-1256699711-caixa-caixinha-som-portatil-bluetooth-mp3-usb-carto-fm-300w-_JM,NA,NA,NA,NA,NA,#1256699711,Altomex,A-6039,5 W,Subwoofer,Redondos,NA,NA,NA,NA,Subwoofer,Portátil,2.1,NA,NA,NA,NA,NA,NA,NA,NA
1304, Caixa Som Bluetooth 6w Rms Amplificada Usb Mp3 Radio Fm Sd ,31,NA,"
			
				Novo
			
			
				
					 - 
				
				12
				vendidos
			
		",(988 disponíveis),"
	
		
			
		
		6x 
		
			
				R$ 583
		
		 sem juros
		
	

	
		",83,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/BAZUSPACE,https://produto.mercadolivre.com.br/MLB-1214522963-caixa-som-bluetooth-6w-rms-amplificada-usb-mp3-radio-fm-sd-_JM,NA,NA,NA,NA,NA,#1214522963,Grasep,D-BH1051,6 W,Caixa,Caixa,10 cm,NA,13.58 cm,NA,Portátil,Casuais,2.1,USB,NA,NA,NA,NA,NA,NA,300 g
1305, Caixa De Som Speaker Google Home Wi-fi ,560,NA,"
			
				Novo
			
			
				
					 - 
				
				19
				vendidos
			
		",(21 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 4667
		
		 sem juros
		
	

	
		",67,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/GSOLD+ELETRO1,https://produto.mercadolivre.com.br/MLB-1285819549-caixa-de-som-speaker-google-home-wi-fi-_JM,NA,NA,NA,NA,NA,#1285819549,Google,Google Home,3 W,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1306, Caixa De Som Harman Kardon Onyx Studio 4 Bluetooth Portátil ,997,NA,"
			
				Novo
			
			
				
					 - 
				
				1
				vendido
			
		",(4 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 8316
		
		 sem juros
		
	

	
		",16,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.9,172,https://perfil.mercadolivre.com.br/SULMART+BR,https://produto.mercadolivre.com.br/MLB-1114751983-caixa-de-som-harman-kardon-onyx-studio-4-bluetooth-portatil-_JM,158,13,1,0,0,#1114751983,Harman Kardon,Onyx Studio 4,60 W,NA,Caixa,NA,NA,NA,NA,NA,Indefinido,NA,NA,NA,NA,NA,NA,NA,NA,NA
1307, Caixa De Som Jbl Bluetooth Flip 4 16w Rms - Flip4 Original ,529,NA,"
			
			
				
				7
				vendidos
			
		",(112 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 4408
		
		 sem juros
		
	

	
		",08,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.9,2902,https://perfil.mercadolivre.com.br/DIRETOCOMVOCE?brandId=1328,https://produto.mercadolivre.com.br/MLB-971719779-caixa-de-som-jbl-bluetooth-flip-4-16w-rms-flip4-original-_JM,2635,188,38,11,30,#971719779,JBL,Flip 4 28910725,16 W,Ativo,NA,NA,NA,NA, ,NA,NA,NA, ,Flip Series,NA,80 dB,NA,NA,NA,0.524 kg
1308, Caixa Som Ultimate Ears Wonderboom 10 W Preta 984-000845 ,438,NA,"
			
			
				
				18
				vendidos
			
		",(15 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 3652
		
		 sem juros
		
	

	
		",52,NA,Envio para todo o país,NA,NA,4.9,12,https://perfil.mercadolivre.com.br/FASTSHOP+OFICIAL?brandId=942,https://produto.mercadolivre.com.br/MLB-914816942-caixa-som-ultimate-ears-wonderboom-10-w-preta-984-000845-_JM,11,1,0,0,0,#914816942,Ultimate Ears,984-000845,NA,Ativo,NA,102 mm,93.5 mm,93.5 mm,NA,NA,NA,NA,NA,NA,NA,80 dB,Preto,NA,NA,NA
1309, 10 Caixa Som Rádio Inova Rad-8114 6w Bt/usb/tf/fm Atacado ,309,NA,"
			
				Novo
			
			
				
					 - 
				
				6
				vendidos
			
		",(98 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 2582
		
		 sem juros
		
	

	
		",82,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/3RICK+ELETRONIC,https://produto.mercadolivre.com.br/MLB-1098487034-10-caixa-som-radio-inova-rad-8114-6w-btusbtffm-atacado-_JM,NA,NA,NA,NA,NA,#1098487034,Inova,RAD-355Z,6 W,Ativo,Caixa,NA,NA,NA,NA,Woofer,De piso,0,NA,NA,NA,NA,NA,NA,NA,NA
1310, Conector Placa Usb Caixa Som Jbl Charge 3 (gg) Azul - Origin ,50,NA,"
			
				Novo
			
			
				
					 - 
				
				7
				vendidos
			
		",(2 disponíveis),"
	
		
			
		
		10x 
		
			
				R$ 500
		
		 sem juros
		
	

	
		",00,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.7,80,https://perfil.mercadolivre.com.br/BSTECNLOGIA,https://produto.mercadolivre.com.br/MLB-1196995386-conector-placa-usb-caixa-som-jbl-charge-3-gg-azul-origin-_JM,67,7,3,0,3,#1196995386,JBL,Charge 3,20 W,Passivo,NA,NA,NA,NA,NA,NA,NA,NA,USB,NA,2,80 dB,NA,20 kHz,65 Hz,NA
1311, Capa Case Nylon Para Jbl Xtreme Bolsa Resistente A Agua ,129,NA,"
			
				Novo
			
			
				
					 - 
				
				57
				vendidos
			
		",(112 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1075
		
		 sem juros
		
	

	
		",75,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.3,1857,https://perfil.mercadolivre.com.br/ESRSHOPS,https://produto.mercadolivre.com.br/MLB-974751416-capa-case-nylon-para-jbl-xtreme-bolsa-resistente-a-agua-_JM,1203,318,172,67,97,#974751416,JBL,Xtreme,40 W,Passivo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,80 dB,NA,20 kHz,70 Hz,NA
1312, Caixa Som Charge 3 Grande Bluetooth Potente 30w Preta ,96,NA,"
			
				Novo
			
			
				
					 - 
				
				9
				vendidos
			
		",(97 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 804
		
		 sem juros
		
	

	
		",04,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/TOPCELL+II,https://produto.mercadolivre.com.br/MLB-1214568571-caixa-som-charge-3-grande-bluetooth-potente-30w-preta-_JM,NA,NA,NA,NA,NA,#1214568571,JBL,Xtreme Mini,30 W,Ativo/Passivo,Caixa,NA,NA,NA,NA,Woofer,De piso,2.1,USB,NA,NA,NA,NA,NA,NA,800 g
1313, Caixa De Som Speaker Jbl Go2 Original Min Full ,169,NA,"
			
				Novo
			
			
				
					 - 
				
				5
				vendidos
			
		",(8 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1417
		
		 sem juros
		
	

	
		",17,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.9,1482,https://perfil.mercadolivre.com.br/STOCKCARNET,https://produto.mercadolivre.com.br/MLB-1081548430-caixa-de-som-speaker-jbl-go2-original-min-full-_JM,1359,98,18,4,3,#1081548430,JBL,jblgo2,3 W,Ativo/Passivo,Caixa,NA,NA,NA,NA,Subwoofer,Piso,2.1,NA,NA,1,80 dB,NA,NA,NA,NA
1314, Caixa De Som Philco 80w Bateria Usb Fm Bluetooh - Pht80 ,274,NA,"
			
				Novo
			
			
				
					 - 
				
				5
				vendidos
			
		",(21 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 2291
		
		 sem juros
		
	

	
		",91,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/DISTRIBUIDORA+ATACAD.BRASIL,https://produto.mercadolivre.com.br/MLB-1180200304-caixa-de-som-philco-80w-bateria-usb-fm-bluetooh-pht80-_JM,NA,NA,NA,NA,NA,#1180200304,BRITANIA / PHILCO AUDIO E VIDEO,3460000,80 W,NA,Caixa,34.2 cm,12.8 cm,22.2 cm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.01 kg
1315, Caixa De Som Amplificada Bluetooth Bateria Usb Mp3 Radio Fm ,69,NA,"
			
				Novo
			
			
				
					 - 
				
				8
				vendidos
			
		",(271 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 669
		
		 sem juros
		
	

	
		",69,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/SELETOSTORE,https://produto.mercadolivre.com.br/MLB-883486017-caixa-de-som-amplificada-bluetooth-bateria-usb-mp3-radio-fm-_JM,NA,NA,NA,NA,NA,#883486017,VoxCube,A-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,USB,Mobile Speaker,1,NA,NA,108 MHz,87.5 MHz,NA
1316, Caixinha De Som Ws 887 Bluetooth Usb Pendrive ,22,NA,"
			
				Novo
			
			
				
					 - 
				
				8
				vendidos
			
		",(992 disponíveis),"
	
		
			
		
		4x 
		
			
				R$ 619
		
		 sem juros
		
	

	
		",19,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/ELLECTRO.COM.BR,https://produto.mercadolivre.com.br/MLB-1190166401-caixinha-de-som-ws-887-bluetooth-usb-pendrive-_JM,NA,NA,NA,NA,NA,#1190166401,WS 887,Ws-887,5 W,"Ativo, USB, Card",Caixa,NA,NA,NA,NA,Mini tweeter,NA,2.1,"Auxiliar, USB",NA,NA,NA,NA,NA,NA,NA
1317, Boombox Jbl Caixa De Som Portátil 1 Ano De Garantia Original ,1869,NA,"
			
				Novo
			
			
				
					 - 
				
				2
				vendidos
			
		",1,"
	
		
			
		
		12x 
		
			
				R$ 15582
		
		 sem juros
		
	

	
		",82,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.5,536,https://perfil.mercadolivre.com.br/ESTILOCELL+ESPECIALIZADA,https://produto.mercadolivre.com.br/MLB-1142020914-boombox-jbl-caixa-de-som-portatil-1-ano-de-garantia-original-_JM,421,46,20,20,29,#1142020914,JBL,Boombox,60 W,Ativo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80 dB,NA,NA,NA,5.25 kg
1318, Caixa De Som Jbl Charge 3 Bluetooth 100% Original Lacrado ,681,NA,"
			
				Novo
			
			
				
					 - 
				
				4
				vendidos
			
		",(96 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 5675
		
		 sem juros
		
	

	
		",75,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.5,2373,https://perfil.mercadolivre.com.br/AELETRO+TOP,https://produto.mercadolivre.com.br/MLB-1232059520-caixa-de-som-jbl-charge-3-bluetooth-100-original-lacrado-_JM,1761,337,137,53,85,#1232059520,JBL,Charge 3,20 W,NA,Caixa,NA,NA,NA,NA,NA,Pode ser usado em qualquer lugar,NA,NA,NA,2,80 dB,NA,20 kHz,65 Hz,1.55 kg
1319, Caixa De Som Jbl Go Portátil Pequena Vermelha Original ,155,NA,"
			
				Novo
			
			
				
					 - 
				
				6
				vendidos
			
		",(4 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1292
		
		 sem juros
		
	

	
		",92,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.6,18,https://perfil.mercadolivre.com.br/MUNDOVARIEDADESBH,https://produto.mercadolivre.com.br/MLB-1205352576-caixa-de-som-jbl-go-portatil-pequena-vermelha-original-_JM,14,3,0,0,1,#1205352576,JBL,GO,3 W,Passivo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80 dB,Vibrant,20 kHz,180 Hz,0.144 kg
1320, Caixa De Som Portátil Jbl Tune Black - Bluetooth / Usb / Sd ,349,NA,"
			
				Novo
			
			
				
					 - 
				
				5
				vendidos
			
		",(2 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 3336
		
		 sem juros
		
	

	
		",36,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/CIA_DO_SOM_AUTOMOTIVO,https://produto.mercadolivre.com.br/MLB-1172578222-caixa-de-som-portatil-jbl-tune-black-bluetooth-usb-sd-_JM,NA,NA,NA,NA,NA,#1172578222,JBL,Caixa de som portátil equipada com Rádio FM e até 5 horas de reprodução.,5 W,NA,Caixa,NA,NA,NA,NA,NA,NA,NA,"USB, SD CARD, WIRELESS",NA,NA,NA,NA,NA,NA,0.21 kg
1321, Caixa De Som Portátil Bluetooth Usb Fm Display Led Potente ,79,NA,"
			
				Novo
			
			
				
					 - 
				
				9
				vendidos
			
		",(7 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 662
		
		 sem juros
		
	

	
		",62,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/RAJ_05,https://produto.mercadolivre.com.br/MLB-1157528389-caixa-de-som-portatil-bluetooth-usb-fm-display-led-potente-_JM,NA,NA,NA,NA,NA,#1157528389,X Zhang,XZ-001S,10 W,NA,NA,NA,NA,NA,NA,NA,NA,NA,USB,NA,NA,NA,NA,NA,NA,800 g
