search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Modelo,Potência de saída (RMS),Tipos de filtros do alto-falante,Resposta máxima em frequência,Resposta mínima em frequência,Linha,Modelo alfanumérico,Voltagem,Tipos de alto-falante,Lugares de colocação,Formato do alto-falante,Configuração de canais,Quantidade de alto-falantes,Conectores de entrada,Sensibilidade de entrada,Largura,Profundidade,Altura,Peso,Cor
699, Caixa De Som Bazooquinha 2 + Plus Bluetooth Recarregavel ,48,NA,"
			
				Novo
			
			
				
					 - 
				
				68
				vendidos
			
		",(10 disponíveis),"
	
		
			
		
		6x 
		
			
				R$ 906
		
		 sem juros
		
	

	
		",06,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.3,274,https://perfil.mercadolivre.com.br/OLIVEIRA.SHOP.,https://produto.mercadolivre.com.br/MLB-700333834-caixa-de-som-bazooquinha-2-plus-bluetooth-recarregavel-_JM,159,57,38,15,4,#700333834,Imports,Pulse,11 W,Ativo,NA,NA,VOXcube Fashion,NA,NA,ativo,NA,Caixa,NA,NA,USB,NA,NA,NA,NA,NA,NA
700, Alto-falante Xtreme Jbl Original ,149,NA,"
			
				Novo
			
			
				
					 - 
				
				71
				vendidos
			
		",(5 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1424
		
		 sem juros
		
	

	
		",24,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.3,1921,https://perfil.mercadolivre.com.br/ELETROTEC_ELETRONICA,https://produto.mercadolivre.com.br/MLB-1002535639-alto-falante-xtreme-jbl-original-_JM,1241,335,177,67,101,#1002535639,JBL,Xtreme,40 W,Passivo,20 kHz,70 Hz,NA,NA,NA,NA,NA,Caixa,NA,1,NA,80 dB,NA,NA,NA,NA,NA
701, Caixa Jbl Go 2 Bluetooth Original Na Caixa Novo Go2 Jbl ,137,NA,"
			
				Novo
			
			
				
					 - 
				
				48
				vendidos
			
		",(92 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1142
		
		 sem juros
		
	

	
		",42,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.9,1531,https://perfil.mercadolivre.com.br/CATIADACIANEOLIVEIRA,https://produto.mercadolivre.com.br/MLB-1285645411-caixa-jbl-go-2-bluetooth-original-na-caixa-novo-go2-jbl-_JM,1406,98,19,4,4,#1285645411,JBL,GO 2,3 W,Ativo,NA,NA,NA,NA,NA,Woofer,De piso,Caixa,NA,NA,Auxiliar,80 dB,NA,NA,NA,NA,NA
702, Kit Com 5 Mini Caixa De Som 6wrms Bluetooth Rádio Fm Atacado ,399,NA,"
			
				Novo
			
			
				
					 - 
				
				3
				vendidos
			
		",(5 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 3325
		
		 sem juros
		
	

	
		",25,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/OUTLETNOVOSEREVISADOSGAUSS,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=%2FMMKUIjjz1aLJO0hHrjreeaBZ6b05kVLqTjFPOIwlrBI6sEj84TWOwyFzyHzUd5SmsKgna6PBRq4i8iGsBeY7FLsmmrby%2FrKecvyGIKstbinBrO9%2BvPlAUt3IZYjQqyUpv7F6TTx2k9LI9d%2F2BOafwJDp3BdfWerRoW%2BGlg8tWBMQoqnhY7TT7f0cz6z6H%2FoJSd26iDXNiu%2FPBtM7wqrF%2BBCxC1iPNtCduiNDQjPO1m6bB0aY8OXZHJ%2F%2B1e6Xd%2FdtHfYiAbCIhSH%2BMdSphOsWeaz8Jm%2BsYsXyFlNmNnn0D%2BUNicbaq0CFcNgRv9FkzBhRnVlQaVMUn%2BilAtPR5%2Fcht4c7JYK%2B6p5143MtrN4IH762sg1rkz9troBX5bUfKJir4HoA8Gqjn7%2FjptAaMaERcHd2Y%2FoFFnP9mK2hbi5Dh7%2FgtG46ylFhMCVlctXCyBiPrmtmNj7UgUqzSJqcq7rSjY4RgGSU3DDethUWW%2Ff2gZrtBAX9vQ359ntOBM1pUVbN4v6rNziQbLJfcpL9Fmh3bMebSDXr8cHxGUD%2F5lgKF9v%2FrZIVxWgZwYHVpQve8PP3pwZVlTDddizJGS9AU7ntfNBGaFvyDG8caMg%2FivsciiUANF9G3kkvM7XAaD1YH0k7wna3HWjLNfsqqPlqjS5NPdRrqvc1RLES9ZmEW23ytx3tFHBPLdykyzfh7C47ThJOwLGdRYafh4MvIz8R4LVYAy2d4%2FEF0D7NRyUApEBbRaN%2B%2BOcxGsxy7X0%2Br6vPTrkXzYI0n9ymfWU%2BuK1bg7pIwGdkerteKQYzE59xuzF%2BjY3HsgSr8cEhHAqtKmcGeCcjEGvFmfazH1kYVZ6Qx%2F1WAqN%2FZrX4vRF7IUYxMkYA%2FIdjhwEeU9iL80mBonUiHcahNPZhr4Z61GIG2KlADGTr5E%2Fga%2BeM7UP1IeAmjlgtVoxIPLNMs67AOLo1JBlKx%2BcKUZbnYKi61EL%2F8Glqv1en5eSszuRkh6RhJf9GfAKS8n597THf7lL3aDajap1b9TlHrFYnfs8yoIv2zRR8wE2FFneaCOf5%2FwfuAxmoPmXD8Y0wsK0uAkNxYNP6g8%2FpN5Hm7yUJVSoBbOFzISv7RdeJH8lRMGD9%2Btg%2FEmWJtuosXI1KX1nX%2BmoG8U4xIOGDXlHkwwovNwNn%2F2yX9w7xDrN%2BMpadr3xZEgjQS%2BsvveOJAFzBqckS0u1zXpTT%2Fo%2BZ4TkSHWicEJTeVnNCK6Aa4VhFwnCClwb90cFtdnUnCkJ54B%2BaKwDYDbIkA6tSv%2BOAcSTwqHBonuTOrE29LNZ39HAJAt1yGG5VmNYvfCYsG5IJTsvcJn8NAe%2FP4kbKJYPSQddMD3apbIHjqMq7yZIPw6akuJRgJcWQ9vunJ86nLAJJyooXlGTCDWszRsd4iI9VXadmaVbfgOJNGEbvrTZNqybGGGEtO7WrdHNx5tGr4%2FbIm4uoWXRkCghIDNo4Dyp42LULSShgJPPHp6xuqXvTmEIDDdnBmoR8OOk%2F%2F3lz7lVf8Ld7MQfdmOOvsJQI%2BDdoMFJAX6dZFc%2BpMKm2KZbWhqwfrLPeqAF6JdLTNpZHeacGoJI0qllIJr7daXRINQ%2BXl1X508S7KbYkgfltgqJtp5qyL3GYbc3YbC9vzLzmi5KYrmGDBfF5sgH4S0we8B6xeQpuuUXNIHfDAnhMSAobectuHfA%2FzjellME68xihVZ%2BSyNnL3mdjKGsRLedzmAx5e5UR4NJeo7Gp%2BpJlOl%2B78WZ2q7%2FB3upt0uUIBz6QhqHAkaSp0meSMl%2BEFwZKjMTOTdkzkjURJS64dJbeojXVa0OnO%2FjXKsx2MF%2BSV5kJmMKh1zJXZet%2FiyPOuoumh0Opiszicr7RZ99v4fILpfMaL%2FOOfvsIeDk7xyIM434DVPjswCva2s%3D,NA,NA,NA,NA,NA,#1246844773,Multilaser,SP273,50 W,Passivo,NA,NA,NA,NA,NA,Subwoofer,portátil,Caixa,manual,NA,Auxiliar,NA,28 cm,14 cm,12.5 cm,2.3 kg,NA
703, Caixa De Som Jbl Xtreme 2 - 40w Rms Bt Preto ,1299,NA,"
			
				Novo
			
			
				
					 - 
				
				7
				vendidos
			
		",(4 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 10825
		
		 sem juros
		
	

	
		",25,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.3,1921,https://perfil.mercadolivre.com.br/STOCKCARNET,https://produto.mercadolivre.com.br/MLB-1167322021-caixa-de-som-jbl-xtreme-2-40w-rms-bt-preto-_JM,1241,335,177,67,101,#1167322021,JBL,Xtreme 2,40 W,Passivo,20 kHz,70 Hz,NA,NA,NA,NA,NA,NA,NA,1,NA,80 dB,NA,NA,NA,NA,NA
704, Caixa De Som Jbl Boombox Bluetooth Preto ,1399,NA,"
			
				Novo
			
			
				
					 - 
				
				7
				vendidos
			
		",(993 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 11667
		
		 sem juros
		
	

	
		",67,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.7,100,https://perfil.mercadolivre.com.br/MIDASVAREJOONLINELTDA,https://produto.mercadolivre.com.br/MLB-1290254871-caixa-de-som-jbl-boombox-bluetooth-preto-_JM,87,5,1,3,4,#1290254871,JBL,Boombox,60 W,Subwoofer,NA,NA,Boombox,NA,NA,Subwoofer,De piso,Caixa,7.1,NA,NA,NA,NA,1 m,NA,NA,NA
705, Kit Caixa Som Bluetooth Caixinha Usb Sd Rádio - Atacado 4 Un ,120,NA,"
			
				Novo
			
			
				
					 - 
				
				34
				vendidos
			
		",(48 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1000
		
		 sem juros
		
	

	
		",00,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.0,1,https://perfil.mercadolivre.com.br/MAPA4361683,https://produto.mercadolivre.com.br/MLB-1186940228-kit-caixa-som-bluetooth-caixinha-usb-sd-radio-atacado-4-un-_JM,NA,NA,NA,NA,NA,#1186940228,GOLDENULTRA / GRASEP / MS / ALTOMEX,GT-301BT / BH1064 / GT-506BT / GT-312BT / GT-501BT,8 W,"Caixinha de som, Bluetooth",NA,NA,NA,NA,NA,MODELOS VARIADOS,"qualquer lugar, Festas, residência","Caixa,Caixinha",2.1,NA,NA,NA,NA,NA,NA,NA,NA
706, Caixa De Som Bluetooth Inova 213z ,29,NA,"
			
				Novo
			
			
				
					 - 
				
				26
				vendidos
			
		",(24 disponíveis),"
	
		
			
		
		5x 
		
			
				R$ 600
		
		 sem juros
		
	

	
		",00,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,5.0,2,https://perfil.mercadolivre.com.br/ACESSORIOSSOUZAS,https://produto.mercadolivre.com.br/MLB-1101315048-caixa-de-som-bluetooth-inova-213z-_JM,NA,NA,NA,NA,NA,#1101315048,Inova,rad-215z,10 W,NA,NA,NA,NA,NA,NA,NA,NA,Caixa,NA,NA,NA,NA,NA,NA,NA,NA,NA
707, Caixa De Som Hopestar H20 Wireless Bluetooth Preto ,244,NA,"
			
			
				
				9
				vendidos
			
		",(47 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 2042
		
		 sem juros
		
	

	
		",42,NA,Envio para todo o país,NA,NA,NA,NA,https://perfil.mercadolivre.com.br/OLIST?brandId=866,https://produto.mercadolivre.com.br/MLB-1223563179-caixa-de-som-hopestar-h20-wireless-bluetooth-preto-_JM,NA,NA,NA,NA,NA,#1223563179,Hopestar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1600 g,Preto
708, Caixa Som Amplificada Bluetooth 80w Mp3 Usb Fm Aux Bateria ,265,NA,"
			
				Novo
			
			
				
					 - 
				
				8
				vendidos
			
		",(11 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 2541
		
		 sem juros
		
	

	
		",41,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/BANANA-SHOP,https://produto.mercadolivre.com.br/MLB-1171883596-caixa-som-amplificada-bluetooth-80w-mp3-usb-fm-aux-bateria-_JM,NA,NA,NA,NA,NA,#1171883596,Amvox,ACA 110 BLACK PRETO BIVOL,80 W,Ativo,NA,NA,NA,NA,110/220V (Bivolt),Subwoofer e Tweeter,De mesa,Caixa,2.1,NA,NA,NA,NA,NA,NA,2.35 kg,Preto
709, Jbl Boost Tv - Original - Lacrada Buetooth E Tv Nota Fiscal ,699,NA,"
			
				Novo
			
			
				
					 - 
				
				5
				vendidos
			
		",(29 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 6689
		
		 sem juros
		
	

	
		",89,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/SM2-DISTRIBUIDORA,https://produto.mercadolivre.com.br/MLB-1220528142-jbl-boost-tv-original-lacrada-buetooth-e-tv-nota-fiscal-_JM,NA,NA,NA,NA,NA,#1220528142,JBL,Boost TV,NA,NA,20 kHz,20 Hz,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84 mm,122 mm,376 mm,NA,NA
710, Caixinha De Som Jbl Go 2 A Prova D'agua 3w Original ,195,NA,"
			
				Novo
			
			
				
					 - 
				
				9
				vendidos
			
		",(3 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1633
		
		 sem juros
		
	

	
		",33,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.9,1531,https://perfil.mercadolivre.com.br/SANBOX-BR,https://produto.mercadolivre.com.br/MLB-1229579258-caixinha-de-som-jbl-go-2-a-prova-dagua-3w-original-_JM,1406,98,19,4,4,#1229579258,JBL,GO 2,3 W,Ativo,NA,NA,NA,NA,NA,NA,NA,Caixa,NA,NA,NA,80 dB,NA,NA,NA,184 g,NA
711, Caixa De Som Bluetooth Amplificada Portatil Radio Usb Sd ,49,NA,"
			
				Novo
			
			
				
					 - 
				
				14
				vendidos
			
		",(1 disponíveis),"
	
		
			
		
		6x 
		
			
				R$ 833
		
		 sem juros
		
	

	
		",33,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/ALEX+PARI,https://produto.mercadolivre.com.br/MLB-1201756989-caixa-de-som-bluetooth-amplificada-portatil-radio-usb-sd-_JM,NA,NA,NA,NA,NA,#1201756989,Importado,D-BH1081,8 W,Ativo/Passivo,NA,NA,NA,NA,NA,Não se aplica,De piso,Caixa,NA,NA,USB,NA,NA,NA,NA,300 g,NA
712, Caixa De Som Speaker Jbl Go2 Laranja Full ,169,NA,"
			
				Novo
			
			
				
					 - 
				
				10
				vendidos
			
		",(1 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1408
		
		 sem juros
		
	

	
		",08,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.9,1531,https://perfil.mercadolivre.com.br/STOCKCARNET,https://produto.mercadolivre.com.br/MLB-1100857641-caixa-de-som-speaker-jbl-go2-laranja-full-_JM,1406,98,19,4,4,#1100857641,JBL,GO 2,3 W,Ativo/Passivo,NA,NA,NA,NA,NA,NA,NA,Caixa,NA,1,NA,80 dB,NA,NA,NA,NA,NA
713, Caixa Sistema Som Home 60w Rms Bluetooth 2.1 Mp3 Fm Tv Usb ,224,NA,"
			
				Novo
			
			
				
					 - 
				
				124
				vendidos
			
		",(6 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1875
		
		 sem juros
		
	

	
		",75,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.3,6,https://perfil.mercadolivre.com.br/LOJA10.ML,https://produto.mercadolivre.com.br/MLB-1065957649-caixa-sistema-som-home-60w-rms-bluetooth-21-mp3-fm-tv-usb-_JM,5,0,0,0,1,#1065957649,Briwax,KFX-1774,60 W,Ativo,NA,NA,Sistema De Som Bluetooth,NA,NA,"Subwoofer, Woofer, Tweeter",NA,Caixa,2.1,3,Auxilar P2. RCA. Bluetooth. FM. Micro SD. USB,85 dB,NA,NA,NA,2900 kg,NA
714, Caixa Som Amplificada Bluetooth 40w Led Dj Fm Usb Mp3 Preto ,273,NA,"
			
				Novo
			
			
				
					 - 
				
				5
				vendidos
			
		",(992 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 2275
		
		 sem juros
		
	

	
		",75,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/OBVIUS_ACOUSTIC_BOX,https://produto.mercadolivre.com.br/MLB-1128634365-caixa-som-amplificada-bluetooth-40w-led-dj-fm-usb-mp3-preto-_JM,NA,NA,NA,NA,NA,#1128634365,Grasep,D-BH2705,40 W,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36 cm,22 cm,23 cm,2.325 kg,NA
715, Caixa Som Banheiro Prova D Água Bluetooth Android E Ios ,18,NA,"
			
				Novo
			
			
				
					 - 
				
				23
				vendidos
			
		",(78 disponíveis),"
	
		
			
		
		3x 
		
			
				R$ 670
		
		 sem juros
		
	

	
		",70,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,5.0,1,https://perfil.mercadolivre.com.br/RAINHADASVENDASS,https://produto.mercadolivre.com.br/MLB-1225941542-caixa-som-banheiro-prova-d-agua-bluetooth-android-e-ios-_JM,NA,NA,NA,NA,NA,#1225941542,Baisec,caixinha de som,5 W,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
716, Caixa De Som Portátil Jbl Flip 4 - 16w Rms - Mosaic Original ,513,NA,"
			
				Novo
			
			
				
					 - 
				
				7
				vendidos
			
		",(5 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 4278
		
		 sem juros
		
	

	
		",78,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.9,2918,https://perfil.mercadolivre.com.br/SHOPDOSELETRONICOS.COM.BR,https://produto.mercadolivre.com.br/MLB-1093274398-caixa-de-som-portatil-jbl-flip-4-16w-rms-mosaic-original-_JM,2651,188,38,11,30,#1093274398,JBL,Flip 4,16 W,Ativo,NA,NA,Flip Series,NA,NA,NA,NA,NA,NA,NA,NA,80 dB,NA,NA,NA,NA,NA
717, Bolsa Capa Case Para Caixa De Som Jbl Flip 3 Ou 4 ,57,NA,"
			
				Novo
			
			
				
					 - 
				
				33
				vendidos
			
		",(28 disponíveis),"
	
		
			
		
		10x 
		
			
				R$ 648
		
		 sem juros
		
	

	
		",48,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.8,671,https://perfil.mercadolivre.com.br/CASES+JBL,https://produto.mercadolivre.com.br/MLB-1181338153-bolsa-capa-case-para-caixa-de-som-jbl-flip-3-ou-4-_JM,576,69,12,4,10,#1181338153,JBL,Flip 3 ou 4,NA,Case Para JBL Flip 3 ou 4,NA,NA,NA,NA,NA,Case Para JBL Flip 3 ou 4,Case Para JBL Flip 3 ou 4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718, Caixa Som Bluetooth Amplificada 500w Portátil Led Falante 12 ,635,NA,"
			
				Novo
			
			
				
					 - 
				
				5
				vendidos
			
		",(38 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 5292
		
		 sem juros
		
	

	
		",92,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/LOJAVALENCIO,https://produto.mercadolivre.com.br/MLB-1196144915-caixa-som-bluetooth-amplificada-500w-portatil-led-falante-12-_JM,NA,NA,NA,NA,NA,#1196144915,Sumay,Primus,250 W,NA,NA,NA,NA,NA,NA,"Alto-falante 12"", Subwoofer 12"", Tweeter 5""",NA,Caixa,NA,NA,"USB, cartão de memória TF, Rádio FM, AUX e Microfone",NA,NA,NA,NA,7.5 kg,NA
719, Caixa De Som Bluetooth Jbl 60w - Jblboomboxblk ,1666,NA,"
			
			
				
				5
				vendidos
			
		",(232 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 15927
		
		 sem juros
		
	

	
		",27,NA,Envio para todo o país,NA,NA,NA,NA,https://perfil.mercadolivre.com.br/FASTSHOP+OFICIAL?brandId=942,https://produto.mercadolivre.com.br/MLB-1028962679-caixa-de-som-bluetooth-jbl-60w-jblboomboxblk-_JM,NA,NA,NA,NA,NA,#1028962679,JBL,JBLBOOMBOXBLK,60 W,NA,NA,NA,NA,NA,NA,NA,NA,Caixa,NA,NA,Auxiliar,80 dB,260 mm,180 mm,460 mm,5.18 kg,Preto
720, Caixinha Som Portatil Bluetooth 20w Sd Usb Radio Fm Caixa ,49,NA,"
			
				Novo
			
			
				
					 - 
				
				1239
				vendidos
			
		",(9949 disponíveis),"
	
		
			
		
		6x 
		
			
				R$ 833
		
		 sem juros
		
	

	
		",33,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.3,33,https://perfil.mercadolivre.com.br/ODETEX10,https://produto.mercadolivre.com.br/MLB-699314902-caixinha-som-portatil-bluetooth-20w-sd-usb-radio-fm-caixa-_JM,18,10,3,0,2,#699314902,Universal 5,Universal Bluetooth,20 W,Universal 5,NA,NA,20W,20W,NA,NA,NA,Caixa,não,NA,NA,NA,NA,NA,NA,NA,NA
721, Caixa Som Portátil Bluetooth Mp3 Usb Fm Infokit Vc-m873bt ,129,NA,"
			
				Novo
			
			
				
					 - 
				
				14
				vendidos
			
		",(9 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1242
		
		 sem juros
		
	

	
		",42,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.2,82,https://perfil.mercadolivre.com.br/PAIZ%C3%83O+STORE,https://produto.mercadolivre.com.br/MLB-1176966330-caixa-som-portatil-bluetooth-mp3-usb-fm-infokit-vc-m873bt-_JM,51,16,5,3,7,#1176966330,Infokit,VC-M873BT,12 W,Ativo,NA,NA,NA,NA,NA,Woofer,Ambientes Internos e Externos,Caixa,1,NA,NA,80 dB,15 cm,16 cm,40 cm,NA,NA
722, Caixinha De Som Bluetooth Jbl Go 2 Flip Original Nota Fiscal ,180,NA,"
			
				Novo
			
			
				
					 - 
				
				18
				vendidos
			
		",(28 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1500
		
		 sem juros
		
	

	
		",00,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.8,234,https://perfil.mercadolivre.com.br/BACHIMPORTADOSORIGINAIS,https://produto.mercadolivre.com.br/MLB-1191760651-caixinha-de-som-bluetooth-jbl-go-2-flip-original-nota-fiscal-_JM,200,27,5,2,0,#1191760651,JBL,GO 2,3 W,Watts RMS,20 kHz,20 Hz,Flip Series,NA,NA,Watts RMS,Mesa,Quadrado,4.1,1,NA,80 dB,NA,NA,NA,NA,NA
723, Caixa De Som Xtrem Mini Potente Bluetooth Usb Fm Sd Aux ,85,NA,"
			
				Novo
			
			
				
					 - 
				
				58
				vendidos
			
		",(59 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 708
		
		 sem juros
		
	

	
		",08,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.0,3,https://perfil.mercadolivre.com.br/SIRI7664513,https://produto.mercadolivre.com.br/MLB-1226317820-caixa-de-som-xtrem-mini-potente-bluetooth-usb-fm-sd-aux-_JM,1,1,1,0,0,#1226317820,xtrem mini,xtrem mini,40 W,Tweeter,NA,NA,NA,NA,NA,NA,Poste,Caixa,5.1,NA,NA,NA,NA,NA,NA,NA,NA
724, Caixa Som Ambiente Jbl Selenium C621 Preto C621p 100w Par ,544,NA,"
			
				Novo
			
			
				
					 - 
				
				6
				vendidos
			
		",(193 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 4536
		
		 sem juros
		
	

	
		",36,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/BEST+BEAT,https://produto.mercadolivre.com.br/MLB-1208853231-caixa-som-ambiente-jbl-selenium-c621-preto-c621p-100w-par-_JM,NA,NA,NA,NA,NA,#1208853231,JBL,C-621,50 W,resistente,20 kHz,85 Hz,Ambientare,NA,NA,Woofer,ambiente,redondo,NA,1,NA,90 dB,22 cm,18 cm,29 cm,3.225 kg,NA
725, Kit 10 Caixa Som Banheiro Prova Dágua Bluetooth ,165,NA,"
			
				Novo
			
			
				
					 - 
				
				93
				vendidos
			
		",(907 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1577
		
		 sem juros
		
	

	
		",77,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.0,2,https://perfil.mercadolivre.com.br/DIGITALBAISEC,https://produto.mercadolivre.com.br/MLB-1149622317-kit-10-caixa-som-banheiro-prova-dagua-bluetooth-_JM,NA,NA,NA,NA,NA,#1149622317,Baisec,caixinha de som,10 W,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
726, Caixa Som Portátil Recarregável 5000w Amvox C/ 2 Microfones ,839,NA,"
			
				Novo
			
			
				
					 - 
				
				6
				vendidos
			
		",(46 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 7000
		
		 sem juros
		
	

	
		",00,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.5,164,https://perfil.mercadolivre.com.br/SANBOX-SHOP,https://produto.mercadolivre.com.br/MLB-1235735215-caixa-som-portatil-recarregavel-5000w-amvox-c-2-microfones-_JM,117,27,11,4,5,#1235735215,AMVOX,ACA 501,500 W,NA,NA,NA,NA,NA,NA,Woofer,De piso,Caixa,2.1,1,USB,NA,NA,NA,NA,NA,NA
727, Caixa De Som Jbl Go 2 Preta Portátil 3w Original Bluetooth ,189,NA,"
			
				Novo
			
			
				
					 - 
				
				9
				vendidos
			
		",(11 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1815
		
		 sem juros
		
	

	
		",15,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.9,1531,https://perfil.mercadolivre.com.br/EDUELETRO+OFICIAL,https://produto.mercadolivre.com.br/MLB-1239481889-caixa-de-som-jbl-go-2-preta-portatil-3w-original-bluetooth-_JM,1406,98,19,4,4,#1239481889,JBL,GO 2,3 W,Ativo,NA,NA,NA,NA,NA,NA,NA,Caixa,NA,NA,NA,80 dB,NA,NA,NA,184 g,Preto
728, Kit 2 Mini Radios Bluetooth Com Base Sem Fio F1 Sardine ,119,NA,"
			
				Novo
			
			
				
					 - 
				
				27
				vendidos
			
		",(1 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 992
		
		 sem juros
		
	

	
		",92,NA,Chegará amanhã,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/NEG%C3%93CIODEG%C3%8ANIO,https://produto.mercadolivre.com.br/MLB-1088267108-kit-2-mini-radios-bluetooth-com-base-sem-fio-f1-sardine-_JM,NA,NA,NA,NA,NA,#1088267108,SM,2.1,NA, ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
729, Caixa De Som Bluethooth Jbl Soundgear Connection Tv Smart ,546,NA,"
			
				Novo
			
			
				
					 - 
				
				8
				vendidos
			
		",(7 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 5227
		
		 sem juros
		
	

	
		",27,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/CITRON+INSTRUMENTOSMUSICAIS,https://produto.mercadolivre.com.br/MLB-1119677040-caixa-de-som-bluethooth-jbl-soundgear-connection-tv-smart-_JM,NA,NA,NA,NA,NA,#1119677040,JBL,SoundGear,6 W,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
