search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca del celular,Color,Marca,Material
83, Case Funda iPhone 7 / 8 Plus Transparente Anti Caidas Mobo ,40,NA,0,5,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/BTPERU_VENTAS,https://articulo.mercadolibre.com.pe/MPE-435333468-case-funda-iphone-7-8-plus-transparente-anti-caidas-mobo-_JM,NA,NA,NA,NA,NA,#435333468,Apple,NA,NA,NA
84, Funda Case iPhone 8 iPhone 8 Plus 360 ,40,NA,0,20,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/TECNUEVAERA,https://articulo.mercadolibre.com.pe/MPE-431278720-funda-case-iphone-8-iphone-8-plus-360-_JM,NA,NA,NA,NA,NA,#431278720,Apple,NA,NA,NA
85, Funda Case iPhone 8 Plus ,15,NA,1,19,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/MAOMATACASTILLO,https://articulo.mercadolibre.com.pe/MPE-432512993-funda-case-iphone-8-plus-_JM,NA,NA,NA,NA,NA,#432512993,Apple,Brillante,NA,NA
86, Case Mate Brilliance iPhone 6 6s 7 8 Y Plus Funda + Glass 3d ,109,NA,0,99,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/PASAJECENTRALSAC,https://articulo.mercadolibre.com.pe/MPE-436283275-case-mate-brilliance-iphone-6-6s-7-8-y-plus-funda-glass-3d-_JM,NA,NA,NA,NA,NA,#436283275,Apple,NA,NA,Silicona
87, A1 Protector Funda Estuche Tetris Puzzle iPhone 6 7 8 Plus X ,33,NA,0,999,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/ENERGYZONE_MIRAFLORES,https://articulo.mercadolibre.com.pe/MPE-432120110-a1-protector-funda-estuche-tetris-puzzle-iphone-6-7-8-plus-x-_JM,NA,NA,NA,NA,NA,#432120110,NA,NA,NA,NA
88, Funda Case Protector Antishock iPhone 7/8/plus/x Militar ,249,NA,0,42,NA,NA,NA,Envío gratis a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/HAPPYSHOPVENTAS,https://articulo.mercadolibre.com.pe/MPE-429712806-funda-case-protector-antishock-iphone-78plusx-militar-_JM,NA,NA,NA,NA,NA,#429712806,Apple,NA,Armorking,Aluminio
89," Case Funda iPhone 7, 7 Plus, 8, 8 Plus ",19,NA,0,12,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/JARRIETAA,https://articulo.mercadolibre.com.pe/MPE-423994090-case-funda-iphone-7-7-plus-8-8-plus-_JM,NA,NA,NA,NA,NA,#423994090,Apple,NA,NA,NA
90, Case Protector Funda Silicona iPhone 7 / 8 & 7 / 8plus Apple ,50,NA,2,14,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/ZONAMOVILPERU1,https://articulo.mercadolibre.com.pe/MPE-430700033-case-protector-funda-silicona-iphone-7-8-7-8plus-apple-_JM,NA,NA,NA,NA,NA,#430700033,Apple,NA,Apple,NA
91, Protector Funda Case iPhone 6 7 8 Plus X Xs Max En Stock ,29,NA,0,10,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,NA,https://articulo.mercadolibre.com.pe/MPE-436279267-protector-funda-case-iphone-6-7-8-plus-x-xs-max-en-stock-_JM,NA,NA,NA,NA,NA,#436279267,Apple,NA,NA,NA
92, Rock Case Funda Protector Moc Series iPhone 7 / 8plus ,50,NA,0,30,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/ZONAMOVILPERU1,https://articulo.mercadolibre.com.pe/MPE-434404743-rock-case-funda-protector-moc-series-iphone-7-8plus-_JM,NA,NA,NA,NA,NA,#434404743,NA,NA,NA,NA
93, Lensun Nano Estuche Funda Case Para iPhone 7plus /8plus ,65,NA,0,NA,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/TECHNOCELENSUNPERU,https://articulo.mercadolibre.com.pe/MPE-435178903-lensun-nano-estuche-funda-case-para-iphone-7plus-8plus-_JM,NA,NA,NA,NA,NA,#435178903,Apple,Negro,NA,Silicona
94, Funda iPhone 5/5s/se/6/6plus/7/7plus/8/8plus Camuflado Case ,39,NA,40,40,NA,NA,NA,Envío gratis a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/MERKA.G,https://articulo.mercadolibre.com.pe/MPE-430492292-funda-iphone-55sse66plus77plus88plus-camuflado-case-_JM,NA,NA,NA,NA,NA,#430492292,Apple,NA,NA,NA
95, Case Funda Gel Con Pie iPhone 7 8 Plus Nillkin Transparente ,40,NA,0,10,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/BTPERU_VENTAS,https://articulo.mercadolibre.com.pe/MPE-433664774-case-funda-gel-con-pie-iphone-7-8-plus-nillkin-transparente-_JM,NA,NA,NA,NA,NA,#433664774,Apple,NA,Nillkin,NA
96, Funda Case Protector Marmol Laut iPhone 8+ 7+ 8 Plus 7 Plus ,80,NA,1,9,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/MVH+STORE,https://articulo.mercadolibre.com.pe/MPE-430059713-funda-case-protector-marmol-laut-iphone-8-7-8-plus-7-plus-_JM,NA,NA,NA,NA,NA,#430059713,Apple,NA,NA,NA
97, Funda Sobre Tirador iPhone 8 Plus Estuche Cover Case Forro ,39,NA,0,5,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/MACMELLOWMIRAFLORES,https://articulo.mercadolibre.com.pe/MPE-433546641-funda-sobre-tirador-iphone-8-plus-estuche-cover-case-forro-_JM,NA,NA,NA,NA,NA,#433546641,Apple,NA,NA,Cuero
98, Funda Case iPhone 6 7 8 Plus Rock Royce Quickstand Genuino ,69,NA,2,98,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/DASTOREPUNTOPE,https://articulo.mercadolibre.com.pe/MPE-421474548-funda-case-iphone-6-7-8-plus-rock-royce-quickstand-genuino-_JM,NA,NA,NA,NA,NA,#421474548,Apple,NA,NA,NA
99, Funda iPhone X/8/8plus/7/7plus Gom Case Carcasa Protector ,39,NA,27,7,NA,NA,NA,Envío gratis a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/MERKA.G,https://articulo.mercadolibre.com.pe/MPE-430710607-funda-iphone-x88plus77plus-gom-case-carcasa-protector-_JM,NA,NA,NA,NA,NA,#430710607,Apple,Roja,NA,NA
100, Funda Case Protector Antigolpes iPhone 6 7 Y 8 Plus 3 Piezas ,69,NA,0,100,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/DASTORE+PERU,https://articulo.mercadolibre.com.pe/MPE-429706820-funda-case-protector-antigolpes-iphone-6-7-y-8-plus-3-piezas-_JM,NA,NA,NA,NA,NA,#429706820,Apple,NA,NA,NA
101, Funda Case Personalizados iPhone 4 4s 5s Se 6 7 8 Plus ,49,NA,4,96,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/DASTOREPERUCASE,https://articulo.mercadolibre.com.pe/MPE-424193764-funda-case-personalizados-iphone-4-4s-5s-se-6-7-8-plus-_JM,NA,NA,NA,NA,NA,#424193764,Apple,NA,NA,NA
102, Funda Case Transparente Contra Caidas Otterbox iPhone 8 Plus ,50,NA,0,10,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/BTPERU_VENTAS,https://articulo.mercadolibre.com.pe/MPE-435465724-funda-case-transparente-contra-caidas-otterbox-iphone-8-plus-_JM,NA,NA,NA,NA,NA,#435465724,Apple,NA,OtterBox,NA
103, Funda Mercury iPhone 8 Plus Protector Carcasa Forro Goospery ,59,NA,0,NA,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/MACMELLOWMIRAFLORES,https://articulo.mercadolibre.com.pe/MPE-433546967-funda-mercury-iphone-8-plus-protector-carcasa-forro-goospery-_JM,NA,NA,NA,NA,NA,#433546967,Apple,NA,NA,Silicona
104, Case Funda Protector Caseology iPhone 8 7 Plus Original Usa ,115,NA,0,99,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/PASAJECENTRALSAC,https://articulo.mercadolibre.com.pe/MPE-435990636-case-funda-protector-caseology-iphone-8-7-plus-original-usa-_JM,NA,NA,NA,NA,NA,#435990636,Apple,NA,NA,NA
105, Funda Case Original Ringke Prism iPhone 7 8 Plus De Usa ,69,NA,0,100,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/DASTORE+PERU,https://articulo.mercadolibre.com.pe/MPE-429706754-funda-case-original-ringke-prism-iphone-7-8-plus-de-usa-_JM,NA,NA,NA,NA,NA,#429706754,Apple,NA,Ringke,NA
106, Case iPhone Funda 6/6plus 7/8 7/8plus X/xs Max /xr / Xs /6s ,29,NA,0,24,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/HAROLD25X,https://articulo.mercadolibre.com.pe/MPE-436847777-case-iphone-funda-66plus-78-78plus-xxs-max-xr-xs-6s-_JM,NA,NA,NA,NA,NA,#436847777,Apple,NA,NA,NA
107, Funda iPhone X/8/8plus/7/7plus/6/6s/6plus/6splus Case ,35,NA,29,7,NA,NA,NA,Envío gratis a todo el país,NA,NA,5,1,http://perfil.mercadolibre.com.pe/MERKA.G,https://articulo.mercadolibre.com.pe/MPE-430538328-funda-iphone-x88plus77plus66s6plus6splus-case-_JM,1,0,0,0,0,#430538328,Apple,Roja,NA,NA
108, iPhone 8 Plus Apple Funda Robot Armor Case Cover Holster ,69,NA,0,4,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/MACMELLOWMIRAFLORES,https://articulo.mercadolibre.com.pe/MPE-433546901-iphone-8-plus-apple-funda-robot-armor-case-cover-holster-_JM,NA,NA,NA,NA,NA,#433546901,Apple,NA,Apple,NA
109," Funda Case Protector Antigolpes iPhone 7, 8 Plus Con Parante ",35,NA,1,99,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/DASTORE+PERU,https://articulo.mercadolibre.com.pe/MPE-429706400-funda-case-protector-antigolpes-iphone-7-8-plus-con-parante-_JM,NA,NA,NA,NA,NA,#429706400,Apple,NA,ROCK,NA
110, Case Funda Protector Acuático Iphone 7 / 8 Plus Luphie ,170,NA,0,2,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/ZONAMOVILPERU1,https://articulo.mercadolibre.com.pe/MPE-434915505-case-funda-protector-acuatico-iphone-7-8-plus-luphie-_JM,NA,NA,NA,NA,NA,#434915505,NA,NA,NA,NA
111, Protector Funda Silicone Case iPhone X 7 8 Y Plus - Sellado ,50,NA,0,10,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/SSYST,https://articulo.mercadolibre.com.pe/MPE-427774378-protector-funda-silicone-case-iphone-x-7-8-y-plus-sellado-_JM,NA,NA,NA,NA,NA,#427774378,Apple,NA,NA,NA
112, Apple iPhone 7 iPhone 8 Plus Case Funda Cover Ligero Liviano ,10,NA,0,2,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/ISTORETEC,https://articulo.mercadolibre.com.pe/MPE-432665981-apple-iphone-7-iphone-8-plus-case-funda-cover-ligero-liviano-_JM,NA,NA,NA,NA,NA,#432665981,Apple,NA,Apple,NA
113, Funda Tpu Transparente iPhone 8 Plus Estuche Silicona Forro ,39,NA,0,NA,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/MACMELLOWMIRAFLORES,https://articulo.mercadolibre.com.pe/MPE-433546806-funda-tpu-transparente-iphone-8-plus-estuche-silicona-forro-_JM,NA,NA,NA,NA,NA,#433546806,Apple,NA,NA,NA
114, Funda Case Silicona iPhone 7 / 8 Plus En Caja Colores Tienda ,29,NA,0,40,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/BTPERU_VENTAS,https://articulo.mercadolibre.com.pe/MPE-434143425-funda-case-silicona-iphone-7-8-plus-en-caja-colores-tienda-_JM,NA,NA,NA,NA,NA,#434143425,Apple,NA,NA,NA
115, Case Funda Conejo Felpa Peludo Lujo Moda iPhone 7 / 8 Plus ,55,NA,0,NA,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/AZTILEYRODRIGUEZ,https://articulo.mercadolibre.com.pe/MPE-436605606-case-funda-conejo-felpa-peludo-lujo-moda-iphone-7-8-plus-_JM,NA,NA,NA,NA,NA,#436605606,Apple,NA,NA,NA
116," Protector Funda Case Magnético iPhone 7, 7 Plus, 8, 8 Plus ",45,NA,0,20,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/ASMOBILEACCESORIES,https://articulo.mercadolibre.com.pe/MPE-435746530-protector-funda-case-magnetico-iphone-7-7-plus-8-8-plus-_JM,NA,NA,NA,NA,NA,#435746530,Huawei,NA,NA,NA
117, Funda Case Para iPhone 7 8 Plus Nillkin Amplificador Sonido ,45,NA,0,10,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/BTPERU_VENTAS,https://articulo.mercadolibre.com.pe/MPE-433666260-funda-case-para-iphone-7-8-plus-nillkin-amplificador-sonido-_JM,NA,NA,NA,NA,NA,#433666260,Apple,NA,Nillkin,NA
118, Funda Audio Multifuncional Para Iphone 7/8 & 7/8plus Baseus ,100,NA,0,10,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/ZONAMOVILPERU1,https://articulo.mercadolibre.com.pe/MPE-433232637-funda-audio-multifuncional-para-iphone-78-78plus-baseus-_JM,NA,NA,NA,NA,NA,#433232637,NA,NA,NA,NA
119, Funda iPhone 8/8plus/7/7plus Rob Case Carcasa Protector ,39,NA,31,4,NA,NA,NA,Envío gratis a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/MERKA.G,https://articulo.mercadolibre.com.pe/MPE-430710624-funda-iphone-88plus77plus-rob-case-carcasa-protector-_JM,NA,NA,NA,NA,NA,#430710624,Apple,Rojo,NA,NA
120, Funda Mercury iPhone 8 Plus Cover Case Carcasa Estuche ,59,NA,0,NA,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/MACMELLOWMIRAFLORES,https://articulo.mercadolibre.com.pe/MPE-433546951-funda-mercury-iphone-8-plus-cover-case-carcasa-estuche-_JM,NA,NA,NA,NA,NA,#433546951,Apple,NA,NA,Silicona
121, Funda Case Protector Militar iPhone 7/8/plus/x C/parante Usa ,169,NA,0,80,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/GLOBAL+CELS,https://articulo.mercadolibre.com.pe/MPE-436678834-funda-case-protector-militar-iphone-78plusx-cparante-usa-_JM,NA,NA,NA,NA,NA,#436678834,Apple,NA,NA,NA
122, Case Protector Funda Duro Parante iPhone 7 Plus / 8 Plus ,59,NA,0,10,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/NDMSTORE,https://articulo.mercadolibre.com.pe/MPE-424208064-case-protector-funda-duro-parante-iphone-7-plus-8-plus-_JM,NA,NA,NA,NA,NA,#424208064,Apple,NA,NA,NA
123," Case Funda Nice iPhone 6 , 7 , 8 Plus ",35,NA,0,6,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,NA,https://articulo.mercadolibre.com.pe/MPE-427580536-case-funda-nice-iphone-6-7-8-plus-_JM,NA,NA,NA,NA,NA,#427580536,Apple,NA,NA,NA
124, Case Protector Funda Cover Armor iPhone 7 Plus / 8 Plus ,49,NA,0,10,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/NDMSTORE,https://articulo.mercadolibre.com.pe/MPE-429541358-case-protector-funda-cover-armor-iphone-7-plus-8-plus-_JM,NA,NA,NA,NA,NA,#429541358,Apple,Negro,NA,NA
125, Funda iPhone X/8/8plus/7/7plus Tra Case Carcasa Protector ,39,NA,30,4,NA,NA,NA,Envío gratis a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/MERKA.G,https://articulo.mercadolibre.com.pe/MPE-430538284-funda-iphone-x88plus77plus-tra-case-carcasa-protector-_JM,NA,NA,NA,NA,NA,#430538284,Apple,NA,NA,NA
126, Case Funda Protector Ringke Air Prism Iphone 7/8 & 7/8 Plus ,55,NA,0,13,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/ZONAMOVILPERU1,https://articulo.mercadolibre.com.pe/MPE-428490199-case-funda-protector-ringke-air-prism-iphone-78-78-plus-_JM,NA,NA,NA,NA,NA,#428490199,NA,NA,NA,NA
127," Case Funda Protector Para iPhone 6s, 6, 8 Plus ",35,NA,0,NA,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/GHINEXS,https://articulo.mercadolibre.com.pe/MPE-436930371-case-funda-protector-para-iphone-6s-6-8-plus-_JM,NA,NA,NA,NA,NA,#436930371,Apple,Negro,NA,NA
128, Case Bumper Protector Funda Cristal Iphone 7/8 & 7/8 Plus X ,30,NA,0,27,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/ZONAMOVILPERU1,https://articulo.mercadolibre.com.pe/MPE-431462991-case-bumper-protector-funda-cristal-iphone-78-78-plus-x-_JM,NA,NA,NA,NA,NA,#431462991,NA,NA,NA,NA
129, Case Protector Funda Silicona iPhone X 8 Plus ,49,NA,0,10,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/MOBITECH.PE,https://articulo.mercadolibre.com.pe/MPE-432438478-case-protector-funda-silicona-iphone-x-8-plus-_JM,NA,NA,NA,NA,NA,#432438478,Apple,NA,NA,NA
130, Funda Estuche Correa iPhone 8 Plus Clip Cuero Vacuno Forro ,55,NA,0,3,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/MACMELLOWMIRAFLORES,https://articulo.mercadolibre.com.pe/MPE-435360816-funda-estuche-correa-iphone-8-plus-clip-cuero-vacuno-forro-_JM,NA,NA,NA,NA,NA,#435360816,Apple,NA,NA,Cuero
131, Premium Crossbody Bag Purse Funda Para iPhone X/8 plus/samsu ,143,NA,0,NA,NA,NA,NA,Envío gratis a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/KECHVR.COM,https://articulo.mercadolibre.com.pe/MPE-436435887-premium-crossbody-bag-purse-funda-para-iphone-x8plussamsu-_JM,NA,NA,NA,NA,NA,#436435887,NA,NA,NA,NA
132, Funda Protector + Clip Para Cinturon iPhone 7 / 8 Plus / 8 ,38,NA,0,NA,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/MOBILE+CONNECT,https://articulo.mercadolibre.com.pe/MPE-436500275-funda-protector-clip-para-cinturon-iphone-7-8-plus-8-_JM,NA,NA,NA,NA,NA,#436500275,Apple,NA,NA,Silicona
133, Case Antigolpes iPhone 7 8 Plus Protector Parante Funda ,34,NA,0,15,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/TIENDAEXPRESS.PE,https://articulo.mercadolibre.com.pe/MPE-432157016-case-antigolpes-iphone-7-8-plus-protector-parante-funda-_JM,NA,NA,NA,NA,NA,#432157016,Apple,NA,NA,NA
134, Funda Case Para iPhone 7 8 Plus Nillkin Textura Metalico ,40,NA,0,10,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/BTPERU_VENTAS,https://articulo.mercadolibre.com.pe/MPE-433666122-funda-case-para-iphone-7-8-plus-nillkin-textura-metalico-_JM,NA,NA,NA,NA,NA,#433666122,Apple,NA,Nillkin,NA
135," Funda Silicona Liquida iPhone 7, 8, 7plus , 8plus Y iPhone X ",32,NA,0,20,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/TEVEN255,https://articulo.mercadolibre.com.pe/MPE-436914724-funda-silicona-liquida-iphone-7-8-7plus-8plus-y-iphone-x-_JM,NA,NA,NA,NA,NA,#436914724,Apple,NA,NA,Silicona
136, Funda Original De Silicona Para iPhone 6-6s-7-8-7plus-x ,35,NA,0,30,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,NA,https://articulo.mercadolibre.com.pe/MPE-434076770-funda-original-de-silicona-para-iphone-6-6s-7-8-7plus-x-_JM,NA,NA,NA,NA,NA,#434076770,Apple,NA,NA,Silicona
137, Case Protector Funda Silicona Iphone 7 / 8 & 7 / 8plus Apple ,50,NA,0,14,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/ZONAMOVILPERU1,https://articulo.mercadolibre.com.pe/MPE-434405674-case-protector-funda-silicona-iphone-7-8-7-8plus-apple-_JM,NA,NA,NA,NA,NA,#434405674,NA,NA,NA,NA
138, Case Protector Funda Hibrido iPhone 7 Plus / iPhone 8 Plus ,59,NA,0,10,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/NDMSTORE,https://articulo.mercadolibre.com.pe/MPE-424208068-case-protector-funda-hibrido-iphone-7-plus-iphone-8-plus-_JM,NA,NA,NA,NA,NA,#424208068,Apple,NA,NA,NA
139, Case Funda 369 Jelly Original Protector iPhone 7plus 8 Plus ,28,NA,0,NA,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/AZTILEYRODRIGUEZ,https://articulo.mercadolibre.com.pe/MPE-435436901-case-funda-369-jelly-original-protector-iphone-7plus-8-plus-_JM,NA,NA,NA,NA,NA,#435436901,Apple,NA,NA,NA
140," Funda Transparente Para iPhone 6,7, 8 ,plus, X ",11,NA,0,1000,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/LUCKIALANFERNANDEZSALCEDO,https://articulo.mercadolibre.com.pe/MPE-435892850-funda-transparente-para-iphone-67-8-plus-x-_JM,NA,NA,NA,NA,NA,#435892850,Apple,NA,NA,NA
141, Protector Bumper Case Funda Cerdito Para iPhone 6 7 8 Plus X ,30,NA,0,10,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/LINESSTORE,https://articulo.mercadolibre.com.pe/MPE-437402182-protector-bumper-case-funda-cerdito-para-iphone-6-7-8-plus-x-_JM,NA,NA,NA,NA,NA,#437402182,Apple,NA,Apple,NA
142, Rock Case Funda Royce Series Kickstand Iphone 7/8 & 7/8 Plus ,40,NA,0,18,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/ZONAMOVILPERU1,https://articulo.mercadolibre.com.pe/MPE-428783321-rock-case-funda-royce-series-kickstand-iphone-78-78-plus-_JM,NA,NA,NA,NA,NA,#428783321,NA,NA,NA,NA
143, iPhone 8 Plus Apple Funda Estuche Case Protector Holster ,69,NA,0,2,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/MACMELLOWMIRAFLORES,https://articulo.mercadolibre.com.pe/MPE-433546856-iphone-8-plus-apple-funda-estuche-case-protector-holster-_JM,NA,NA,NA,NA,NA,#433546856,Apple,NA,Apple,Cuero
144, Carcasa iPhone 8 Plus Apple Funda Robot Armor Protector ,69,NA,0,2,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/MACMELLOWMIRAFLORES,https://articulo.mercadolibre.com.pe/MPE-435360774-carcasa-iphone-8-plus-apple-funda-robot-armor-protector-_JM,NA,NA,NA,NA,NA,#435360774,Apple,NA,Apple,NA
145, Case Funda Silicona iPhone 6s/6plus 7/7plus 8s/8plus Sellado ,29,NA,0,200,NA,NA,NA,Envío gratis a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/LUNA281192,https://articulo.mercadolibre.com.pe/MPE-437276660-case-funda-silicona-iphone-6s6plus-77plus-8s8plus-sellado-_JM,NA,NA,NA,NA,NA,#437276660,Apple,NA,NA,Silicone
146, Rock Case Funda Protector Origin Iphone 7 / 8 Plus ,40,NA,0,28,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/ZONAMOVILPERU1,https://articulo.mercadolibre.com.pe/MPE-432473760-rock-case-funda-protector-origin-iphone-7-8-plus-_JM,NA,NA,NA,NA,NA,#432473760,NA,NA,NA,NA
147, iPhone 8 Plus Apple Funda Estuche Cover Carcasa Holster ,69,NA,0,2,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/MACMELLOWMIRAFLORES,https://articulo.mercadolibre.com.pe/MPE-433546860-iphone-8-plus-apple-funda-estuche-cover-carcasa-holster-_JM,NA,NA,NA,NA,NA,#433546860,Apple,NA,Apple,Cuero
148, Case Mate Waterfall iPhone 6 6s 7 8 Y Plus Funda + Glass 3d ,109,NA,0,99,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/PASAJECENTRALSAC,https://articulo.mercadolibre.com.pe/MPE-437404536-case-mate-waterfall-iphone-6-6s-7-8-y-plus-funda-glass-3d-_JM,NA,NA,NA,NA,NA,#437404536,Apple,NA,Case Mate,PC (cuerpo) y TPU (bordes)
149, Case Mate Waterfall iPhone 6 6s 7 8 Y Plus Funda + Glass 3d ,109,NA,0,99,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/PASAJECENTRALSAC,https://articulo.mercadolibre.com.pe/MPE-437404549-case-mate-waterfall-iphone-6-6s-7-8-y-plus-funda-glass-3d-_JM,NA,NA,NA,NA,NA,#437404549,Apple,NA,Case Mate,PC (cuerpo) y TPU (bordes)
150, Fundas De Silicona Para iPhone 6 /6s 7/8y 7 Plus/8plus ,4,NA,0,10,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/ROSILLOHEBERTO,https://articulo.mercadolibre.com.pe/MPE-433139436-fundas-de-silicona-para-iphone-6-6s-78y-7-plus8plus-_JM,NA,NA,NA,NA,NA,#433139436,Apple,NA,NA,Silicona
