search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca del celular,Marca,Tipo de funda,Color
146, iPhone 7-plus / iPhone 8-plus Anti Gravity Funda / Hands Fre ,33.834,NA,0,NA,12,2.820,NA,NA,NA,NA,NA,NA,https://perfil.mercadolibre.cl/DIGITALWAREHOUSECL,https://articulo.mercadolibre.cl/MLC-487112315-iphone-7-plus-iphone-8-plus-anti-gravity-funda-hands-fre-_JM,NA,NA,NA,NA,NA,#487112315,Apple,All Sorts,Carcasa,NA
147, Otterbox Defender Series Funda Para iPhone 8-plus & iPhone 7 ,66.033,NA,0,NA,12,5.503,NA,NA,NA,NA,NA,NA,https://perfil.mercadolibre.cl/DIGITALWAREHOUSECL,https://articulo.mercadolibre.cl/MLC-487306469-otterbox-defender-series-funda-para-iphone-8-plus-iphone-7-_JM,NA,NA,NA,NA,NA,#487306469,Apple,OtterBox,Carcasa,NA
148, Funda Bumper De Batman Metalica Iphone7 Plus Y 8 Plus Envio ,19.197,NA,0,496,12,1.600,NA,NA,NA,NA,NA,NA,https://perfil.mercadolibre.cl/AZSHOPPINGCL,https://articulo.mercadolibre.cl/MLC-459615920-funda-bumper-de-batman-metalica-iphone7-plus-y-8-plus-envio-_JM,NA,NA,NA,NA,NA,#459615920,Samsung,RJUST,Bumper,NA
149," Casos Básicosfunda iPhone 7 Plus, Funda iPhone 8 Plus, Un.. ",32.761,NA,0,2,12,2.730,NA,NA,NA,NA,NA,NA,https://perfil.mercadolibre.cl/SPICEIMPORTSCL,https://articulo.mercadolibre.cl/MLC-478971624-casos-basicosfunda-iphone-7-plus-funda-iphone-8-plus-un-_JM,NA,NA,NA,NA,NA,#478971624,Apple,VIVIBIN,Carcasa,NA
150," iPhone 8 7 6-plus Charging Funda , 3000mah Ultra Slim Extern ",64.377,NA,0,NA,12,5.365,NA,NA,NA,NA,NA,NA,https://perfil.mercadolibre.cl/DIGITALWAREHOUSECL,https://articulo.mercadolibre.cl/MLC-485790168-iphone-8-7-6-plus-charging-funda-3000mah-ultra-slim-extern-_JM,NA,NA,NA,NA,NA,#485790168,NA,H-sang,NA,NA
151, Moment - Battery Photography Funda - iPhone 8-plus And Iphon ,175.051,NA,0,NA,12,14.588,NA,NA,NA,NA,NA,NA,https://perfil.mercadolibre.cl/DIGITALWAREHOUSECL,https://articulo.mercadolibre.cl/MLC-485808673-moment-battery-photography-funda-iphone-8-plus-and-iphon-_JM,NA,NA,NA,NA,NA,#485808673,Apple,Moment,Carcasa,NA
152, Punkjuice iPhone 8-plus Funda Bateria - Waterproof Slim Port ,175.037,NA,0,NA,12,14.586,NA,NA,NA,NA,NA,NA,https://perfil.mercadolibre.cl/DIGITALWAREHOUSECL,https://articulo.mercadolibre.cl/MLC-485810473-punkjuice-iphone-8-plus-funda-bateria-waterproof-slim-port-_JM,NA,NA,NA,NA,NA,#485810473,NA,punkcase,NA,NA
153, Oaxis Cell Phone Funda Para iPhone 6/6s/7/8-plus - Black Pat ,222.852,NA,0,NA,12,18.571,NA,NA,NA,NA,NA,NA,https://perfil.mercadolibre.cl/DIGITALWAREHOUSECL,https://articulo.mercadolibre.cl/MLC-485855422-oaxis-cell-phone-funda-para-iphone-66s78-plus-black-pat-_JM,NA,NA,NA,NA,NA,#485855422,Apple,Oaxis,Carcasa,NA
154," iPhone 8-plus Phone Funda,iPhone 7-plus Phone Funda,gx-lv Lu ",45.351,NA,0,NA,12,3.779,NA,NA,NA,NA,NA,NA,https://perfil.mercadolibre.cl/DIGITALWAREHOUSECL,https://articulo.mercadolibre.cl/MLC-485943696-iphone-8-plus-phone-fundaiphone-7-plus-phone-fundagx-lv-lu-_JM,NA,NA,NA,NA,NA,#485943696,Apple,GX-LV,Carcasa,NA
155," Full Edge iPhone 8-plus/7-plus Funda Bateria, Kuxiu 7000mah ",60.918,NA,0,NA,12,5.076,NA,NA,NA,NA,NA,NA,https://perfil.mercadolibre.cl/DIGITALWAREHOUSECL,https://articulo.mercadolibre.cl/MLC-487040007-full-edge-iphone-8-plus7-plus-funda-bateria-kuxiu-7000mah-_JM,NA,NA,NA,NA,NA,#487040007,NA,KU XIU,NA,NA
156," Qltypri Funda Para iPhone 7-plus 8-plus, Metal Frame Magneti ",40.160,NA,0,NA,12,3.347,NA,NA,NA,NA,NA,NA,https://perfil.mercadolibre.cl/DIGITALWAREHOUSECL,https://articulo.mercadolibre.cl/MLC-487041624-qltypri-funda-para-iphone-7-plus-8-plus-metal-frame-magneti-_JM,NA,NA,NA,NA,NA,#487041624,Apple,QLTYPRI,Bumper,NA
157, iPhone 8-plus Funda Bateria - 4200mah Slim Portable Charger ,67.835,NA,0,NA,12,5.653,NA,NA,NA,NA,NA,NA,https://perfil.mercadolibre.cl/DIGITALWAREHOUSECL,https://articulo.mercadolibre.cl/MLC-487071627-iphone-8-plus-funda-bateria-4200mah-slim-portable-charger-_JM,NA,NA,NA,NA,NA,#487071627,NA,VAVCASE,NA,NA
158, Funda Para Telfono Fortnite Iphone7 Plus / 8plus_2 ,5.355,NA,0,50,12,446,NA,NA,NA,NA,NA,NA,https://perfil.mercadolibre.cl/SPEEDSTORECL,https://articulo.mercadolibre.cl/MLC-484730208-funda-para-telfono-fortnite-iphone7-plus-8plus2-_JM,NA,NA,NA,NA,NA,#484730208,NA,NA,NA,NA
159," iPhone 8-plus Women Funda, iPhone 7-plus Funda, Dmaos Luxuri ",45.351,NA,0,NA,12,3.779,NA,NA,NA,NA,NA,NA,https://perfil.mercadolibre.cl/DIGITALWAREHOUSECL,https://articulo.mercadolibre.cl/MLC-485810556-iphone-8-plus-women-funda-iphone-7-plus-funda-dmaos-luxuri-_JM,NA,NA,NA,NA,NA,#485810556,Apple,DMaos,Carcasa,NA
160, Funda Protectora De Telfono Para iPhone 8 Plus Funda 5.5 ,1.177,NA,0,200,12,98,NA,NA,NA,NA,NA,NA,https://perfil.mercadolibre.cl/TOMTOPWHOLESALECL,https://articulo.mercadolibre.cl/MLC-486674200-funda-protectora-de-telfono-para-iphone-8-plus-funda-55-_JM,NA,NA,NA,NA,NA,#486674200,Apple,NA,Carcasa,NA
161," iPhone 6-plus/6s-plus/7-plus/8-plus Funda Bateria,80sbrother ",50.542,NA,0,NA,12,4.212,NA,NA,NA,NA,NA,NA,https://perfil.mercadolibre.cl/DIGITALWAREHOUSECL,https://articulo.mercadolibre.cl/MLC-486968253-iphone-6-plus6s-plus7-plus8-plus-funda-bateria80sbrother-_JM,NA,NA,NA,NA,NA,#486968253,NA,80sBrothers,NA,NA
162, 3*funda Protectora De Telfono Para iPhone 8 Plus Funda 5.5 ,3.583,NA,0,200,12,299,NA,NA,NA,NA,NA,NA,https://perfil.mercadolibre.cl/TOMTOPWHOLESALECL,https://articulo.mercadolibre.cl/MLC-486984123-3funda-protectora-de-telfono-para-iphone-8-plus-funda-55-_JM,NA,NA,NA,NA,NA,#486984123,Apple,NA,Carcasa,NA
163, Miesherk Funda Para iPhone 6 7 8-plus Funda Bumper Hard Shel ,31.517,NA,0,NA,12,2.626,NA,NA,NA,NA,NA,NA,https://perfil.mercadolibre.cl/DIGITALWAREHOUSECL,https://articulo.mercadolibre.cl/MLC-487006663-miesherk-funda-para-iphone-6-7-8-plus-funda-bumper-hard-shel-_JM,NA,NA,NA,NA,NA,#487006663,Apple,Miesherk,Carcasa,NA
164, iPhone 7-plus iPhone 8-plus Funda Luxury Tempered Glass Back ,36.701,NA,0,NA,12,3.058,NA,NA,NA,NA,NA,NA,https://perfil.mercadolibre.cl/DIGITALWAREHOUSECL,https://articulo.mercadolibre.cl/MLC-487092120-iphone-7-plus-iphone-8-plus-funda-luxury-tempered-glass-back-_JM,NA,NA,NA,NA,NA,#487092120,NA,BONTOUJOUR,NA,NA
165," iPhone 7/8-plus Wallet Funda, iPhone 6s/6-plus Funda, Resee ",62.644,NA,0,NA,12,5.220,NA,NA,NA,NA,NA,NA,https://perfil.mercadolibre.cl/DIGITALWAREHOUSECL,https://articulo.mercadolibre.cl/MLC-487120272-iphone-78-plus-wallet-funda-iphone-6s6-plus-funda-resee-_JM,NA,NA,NA,NA,NA,#487120272,Apple,RESEE,Carcasa,NA
166, iPhone 7-plus&8-plus 5.5inch Shell Silicone Funda iPhone 7-p ,43.625,NA,0,NA,12,3.635,NA,NA,NA,NA,NA,NA,https://perfil.mercadolibre.cl/DIGITALWAREHOUSECL,https://articulo.mercadolibre.cl/MLC-487142706-iphone-7-plus8-plus-55inch-shell-silicone-funda-iphone-7-p-_JM,NA,NA,NA,NA,NA,#487142706,NA,Iessvi,NA,NA
167," Hwt iPhone 8-plus/iPhone 7-plus Funda, Pipe Bus Pattern Desi ",54.001,NA,0,NA,12,4.500,NA,NA,NA,NA,NA,NA,https://perfil.mercadolibre.cl/DIGITALWAREHOUSECL,https://articulo.mercadolibre.cl/MLC-487152582-hwt-iphone-8-plusiphone-7-plus-funda-pipe-bus-pattern-desi-_JM,NA,NA,NA,NA,NA,#487152582,NA,Hwt,NA,NA
168, Tpu Funda Protectora Para El Telfono Para iPhone 7 Plus 8 ,581,NA,0,200,12,48,NA,NA,NA,NA,NA,NA,https://perfil.mercadolibre.cl/AUTOSTARCL,https://articulo.mercadolibre.cl/MLC-487202020-tpu-funda-protectora-para-el-telfono-para-iphone-7-plus-8-_JM,NA,NA,NA,NA,NA,#487202020,Apple,No Brand,NA,NA
169, Funda Estuche Para iPhone 6 plus J52 -0bk (no Inluye iPhone) ,80.990,NA,0,3,12,6.749,NA,Envío gratis a todo el país,NA,NA,4.9,22,https://perfil.mercadolibre.cl/UP-SHOP,https://articulo.mercadolibre.cl/MLC-475009334-funda-estuche-para-iphone-6plus-j52-0bk-no-inluye-iphone-_JM,20,2,0,0,0,#475009334,NA,Apple,NA,NA
170," Funda De Cuero Para iPhone 8 Plus / 7 Plus, Iphox Estuche... ",32.990,NA,2,9999,6,5.498,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/MELONCARGO,https://articulo.mercadolibre.cl/MLC-469870148-funda-de-cuero-para-iphone-8-plus-7-plus-iphox-estuche-_JM,NA,NA,NA,NA,NA,#469870148,Apple,NA,Carcasa,NA
171, Funda Con Batería Para iPhone 8 Plus / 7 Plus / 6s Plus... ,58.990,NA,0,4,6,9.832,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/EBAY+SELECTION,https://articulo.mercadolibre.cl/MLC-475719845-funda-con-bateria-para-iphone-8-plus-7-plus-6s-plus-_JM,NA,NA,NA,NA,NA,#475719845,Apple,NA,Carcasa,NA
172, Funda Billetera De Cuero Para iPhone 8 Plus / iPhone 7 ,24.990,NA,1,9998,6,4.165,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/MELONCARGO,https://articulo.mercadolibre.cl/MLC-458708425-funda-billetera-de-cuero-para-iphone-8-plus-iphone-7-_JM,NA,NA,NA,NA,NA,#458708425,Apple,NA,NA,NA
173, Carcasa 360° iPhone 8 Plus 7 Plus + Lámina Azul 3 En 1 ,9.995,NA,15,2,6,1.666,NA,Envío gratis a todo el país,NA,NA,4,1,https://perfil.mercadolibre.cl/ALPHATECHILE,https://click1.mercadolibre.cl/mclics/clicks/external/MLC/count?a=3pNxnq19zPwgsuGLZCIaPMzX3pE8t%2FBFNBQWCMcF9MSeRZbZ3LWYf056%2BSim1YBdEEVhv1IVJCPC4BCd4extm7Xet8BjgWSKB3eqR553jFkGrNY9NpUjZRYy%2FTLulMdFxcdjGcNW2prJczoR5B4VByRVoWzVYSF8OrmnNMgx2JMmBS9Sv4D2OlPqKBOoH4eG34fo5rHG3BDtynoVWfYevqUpcHlx1IaPjbokCddF9JNr5tTsqyra41PvHZHWlueOwiNxaeCwjRpgGO1CsGQwXkZEbzQWPbzh56indf8DbC%2BHIIy%2Fw5UqXgk9vCy74eGxoHi622eDGaxoFsx8JlnRxlryctzZ2ItzqOjMZ8lpkeVSRjTrFPuORIMLZOMzbjs9SvWaZ%2Bvnuw%2FjSvDMPZrZySK4A2CqayGX8POS1ouY5XR6Xi%2FCtuNhcinsuFxW1Z3gS7%2FnI37%2FBUuLCXy00A7Lm82GzQyAZaisAu1OmRxszsPsImnvWRrCEK32OeiORSjXq324qFC6ZFy8rTTvyib5Gq9O48mkQN%2BlSQBMIae%2Fl9jpvQ241J6HxhBSiY7U51MnUFCiuPiZMtoj3dL5EDhmY3GW8QDsep5xrr06tA%2FyJVBQdk1nnYX5YGc2abPuGXJuczB0MitYZzwBbG22HeLOfbLH27r3bJ%2BMKSt1rtXo%2Bqyhq%2Bxo46j%2Bai6sy3FkTPx2YNP3smGM8T9vpuQJhEdFy%2F15n6h2UF1RP7s1QqUcwigyCSxLWbRHxIDuUZYt%2B7xgWE01XP%2FI93jyzE%2FaaQ%2Br7AprF%2FuwKu%2BCKxIKBud60x93tNXuIOGvHy%2F33sC1ixhGeorMI%2BdTT0pl%2FspqvXFHgtW%2BQrTOOx38QKU6TAYQ2vbzM1H0kUOfMwGb5HvDFd6045QomErwEi%2FIg54%2BCVe93ug%2BaLmo7l5eUbQnGQuvoblRmd0KzR4EHizNQog9wc944Kz2fxzohDqrcbLYG9Avb7UUaErpHL0riaE4ie9CcyNtt8bdlcyofGLPZtLLHA3BQLSc0YTbJgg9MfDXlYesARLpTGPZtI9kyTdNcvVOOsDfwusJdAPW%2BvhHZEN0r5ryLyHhvGM0hK857IaWWrv%2B2wwLty2vlAbj4YLR%2F5DbAPrERzmpgTNhB4Z3bwiD61OmGpZu9HOluwe2HGVmaN0iPF7dNTa2V6Z4h4S3GGvjYFAy49jYKWPdDu%2Bn858tFOuYGpt1g%2B9vowaLrjH7g%2FmLPqTItawhnhBdVB%2FoPo9kuF6lQkCkuvzz7whltm45%2BtX1AFdyaUCbX3sShDy%2FPt9oZHHqi%2FjsxBcbd%2F3G29rJ2yM1946WulwI0CuR%2B3k9vC%2BfqNi1bBEgbTag5qubwojaL6V2MX6c4%2BwNIVx6sMgW7Sm6ar6iPYt7NrsXXlUQnnZXwHn%2FzKyUCOd7JmcL5%2FBjbgBu7LKk2mNd4Md%2BKcn9l90bS6fr1bwIy2Pie790,0,1,0,0,0,#452825207,Apple,NA,Carcasa,NA
174, Carcasa Con Bateria iPhone 8 Plus / 7 Plus. 420 Buho Store ,40.250,NA,1,NA,12,3.354,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,https://perfil.mercadolibre.cl/BUHOSTORE.COM,https://articulo.mercadolibre.cl/MLC-459284940-carcasa-con-bateria-iphone-8-plus-7-plus-420-buho-store-_JM,NA,NA,NA,NA,NA,#459284940,Apple,NA,NA,NA
175, Otterbox Symmetry Series Case For iPhone 8 Plus & iPhone 7 ,25.639,NA,1,99,6,4.273,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/GESATLTDA,https://articulo.mercadolibre.cl/MLC-469251948-otterbox-symmetry-series-case-for-iphone-8-plus-iphone-7-_JM,NA,NA,NA,NA,NA,#469251948,NA,OtterBox,NA,NA
176," Funda iPhone 8 Plus, iPhone 7 Plus Funda De La Billetera ",35.990,NA,1,9999,6,5.998,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/MELONCARGO,https://articulo.mercadolibre.cl/MLC-458733482-funda-iphone-8-plus-iphone-7-plus-funda-de-la-billetera-_JM,NA,NA,NA,NA,NA,#458733482,Apple,NA,Flip Cover,NA
177, Carcasa Apple Silicona iPhone 7/8 Plus - Webphone ,14.990,NA,4,6,12,1.249,NA,Envío a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/WEBPHONESPA,https://click1.mercadolibre.cl/mclics/clicks/external/MLC/count?a=5bpgYyi6LYkN36%2BWsJBP8Lc7CqRHWnyM%2FX86mTr%2BOFTemgfU3Mr7mDABVDMb%2Fn%2B1tsfTMueVONM508ogAgn462ZYkvmSKHmBlcM7rT0hVaOJK9D%2BQWy4RuMxT599lNqsnJzDuJ%2F%2Fi4QQd4lS0CLAmcbuh%2FbCN5VrbdIWiEKOgB4F1RlsBm4IplvANjmpDfzcPmmdgzOKEPze7nI2y1oVOX71syAX2aRggi5YddbU5yjSmjJa8wBtj2GK1o5bbMimcJMH2HGz%2FJ0OD0h6tZ%2F5%2Bpvk1f%2FcZEehBvAQliZmew%2BL2hGwK%2FquogSkwYwdkbuNEm9Np%2FYmYVMh5LNm6avkE5bqj%2BqnMGKjBQRDYWWOIR9KRLInFj7ZytdVnrtLMUBxDhyTaPKlPZGXfnjEUn7vi%2Fab1PmdaZXrfUAwS47ty%2FjqkZjW2Y397TpDXdmkKsGvpAtW66Sbtln7X1Y6oEF9nSJo4BEs4ODKp%2BkaVeEW0jq%2Bxniwal6XH2GJN2XRTCFH2IXg4dZZeCy5GvgeyMxRxoqY1CIkDRE7PVdIv4DQRtDsjSBUV43TnnZsFN7OChiYDuaORW3gHum4NWKRXlg%2BAV6DkWHhWoUhDAnzW1O%2BmwiFogmF3P%2BOlgpc3XtNvYvGMlhYB6IgMkUNGIHIZsA%2BStEeHbbZRsF9crREXPmMI1h8fUdM%2Ft844gpXiRMUSwHO3yapUiLpznJIEW1yo8g7yQaKmrm%2FOrZxP8RsGHG4wh7zcX064pZGomq5Q5ZJLn3uPwJxdFi3aZKJ1HnUfYyU2gWjQJ1xn52FSDOHci8s7P715DRQHwpKX3BYjRLBWabnZn5Oc92upK47DSJBIAM31UKrOOXaOob5W%2FPTjZ4H6Ui8UBBaKhOKHYbXQ4WOyNJnBGK%2BmB81un%2Fqtqg0I5CgYv65C%2FP4WV5Ao3I6%2Bov6qMmZas6bDXMk8t0IHaGtGPrgCH6uYeCm%2BPR4xJxKcZnzx3YZNEeKCWujSR%2FOHFwSaawrV43z9slO1ZXVNmTJchyMqr1A%2B8ZLUZHsTQAPrXRSEBV00pKgGXHe5yzSQUlphg%2FnzNjrKnWowG1Rgrz%2F5mRheH5u%2F5sO2yXnvJdpNgNIU3S64fM%2BYLHtV%2FlAnpFnIEul8nBlKhLryr4AFn1DcjOevsb3tydQQ1wo9wfchRZ6ED%2FhH0FPXqsnhfp7F8%2B06fNGRzLvm9NpL0sifzA57FVGkLyko7J%2FGJ5vW%2B7IWJUNJV%2Bldv0ZoRFV2EbPPF3R%2F7hwHgEr%2BjSuozjXmG14JXksfJtDrtk0yhPkbns7mDZi%2B245KN0gXnwQW27OPmrXFXxa14ngaRJze3kLuPhlFjHBGcuGpeTE8cC%2F%2BDJrHgfpvRqvsulXHCaZCTvOt8s571EXUk5oGFIR%2BwuUGhdRxN6myYgMX9sHilnELLDYaIgw9wWtwWfi4nn6L1%2BZMJ%2Bgl2asN4v%2FBFdqSw%3D%3D,NA,NA,NA,NA,NA,#474367347,Apple,Apple,Carcasa,NA
178," Ikasefu Funda iPhone 7 Plus, Funda iPhone 8 Plus, Anillo... ",31.990,NA,1,9999,6,5.332,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/MELONCARGO,https://articulo.mercadolibre.cl/MLC-469887311-ikasefu-funda-iphone-7-plus-funda-iphone-8-plus-anillo-_JM,NA,NA,NA,NA,NA,#469887311,Apple,NA,Carcasa,NA
179, Funda Para iPhone 6 7 8 Plus Funda Con Clip Para Cinturón... ,28.990,NA,2,9,6,4.832,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/EBAY+SELECTION,https://articulo.mercadolibre.cl/MLC-475721512-funda-para-iphone-6-7-8-plus-funda-con-clip-para-cinturon-_JM,NA,NA,NA,NA,NA,#475721512,Apple,NA,NA,Negro
180," Funda iPhone 8 Plus, Funda iPhone 7 Plus, Torras Estuche ",24.990,NA,0,9999,6,4.165,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/MELONCARGO,https://articulo.mercadolibre.cl/MLC-458734528-funda-iphone-8-plus-funda-iphone-7-plus-torras-estuche-_JM,NA,NA,NA,NA,NA,#458734528,Apple,NA,Bumper,NA
181, iPhone 6s 7 8 Plus X Xs Max Funda Resistente Al Agua Para... ,35.990,NA,0,8,6,5.998,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/EBAY+SELECTION,https://articulo.mercadolibre.cl/MLC-475726048-iphone-6s-7-8-plus-x-xs-max-funda-resistente-al-agua-para-_JM,NA,NA,NA,NA,NA,#475726048,Apple,NA,NA,Negro
182," Funda iPhone 7 Plus, Funda iPhone 8 Plus, Equipo De Lujo [se ",32.158,NA,0,100,6,5.360,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/2EBOX,https://articulo.mercadolibre.cl/MLC-480226147-funda-iphone-7-plus-funda-iphone-8-plus-equipo-de-lujo-se-_JM,NA,NA,NA,NA,NA,#480226147,Apple,NA,Carcasa,Gris plus
183," Funda De Silicona Miracase Para iPhone 8 Plus, iPhone 7 Plus ",34.390,NA,0,100,6,5.732,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/2EBOX,https://articulo.mercadolibre.cl/MLC-490751546-funda-de-silicona-miracase-para-iphone-8-plus-iphone-7-plus-_JM,NA,NA,NA,NA,NA,#490751546,Apple,NA,Carcasa,NA
184, Funda iPhone 8 Plus 7 Plus [solidsuit De Rhinoshield] | ,50.372,NA,0,NA,6,8.395,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/AKAESCHILESPA,https://articulo.mercadolibre.cl/MLC-479084334-funda-iphone-8-plus-7-plus-solidsuit-de-rhinoshield--_JM,NA,NA,NA,NA,NA,#479084334,NA,Apple,NA,NA
185, Toast Real Madera Funda Con Frontal Para iPhone 6  retail P ,62.990,NA,0,3,12,5.249,NA,Envío gratis a todo el país,NA,NA,4.8,64,https://perfil.mercadolibre.cl/UP-SHOP,https://articulo.mercadolibre.cl/MLC-474911875-toast-real-madera-funda-con-frontal-para-iphone-6retail-p-_JM,57,6,0,0,1,#474911875,NA,Samsung,NA,NA
186," Supcase Funda iPhone 7 Plus, Funda iPhone 8 Plus, Unicorn... ",27.990,NA,0,9999,6,4.665,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/MELONCARGO,https://articulo.mercadolibre.cl/MLC-469866121-supcase-funda-iphone-7-plus-funda-iphone-8-plus-unicorn-_JM,NA,NA,NA,NA,NA,#469866121,Apple,NA,Carcasa,NA
187," Funda iPhone 7 Plus, Funda iPhone 8 Plus [armorbox] ",42.990,NA,0,9999,6,7.165,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/MELONCARGO,https://articulo.mercadolibre.cl/MLC-458706530-funda-iphone-7-plus-funda-iphone-8-plus-armorbox-_JM,NA,NA,NA,NA,NA,#458706530,Apple,NA,Bumper,NA
188, Funda iPhone 8 Plus Funda Wollony 360 De Cuerpo Entero Co... ,29.000,NA,0,999,6,4.833,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/TODOENCARGO-CL,https://articulo.mercadolibre.cl/MLC-469271156-funda-iphone-8-plus-funda-wollony-360-de-cuerpo-entero-co-_JM,NA,NA,NA,NA,NA,#469271156,Apple,WOLLONY,Carcasa,NA
189, Honeyake Funda Para iPhone 7 Plus 8 Plus Brillo Bling Dia... ,29.000,NA,0,999,6,4.833,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/TODOENCARGO-CL,https://articulo.mercadolibre.cl/MLC-469268617-honeyake-funda-para-iphone-7-plus-8-plus-brillo-bling-dia-_JM,NA,NA,NA,NA,NA,#469268617,Apple,HoneyAKE,Carcasa,NA
190, Genuine Clásico Real 100% Funda De Piel Para iPhone 7 plus T ,68.990,NA,0,3,12,5.749,NA,Envío gratis a todo el país,NA,NA,4.8,64,https://perfil.mercadolibre.cl/UP-SHOP,https://articulo.mercadolibre.cl/MLC-474906906-genuine-clasico-real-100-funda-de-piel-para-iphone-7plus-t-_JM,57,6,0,0,1,#474906906,NA,Samsung,NA,NA
191," J.west Funda iPhone 7 Plus 8 Plus, Suave Y Brillante Brillo ",27.549,NA,0,100,6,4.592,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/2EBOX,https://articulo.mercadolibre.cl/MLC-475306061-jwest-funda-iphone-7-plus-8-plus-suave-y-brillante-brillo-_JM,NA,NA,NA,NA,NA,#475306061,Apple,NA,Carcasa,NA
192, Funda Snowlizard Slxtreme Para iPhone 8 Plus. Accionado ,143.990,NA,0,9999,6,23.998,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/MELONCARGO,https://articulo.mercadolibre.cl/MLC-461093410-funda-snowlizard-slxtreme-para-iphone-8-plus-accionado-_JM,NA,NA,NA,NA,NA,#461093410,NA,NA,NA,NA
193," Funda iPhone 7 Plus, Funda iPhone 8 Plus, Supcase Unicorn ",42.990,NA,0,9999,6,7.165,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/MELONCARGO,https://articulo.mercadolibre.cl/MLC-458706818-funda-iphone-7-plus-funda-iphone-8-plus-supcase-unicorn-_JM,NA,NA,NA,NA,NA,#458706818,Apple,NA,Bumper,NA
