search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca del celular,Marca,Material,Color
67, Estuche Case Gel iPhone 8 Plus Protector Funda Transparente ,9,NA,4,74,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/TECHNOW+1,https://articulo.mercadolibre.com.pe/MPE-431188683-estuche-case-gel-iphone-8-plus-protector-funda-transparente-_JM,NA,NA,NA,NA,NA,#431188683,Motorola,NA,Gel,NA
68, Funda Case iPhone 8 Plus Brilla Con Led Flash Luz Blanca ,40,NA,0,NA,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/DETALLESMYAPE,https://articulo.mercadolibre.com.pe/MPE-432765700-funda-case-iphone-8-plus-brilla-con-led-flash-luz-blanca-_JM,NA,NA,NA,NA,NA,#432765700,Apple,NA,NA,NA
69, Funda iPhone 5s/se/6/6plus/7/7plus/8/8plus Luxury Case ,45,NA,14,48,NA,NA,NA,Envío gratis a todo el país,NA,NA,5,1,http://perfil.mercadolibre.com.pe/MERKA.G,https://articulo.mercadolibre.com.pe/MPE-428375700-funda-iphone-5sse66plus77plus88plus-luxury-case-_JM,1,0,0,0,0,#428375700,Apple,NA,NA,Rosa dorado
70, Case-mate Funda Case Cuero Genuino iPhone X Xs 8 7 6 6s Plus ,165,NA,0,99,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/PASAJECENTRALSAC,https://articulo.mercadolibre.com.pe/MPE-436147670-case-mate-funda-case-cuero-genuino-iphone-x-xs-8-7-6-6s-plus-_JM,NA,NA,NA,NA,NA,#436147670,Apple,NA,Cuero,Black black
71, Case Funda Protector iPhone 7/8/plus/x Ultra Slim Aluminio ,129,NA,2,8,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/HAPPYSHOPVENTAS,https://articulo.mercadolibre.com.pe/MPE-429712855-case-funda-protector-iphone-78plusx-ultra-slim-aluminio-_JM,NA,NA,NA,NA,NA,#429712855,Apple,NA,NA,Roja
72, Funda Silicone iPhone 5/5s 6/6plus 7/7plus 8/8plus/x + Mica ,39,NA,6,94,NA,NA,NA,Envío gratis a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/MALUPHONE,https://articulo.mercadolibre.com.pe/MPE-430828279-funda-silicone-iphone-55s-66plus-77plus-88plusx-mica-_JM,NA,NA,NA,NA,NA,#430828279,Apple,NA,NA,NA
73, Funda Cuero Correa iPhone 8 Plus Protector Estuche Cover ,55,NA,0,3,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/MACMELLOWMIRAFLORES,https://articulo.mercadolibre.com.pe/MPE-433546710-funda-cuero-correa-iphone-8-plus-protector-estuche-cover-_JM,NA,NA,NA,NA,NA,#433546710,Apple,NA,Cuero,NA
74, Funda Tpu Transparente iPhone 8 Plus Cover Case Carcasa ,39,NA,0,NA,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/MACMELLOWMIRAFLORES,https://articulo.mercadolibre.com.pe/MPE-433546797-funda-tpu-transparente-iphone-8-plus-cover-case-carcasa-_JM,NA,NA,NA,NA,NA,#433546797,Apple,NA,NA,NA
75, iPhone 8 Plus Funda Iface Ring Holder Cover Forro Case ,59,NA,0,NA,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/MACMELLOWMIRAFLORES,https://articulo.mercadolibre.com.pe/MPE-435716148-iphone-8-plus-funda-iface-ring-holder-cover-forro-case-_JM,NA,NA,NA,NA,NA,#435716148,Apple,NA,NA,NA
76, Funda Sobre Tirador iPhone 8 Plus Protector Carcasa Cuero ,39,NA,0,5,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/MACMELLOWMIRAFLORES,https://articulo.mercadolibre.com.pe/MPE-433546646-funda-sobre-tirador-iphone-8-plus-protector-carcasa-cuero-_JM,NA,NA,NA,NA,NA,#433546646,Apple,NA,Cuero,NA
77, Funda Case iPhone 8 Plus ,15,NA,1,19,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/MAOMATACASTILLO,https://articulo.mercadolibre.com.pe/MPE-432512993-funda-case-iphone-8-plus-_JM,NA,NA,NA,NA,NA,#432512993,Apple,NA,NA,Brillante
78, Funda Case Protector Todo Terreno iPhone 7/8/plus/x Alumini ,149,NA,0,21,NA,NA,NA,Envío gratis a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/HAPPYSHOPVENTAS,https://articulo.mercadolibre.com.pe/MPE-434240404-funda-case-protector-todo-terreno-iphone-78plusx-alumini-_JM,NA,NA,NA,NA,NA,#434240404,Apple,NA,NA,NA
79, Funda De Mickey Mouse Para iPhone 7 Plus Y 8 Plus ,50,NA,0,NA,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/REVOLUTION.STAR,https://articulo.mercadolibre.com.pe/MPE-436464787-funda-de-mickey-mouse-para-iphone-7-plus-y-8-plus-_JM,NA,NA,NA,NA,NA,#436464787,Apple,NA,Cuero,NA
80, Funda iPhone 5s/6/6plus/7/7plus8/8plus Princesa Case Carcasa ,49,NA,37,32,NA,NA,NA,Envío gratis a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/MERKA.G,https://articulo.mercadolibre.com.pe/MPE-430507604-funda-iphone-5s66plus77plus88plus-princesa-case-carcasa-_JM,NA,NA,NA,NA,NA,#430507604,Apple,NA,NA,NA
81, Funda Case Protector Antigolpes iPhone 6 7 Y 8 Plus 3 Piezas ,69,NA,0,100,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/DASTORE+PERU,https://articulo.mercadolibre.com.pe/MPE-429706820-funda-case-protector-antigolpes-iphone-6-7-y-8-plus-3-piezas-_JM,NA,NA,NA,NA,NA,#429706820,NA,NA,NA,NA
82, Case Funda Protector Acuático Iphone 7 / 8 Plus Luphie ,170,NA,0,2,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/ZONAMOVILPERU1,https://articulo.mercadolibre.com.pe/MPE-434915505-case-funda-protector-acuatico-iphone-7-8-plus-luphie-_JM,NA,NA,NA,NA,NA,#434915505,NA,NA,NA,NA
83," Funda Case Protector Original iPhone 7, 8 Plus Textura Cuero ",45,NA,0,100,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/DASTORE+PERU,https://articulo.mercadolibre.com.pe/MPE-429706723-funda-case-protector-original-iphone-7-8-plus-textura-cuero-_JM,NA,NA,NA,NA,NA,#429706723,Apple,Nillkin,NA,NA
84, Case Funda Pantera Negra iPhone 6 Plus/6s Plus/7 Plus/8 Plus ,39,NA,0,NA,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/CRUIZ145,https://articulo.mercadolibre.com.pe/MPE-432069484-case-funda-pantera-negra-iphone-6-plus6s-plus7-plus8-plus-_JM,NA,NA,NA,NA,NA,#432069484,Apple,NA,NA,NA
85, iPhone 8 Plus Funda Antishock De Silicona Tpu Transparente ,49,NA,0,3,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/MACMELLOWMIRAFLORES,https://articulo.mercadolibre.com.pe/MPE-436220069-iphone-8-plus-funda-antishock-de-silicona-tpu-transparente-_JM,NA,NA,NA,NA,NA,#436220069,Apple,NA,Silicona,NA
86," Case Funda iPhone 7, 7 Plus, 8, 8 Plus ",19,NA,0,12,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/JARRIETAA,https://articulo.mercadolibre.com.pe/MPE-423994090-case-funda-iphone-7-7-plus-8-8-plus-_JM,NA,NA,NA,NA,NA,#423994090,Apple,NA,NA,NA
87," Funda Case Flipcover iPhone 7, 8 Plus Rock Tapa Transparente ",79,NA,1,99,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/DASTORE+PERU,https://articulo.mercadolibre.com.pe/MPE-429706288-funda-case-flipcover-iphone-7-8-plus-rock-tapa-transparente-_JM,NA,NA,NA,NA,NA,#429706288,Apple,Rock,NA,NA
88, Funda Case Protector Antishock iPhone 7/8/plus/x Militar ,249,NA,0,42,NA,NA,NA,Envío gratis a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/HAPPYSHOPVENTAS,https://articulo.mercadolibre.com.pe/MPE-429712806-funda-case-protector-antishock-iphone-78plusx-militar-_JM,NA,NA,NA,NA,NA,#429712806,Apple,Armorking,Aluminio,NA
89, Funda Case iPhone 8 iPhone 8 Plus 360 ,40,NA,0,20,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/TECNUEVAERA,https://articulo.mercadolibre.com.pe/MPE-431278720-funda-case-iphone-8-iphone-8-plus-360-_JM,NA,NA,NA,NA,NA,#431278720,Apple,NA,NA,NA
90, Case Protector Funda Silicona iPhone 7 / 8 & 7 / 8plus Apple ,50,NA,2,14,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/ZONAMOVILPERU1,https://articulo.mercadolibre.com.pe/MPE-430700033-case-protector-funda-silicona-iphone-7-8-7-8plus-apple-_JM,NA,NA,NA,NA,NA,#430700033,Apple,Apple,NA,NA
91, A1 Protector Funda Estuche Tetris Puzzle iPhone 6 7 8 Plus X ,33,NA,0,999,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/ENERGYZONE_MIRAFLORES,https://articulo.mercadolibre.com.pe/MPE-432120110-a1-protector-funda-estuche-tetris-puzzle-iphone-6-7-8-plus-x-_JM,NA,NA,NA,NA,NA,#432120110,NA,NA,NA,NA
92, Case Funda Protector Caseology iPhone 8 7 Plus Original Usa ,115,NA,0,99,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/PASAJECENTRALSAC,https://articulo.mercadolibre.com.pe/MPE-435990636-case-funda-protector-caseology-iphone-8-7-plus-original-usa-_JM,NA,NA,NA,NA,NA,#435990636,Apple,NA,NA,NA
93, Funda Case Original Ringke Prism iPhone 7 8 Plus De Usa ,69,NA,0,100,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/DASTORE+PERU,https://articulo.mercadolibre.com.pe/MPE-429706754-funda-case-original-ringke-prism-iphone-7-8-plus-de-usa-_JM,NA,NA,NA,NA,NA,#429706754,Apple,Ringke,NA,NA
94, Funda Con Tapa Cuero Genuino Para iPhone 8 Plus Y 7 Plus ,109,NA,12,NA,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/YAJOMATECH,https://articulo.mercadolibre.com.pe/MPE-429033178-funda-con-tapa-cuero-genuino-para-iphone-8-plus-y-7-plus-_JM,NA,NA,NA,NA,NA,#429033178,Apple,NA,Cuero,Negro
95, Case Funda Silicone iPhone 8 Plus ,30,NA,0,10,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/ANDRECACIANO,https://articulo.mercadolibre.com.pe/MPE-432400303-case-funda-silicone-iphone-8-plus-_JM,NA,NA,NA,NA,NA,#432400303,Apple,NA,NA,NA
96, Funda Case Personalizados iPhone 4 4s 5s Se 6 7 8 Plus ,49,NA,4,96,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/DASTOREPERUCASE,https://articulo.mercadolibre.com.pe/MPE-424193764-funda-case-personalizados-iphone-4-4s-5s-se-6-7-8-plus-_JM,NA,NA,NA,NA,NA,#424193764,Apple,NA,NA,NA
97, Case Funda Protector iPhone 7/8 Y 7/8 Plus - Con Diseño ,25,NA,0,20,NA,NA,NA,Envío gratis a todo el país,NA,NA,NA,NA,NA,https://articulo.mercadolibre.com.pe/MPE-435256080-case-funda-protector-iphone-78-y-78-plus-con-diseno-_JM,NA,NA,NA,NA,NA,#435256080,Apple,NA,NA,NA
98, Protector Funda Case iPhone 6 7 8 Plus X Xs Max En Stock ,29,NA,0,10,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,NA,https://articulo.mercadolibre.com.pe/MPE-436279267-protector-funda-case-iphone-6-7-8-plus-x-xs-max-en-stock-_JM,NA,NA,NA,NA,NA,#436279267,Apple,NA,NA,NA
99, Funda De Gel Transparente Para iPhone 8 Plus ,20,NA,0,10,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/SENDS_VICTOR2010,https://articulo.mercadolibre.com.pe/MPE-429368898-funda-de-gel-transparente-para-iphone-8-plus-_JM,NA,NA,NA,NA,NA,#429368898,Apple,NA,Gel,NA
100, Funda Sobre Tirador iPhone 8 Plus Estuche Cover Case Forro ,39,NA,0,5,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/MACMELLOWMIRAFLORES,https://articulo.mercadolibre.com.pe/MPE-433546641-funda-sobre-tirador-iphone-8-plus-estuche-cover-case-forro-_JM,NA,NA,NA,NA,NA,#433546641,Apple,NA,Cuero,NA
101, Funda Case Protector Marmol Laut iPhone 8+ 7+ 8 Plus 7 Plus ,80,NA,1,9,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/MVH+STORE,https://articulo.mercadolibre.com.pe/MPE-430059713-funda-case-protector-marmol-laut-iphone-8-7-8-plus-7-plus-_JM,NA,NA,NA,NA,NA,#430059713,Apple,NA,NA,NA
102," Funda Case Protector Antigolpes iPhone 7, 8 Plus Con Parante ",35,NA,1,99,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/DASTORE+PERU,https://articulo.mercadolibre.com.pe/MPE-429706400-funda-case-protector-antigolpes-iphone-7-8-plus-con-parante-_JM,NA,NA,NA,NA,NA,#429706400,Apple,ROCK,NA,NA
103, Rock Case Funda Protector Moc Series iPhone 7 / 8plus ,50,NA,0,30,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/ZONAMOVILPERU1,https://articulo.mercadolibre.com.pe/MPE-434404743-rock-case-funda-protector-moc-series-iphone-7-8plus-_JM,NA,NA,NA,NA,NA,#434404743,NA,NA,NA,NA
104, Protector Funda Silicone Case iPhone X 7 8 Y Plus - Sellado ,50,NA,0,10,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/SSYST,https://articulo.mercadolibre.com.pe/MPE-427774378-protector-funda-silicone-case-iphone-x-7-8-y-plus-sellado-_JM,NA,NA,NA,NA,NA,#427774378,Apple,NA,NA,NA
105, Funda Tpu Transparente iPhone 8 Plus Estuche Silicona Forro ,39,NA,0,NA,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/MACMELLOWMIRAFLORES,https://articulo.mercadolibre.com.pe/MPE-433546806-funda-tpu-transparente-iphone-8-plus-estuche-silicona-forro-_JM,NA,NA,NA,NA,NA,#433546806,Apple,NA,NA,NA
106, Funda Mercury iPhone 8 Plus Protector Carcasa Forro Goospery ,59,NA,0,NA,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/MACMELLOWMIRAFLORES,https://articulo.mercadolibre.com.pe/MPE-433546967-funda-mercury-iphone-8-plus-protector-carcasa-forro-goospery-_JM,NA,NA,NA,NA,NA,#433546967,Apple,NA,Silicona,NA
107, Apple iPhone 7 iPhone 8 Plus Case Funda Cover Ligero Liviano ,10,NA,0,2,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/ISTORETEC,https://articulo.mercadolibre.com.pe/MPE-432665981-apple-iphone-7-iphone-8-plus-case-funda-cover-ligero-liviano-_JM,NA,NA,NA,NA,NA,#432665981,Apple,Apple,NA,NA
108, Case Funda Conejo Felpa Peludo Lujo Moda iPhone 7 / 8 Plus ,55,NA,0,NA,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/AZTILEYRODRIGUEZ,https://articulo.mercadolibre.com.pe/MPE-436605606-case-funda-conejo-felpa-peludo-lujo-moda-iphone-7-8-plus-_JM,NA,NA,NA,NA,NA,#436605606,Apple,NA,NA,NA
109, Lensun Nano Estuche Funda Case Para iPhone 7plus /8plus ,65,NA,0,NA,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/TECHNOCELENSUNPERU,https://articulo.mercadolibre.com.pe/MPE-435178903-lensun-nano-estuche-funda-case-para-iphone-7plus-8plus-_JM,NA,NA,NA,NA,NA,#435178903,Apple,NA,Silicona,Negro
110, Case Funda 369 Jelly Original Protector iPhone 7plus 8 Plus ,28,NA,0,NA,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/AZTILEYRODRIGUEZ,https://articulo.mercadolibre.com.pe/MPE-435436901-case-funda-369-jelly-original-protector-iphone-7plus-8-plus-_JM,NA,NA,NA,NA,NA,#435436901,Apple,NA,NA,NA
111," Funda Transparente Para iPhone 6,7, 8 ,plus, X ",11,NA,0,1000,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/LUCKIALANFERNANDEZSALCEDO,https://articulo.mercadolibre.com.pe/MPE-435892850-funda-transparente-para-iphone-67-8-plus-x-_JM,NA,NA,NA,NA,NA,#435892850,Apple,NA,NA,NA
112, iPhone 8 Plus Apple Funda Robot Armor Case Cover Holster ,69,NA,0,4,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/MACMELLOWMIRAFLORES,https://articulo.mercadolibre.com.pe/MPE-433546901-iphone-8-plus-apple-funda-robot-armor-case-cover-holster-_JM,NA,NA,NA,NA,NA,#433546901,Apple,Apple,NA,NA
113, Case Funda Elegante De Cristal Con Marca Logo iPhone 8 Plus ,58,NA,0,NA,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/AZTILEYRODRIGUEZ,https://articulo.mercadolibre.com.pe/MPE-436889203-case-funda-elegante-de-cristal-con-marca-logo-iphone-8-plus-_JM,NA,NA,NA,NA,NA,#436889203,Apple,NA,NA,NA
114, Case Antigolpes iPhone 7 8 Plus Protector Parante Funda ,34,NA,0,15,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/TIENDAEXPRESS.PE,https://articulo.mercadolibre.com.pe/MPE-432157016-case-antigolpes-iphone-7-8-plus-protector-parante-funda-_JM,NA,NA,NA,NA,NA,#432157016,Apple,NA,NA,NA
115, Estuche Supcase Para iPhone 8 7 Plus Funda Armadura Militar ,129,NA,0,99,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/PASAJECENTRALSAC,https://articulo.mercadolibre.com.pe/MPE-435990424-estuche-supcase-para-iphone-8-7-plus-funda-armadura-militar-_JM,NA,NA,NA,NA,NA,#435990424,Apple,NA,NA,Negro
116, Case Protector Funda Silicona iPhone X 8 Plus ,49,NA,0,10,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/MOBITECH.PE,https://articulo.mercadolibre.com.pe/MPE-432438478-case-protector-funda-silicona-iphone-x-8-plus-_JM,NA,NA,NA,NA,NA,#432438478,Apple,NA,NA,NA
117, Funda Case iPhone 6 7 8 Plus Rock Royce Quickstand Genuino ,69,NA,2,98,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/DASTOREPUNTOPE,https://articulo.mercadolibre.com.pe/MPE-421474548-funda-case-iphone-6-7-8-plus-rock-royce-quickstand-genuino-_JM,NA,NA,NA,NA,NA,#421474548,Apple,NA,NA,NA
118," Protector Funda Case Magnético iPhone 7, 7 Plus, 8, 8 Plus ",45,NA,0,20,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/ASMOBILEACCESORIES,https://articulo.mercadolibre.com.pe/MPE-435746530-protector-funda-case-magnetico-iphone-7-7-plus-8-8-plus-_JM,NA,NA,NA,NA,NA,#435746530,Huawei,NA,NA,NA
119, Funda iPhone 5s/se/6/6plus/7/7plus/8/8plus King Case Carcasa ,45,NA,28,47,NA,NA,NA,Envío gratis a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/MERKA.G,https://articulo.mercadolibre.com.pe/MPE-430662838-funda-iphone-5sse66plus77plus88plus-king-case-carcasa-_JM,NA,NA,NA,NA,NA,#430662838,Apple,NA,NA,NA
120, Funda iPhone X/8/8plus/7/7plus Tra Case Carcasa Protector ,39,NA,30,4,NA,NA,NA,Envío gratis a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/MERKA.G,https://articulo.mercadolibre.com.pe/MPE-430538284-funda-iphone-x88plus77plus-tra-case-carcasa-protector-_JM,NA,NA,NA,NA,NA,#430538284,Apple,NA,NA,NA
121, Funda Estuche Correa iPhone 8 Plus Clip Cuero Vacuno Forro ,55,NA,0,3,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/MACMELLOWMIRAFLORES,https://articulo.mercadolibre.com.pe/MPE-435360816-funda-estuche-correa-iphone-8-plus-clip-cuero-vacuno-forro-_JM,NA,NA,NA,NA,NA,#435360816,Apple,NA,Cuero,NA
122, Funda Case De Silicona Para iPhone 7 Plus-8 Plus ,20,NA,0,NA,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/DISTRIBUIDORA+BELEN,https://articulo.mercadolibre.com.pe/MPE-431128633-funda-case-de-silicona-para-iphone-7-plus-8-plus-_JM,NA,NA,NA,NA,NA,#431128633,Apple,NA,NA,NA
123," Case Funda Gato Pompom Samsung S9plus, S8plus, S9, S8 ",38,NA,2,8,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/JOSE+GOGOME,https://articulo.mercadolibre.com.pe/MPE-433504707-case-funda-gato-pompom-samsung-s9plus-s8plus-s9-s8-_JM,NA,NA,NA,NA,NA,#433504707,Apple,Samsung,NA,NA
124," Funda Ibarbe Para iPhone 7 Plus Funda Para iPhone 8 Plus (5, ",116,NA,0,12,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/NEGOCIOS+DANTE1920,https://articulo.mercadolibre.com.pe/MPE-436277636-funda-ibarbe-para-iphone-7-plus-funda-para-iphone-8-plus-5-_JM,NA,NA,NA,NA,NA,#436277636,Apple,IBARBE,NA,NA
125, Protector Case Funda iPhone 7/8/plus/x+ Vidrio Original ,59,NA,34,92,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,5,1,http://perfil.mercadolibre.com.pe/HAPPYSHOPVENTAS,https://articulo.mercadolibre.com.pe/MPE-426433037-protector-case-funda-iphone-78plusx-vidrio-original-_JM,1,0,0,0,0,#426433037,Apple,NA,NA,Roja
126, Funda Case Protector Todo Terreno iPhone 7/8plus Metal ,249,NA,1,5,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/HAPPYSHOPVENTAS,https://articulo.mercadolibre.com.pe/MPE-428831131-funda-case-protector-todo-terreno-iphone-78plus-metal-_JM,NA,NA,NA,NA,NA,#428831131,Apple,NA,NA,NA
127, Funda Mercury iPhone 8 Plus Cover Case Carcasa Estuche ,59,NA,0,NA,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/MACMELLOWMIRAFLORES,https://articulo.mercadolibre.com.pe/MPE-433546951-funda-mercury-iphone-8-plus-cover-case-carcasa-estuche-_JM,NA,NA,NA,NA,NA,#433546951,Apple,NA,Silicona,NA
128," Funda Cases Protector 360 + Mica iPhone 7, 7 Plus 8, 8 Plus ",45,NA,1,99,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/ASMOBILEACCESORIES,https://articulo.mercadolibre.com.pe/MPE-427816611-funda-cases-protector-360-mica-iphone-7-7-plus-8-8-plus-_JM,NA,NA,NA,NA,NA,#427816611,Apple,NA,NA,NA
129," Case Funda Goma Gato iPhone 8plus,6plus,7plus,iPhone 6,7,8 ",38,NA,0,100,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/JOSE+GOGOME,https://articulo.mercadolibre.com.pe/MPE-431096327-case-funda-goma-gato-iphone-8plus6plus7plusiphone-678-_JM,NA,NA,NA,NA,NA,#431096327,Apple,NA,NA,NA
130, Funda Case Protector Militar iPhone 7/8/plus/x C/parante Usa ,169,NA,0,80,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/GLOBAL+CELS,https://articulo.mercadolibre.com.pe/MPE-436678834-funda-case-protector-militar-iphone-78plusx-cparante-usa-_JM,NA,NA,NA,NA,NA,#436678834,Apple,NA,NA,NA
131, Case Funda Protector Silicona iPhone 7/8plus ,69,NA,0,10,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/HAPPYSHOPVENTAS,https://articulo.mercadolibre.com.pe/MPE-428001986-case-funda-protector-silicona-iphone-78plus-_JM,NA,NA,NA,NA,NA,#428001986,Apple,NA,NA,NA
132, Funda Cases Protector 360 + Mica De Vidrio iPhone 8 & 8 Plus ,30,NA,0,100,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/ASMOBILEACCESORIES,https://articulo.mercadolibre.com.pe/MPE-432015205-funda-cases-protector-360-mica-de-vidrio-iphone-8-8-plus-_JM,NA,NA,NA,NA,NA,#432015205,Apple,NA,NA,NA
133, Funda Protector + Clip Para Cinturon iPhone 7 / 8 Plus / 8 ,38,NA,0,NA,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/MOBILE+CONNECT,https://articulo.mercadolibre.com.pe/MPE-436500275-funda-protector-clip-para-cinturon-iphone-7-8-plus-8-_JM,NA,NA,NA,NA,NA,#436500275,Apple,NA,Silicona,NA
134, Funda Case Protector Todo Terreno iPhone 7/8/plus/x Metal ,149,NA,79,21,NA,NA,NA,Envío gratis a todo el país,NA,NA,5,7,http://perfil.mercadolibre.com.pe/HAPPYSHOPVENTAS,https://articulo.mercadolibre.com.pe/MPE-422979831-funda-case-protector-todo-terreno-iphone-78plusx-metal-_JM,7,0,0,0,0,#422979831,Apple,NA,NA,NA
